deltaAIC,rel.LL,weights,modnum
16.674400177641303,2.394418210915927e-4,9.18325621553349e-5,1
40.339659767684594,1.7392186368788708e-9,6.670384598845825e-10,2
18.9739001723795,7.583504127481489e-5,2.9084836181386486e-5,3
14.808097450610603,6.087829697348816e-4,2.3348510987937377e-4,4
23.468767737662972,8.013492544894525e-6,3.0733960711434725e-6,5
51.81998234963194,5.590283162727326e-12,2.144028238954556e-12,6
47.2180529590147,5.581232016038608e-11,2.1405568738142498e-11,7
4.169204449429145,0.12435657630154615,0.0476941871331155,8
3.5096797563223845,0.1729349307339983,0.06632532989875448,9
8.433984479432723,0.014742921057315433,0.005654318064300141,10
13.832979658612743,9.91303485039291e-4,3.801923093035947e-4,11
13.294707646439036,0.0012974508512477547,4.976082933111518e-4,12
6.607567247675462,0.03674387904339394,0.014092294072512213,13
5.829928664501637,0.054205964403236266,0.020789486868068464,14
12.986723447933315,0.0015134526365696093,5.804509533185059e-4,15
27.6950330073079,9.68500823656731e-7,3.714468578650175e-7,16
33.00932528881842,6.79385209490354e-8,2.605630219211893e-8,17
0,1,0.383527663365902,18
4.134582973644655,0.1265280208279856,0.04852699617846949,19
12.66486501169706,0.0017777042294859467,6.817987492904263e-4,20
7.437332200330786,0.024266315100595078,0.009306803129031933,21
12.083662942917016,0.0023772011482194005,9.117224017273259e-4,22
25.155445575494895,3.447977303322932e-6,1.322394678482108e-6,23
7.437332200330786,0.024266315100595078,0.009306803129031933,24
12.083662942917016,0.0023772011482194005,9.117224017273259e-4,25
25.155445575494895,3.447977303322932e-6,1.322394678482108e-6,26
0.2942636563373071,0.8631801784533862,0.3310534769059895,27
3.757040350617899,0.1528160795225339,0.05860919390401529,28
12.371703231025435,0.0020583478850264504,7.894333547383408e-4,29
