term,edf,ref.df,statistic,p.value
s(pai_cd_scaled),1.0550046857433621,9,1.773014398506671,7.414510033720845e-5
s(RH_scaled),0.06888541029152526,9,0.00821956314801393,0.3026491709149278
s(Time_num_scaled):site_fBuffaloCamp,6.508429339474957e-6,5,1.7913104475337744e-8,0.9287196968641728
s(Time_num_scaled):site_fHlangwine,2.6693025441034967e-5,9,5.105706539008709e-7,0.7573463001832085
s(Time_num_scaled):site_fLetaba,1.0008983284452802e-5,6,5.527422490778421e-7,0.5677539114857357
s(Time_num_scaled):site_fMakhohlola,0.8748737535426209,4,1.7439853779656935,0.005902910077399848
s(Time_num_scaled):site_fNkuhlu,1.1579074583726187e-5,3,1.8839763998494198e-6,0.4921677672455763
s(Time_num_scaled):site_fRoanCamp,2.455982206133448,8,3.641322679122887,2.5552118662064416e-6
