term,edf,ref.df,statistic,p.value
s(pai_cd_scaled),1.045817784325059,9,1.7661910346708294,7.625410808398403e-5
s(AirTemp_scaled),0.19155499597783235,9,0.02632682838229221,0.26882017273970804
s(Time_num_scaled):site_fBuffaloCamp,6.515779713168783e-6,5,1.9590386412677664e-8,0.925524478274053
s(Time_num_scaled):site_fHlangwine,1.982550084403566e-5,9,2.601463097774785e-7,0.8213068867984902
s(Time_num_scaled):site_fLetaba,1.0184543000181067e-5,6,5.5478545121498e-7,0.5707241174834213
s(Time_num_scaled):site_fMakhohlola,0.874933475651328,4,1.7449696005389046,0.005905429091232706
s(Time_num_scaled):site_fNkuhlu,9.157772954105863e-6,3,1.459762269446729e-6,0.49744232349682194
s(Time_num_scaled):site_fRoanCamp,2.457827247614987,8,3.4953710208996136,3.056059911465958e-6
