,GPSTime,Imagef,Northing,Easting,Altitude,Site,Date,DateTime,Time,RH,AirTemp,Dewpoint_C,Leaf_Wet_Perc,Srad_mJ,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,STRD,STRD_Clearsky
0,112199.92,cam1-001-000000-0,7372233.498053389,340896.3477725863,380.1554870605469,LetabaExclosure,2020-12-07,2020-12-07 09:09:59.920,09:09:59,73.9501,25.38164377777778,20.388333555555555,0.0,3.9,0.7616664444444444,17.706667111111113,16.60333288888889,1493495.0575559333,1382708.7444638668
1,112201.388,cam1-001-000001-0,7372235.489769668,340903.3048328178,383.39501953125,LetabaExclosure,2020-12-07,2020-12-07 09:10:01.388,09:10:01,73.94826499999999,25.382063788888892,20.388329477777777,0.0,3.9,0.7616705222222222,17.706658955555557,16.603341044444445,1493503.6810295566,1382715.2869019134
2,112203.39,cam1-001-000002-0,7372238.061749412,340913.68654531986,385.64361572265625,LetabaExclosure,2020-12-07,2020-12-07 09:10:03.390,09:10:03,73.9457625,25.382636583333333,20.388323916666668,0.0,3.9,0.7616760833333334,17.706647833333335,16.603352166666667,1493515.441379825,1382724.2092186501
3,112205.392,cam1-001-000003-0,7372240.451329987,340924.2912803759,387.6959838867188,LetabaExclosure,2020-12-07,2020-12-07 09:10:05.392,09:10:05,73.94326,25.38320937777778,20.388318355555555,0.0,3.9,0.7616816444444445,17.706636711111113,16.60336328888889,1493527.2017300932,1382733.1315353867
4,112207.928,cam1-001-000004-0,7372245.610568013,340936.7597070673,390.11224365234375,LetabaExclosure,2020-12-07,2020-12-07 09:10:07.928,09:10:07,73.94009,25.383934955555556,20.38831131111111,0.0,3.9,0.7616886888888889,17.706622622222223,16.60337737777778,1493542.0989570066,1382744.4337308134
5,112209.396,cam1-001-000005-0,7372249.18406442,340942.8056295231,390.4607543945313,LetabaExclosure,2020-12-07,2020-12-07 09:10:09.396,09:10:09,73.93825500000001,25.384354966666667,20.388307233333332,0.0,3.9,0.7616927666666666,17.706614466666668,16.603385533333334,1493550.72243063,1382750.97616886
6,112211.398,cam1-001-000006-0,7372253.275284773,340949.8761133392,390.6114196777344,LetabaExclosure,2020-12-07,2020-12-07 09:10:11.398,09:10:11,73.9357525,25.38492776111111,20.388301672222223,0.0,3.9,0.7616983277777778,17.706603344444446,16.603396655555557,1493562.4827808982,1382759.8984855968
7,112213.4,cam1-001-000007-0,7372256.553438654,340956.10850775824,390.4772338867188,LetabaExclosure,2020-12-07,2020-12-07 09:10:13.400,09:10:13,73.93325000000002,25.385500555555556,20.38829611111111,0.0,3.9,0.7617038888888888,17.706592222222223,16.60340777777778,1493574.2431311666,1382768.8208023333
8,112215.402,cam1-001-000008-0,7372258.254074303,340960.2567906053,390.3590087890625,LetabaExclosure,2020-12-07,2020-12-07 09:10:15.402,09:10:15,73.9307475,25.38607335,20.38829055,0.0,3.9,0.76170945,17.7065811,16.6034189,1493586.003481435,1382777.74311907
9,112217.938,cam1-001-000009-0,7372260.108263113,340963.724654698,390.4537353515625,LetabaExclosure,2020-12-07,2020-12-07 09:10:17.938,09:10:17,73.92757750000001,25.386798927777775,20.388283505555556,0.0,3.9,0.7617164944444444,17.70656701111111,16.60343298888889,1493600.9007083483,1382789.0453144966
10,112219.272,cam1-001-000010-0,7372261.823797889,340966.1744387416,390.5055847167969,LetabaExclosure,2020-12-07,2020-12-07 09:10:19.272,09:10:19,73.92591,25.3871806,20.3882798,0.0,3.9,0.7617202,17.706559600000002,16.6034404,1493608.73702566,1382794.9905545202
11,112221.274,cam1-001-000011-0,7372264.548641949,340970.4482889034,390.4602355957031,LetabaExclosure,2020-12-07,2020-12-07 09:10:21.274,09:10:21,73.9234075,25.387753394444445,20.38827423888889,0.0,3.9,0.7617257611111111,17.70654847777778,16.603451522222223,1493620.4973759283,1382803.9128712567
12,112223.41,cam1-001-000012-0,7372270.28612281,340979.18868627644,390.315185546875,LetabaExclosure,2020-12-07,2020-12-07 09:10:23.410,09:10:23,73.9207375,25.388364527777778,20.388268305555556,0.0,3.9,0.7617316944444444,17.70653661111111,16.60346338888889,1493633.0448825082,1382813.4323860167
13,112225.946,cam1-001-000013-0,7372282.23292068,340993.2532779164,390.2000732421875,LetabaExclosure,2020-12-07,2020-12-07 09:10:25.946,09:10:25,73.9175675,25.389090105555557,20.38826126111111,0.0,3.9,0.7617387388888889,17.706522522222222,16.60347747777778,1493647.9421094216,1382824.7345814435
14,112227.28,cam1-001-000014-0,7372290.499728514,341003.3331039562,390.2517700195313,LetabaExclosure,2020-12-07,2020-12-07 09:10:27.280,09:10:27,73.91590000000001,25.38947177777778,20.388257555555555,0.0,3.9,0.7617424444444445,17.706515111111113,16.60348488888889,1493655.7784267333,1382830.6798214668
15,112229.282,cam1-001-000015-0,7372303.829519644,341016.7046379206,390.5944519042969,LetabaExclosure,2020-12-07,2020-12-07 09:10:29.282,09:10:29,73.91339749999999,25.390044572222223,20.388251994444445,0.0,3.9,0.7617480055555556,17.70650398888889,16.603496011111112,1493667.5387770017,1382839.6021382033
16,112231.284,cam1-001-000016-0,7372317.765146157,341029.38536361395,390.8165588378906,LetabaExclosure,2020-12-07,2020-12-07 09:10:31.284,09:10:31,73.910895,25.390617366666667,20.388246433333332,0.0,3.9,0.7617535666666667,17.706492866666668,16.603507133333334,1493679.29912727,1382848.52445494
17,112233.286,cam1-001-000017-0,7372334.909818587,341040.92553192296,390.8059997558594,LetabaExclosure,2020-12-07,2020-12-07 09:10:33.286,09:10:33,73.9083925,25.39119016111111,20.388240872222223,0.0,3.9,0.7617591277777778,17.706481744444446,16.603518255555556,1493691.0594775383,1382857.4467716767
