GPSTime,Imagef,Northing,Easting,Altitude,Site,Date,DateTime,Time,RH,AirTemp,Dewpoint_C,Leaf_Wet_Perc,Srad_mJ,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,STRD,STRD_Clearsky,day
289973.479,Flight3_cam1-000-000186-0,7210662.543686515,328570.7453321096,690.2575073242188,HlangwineEP,2020-01-22,2020-01-22 10:32:53.479,10:32:53,47.71086833333335,29.80300747222222,17.482775161111114,0.0,2.7644565833333328,0.5683732027777776,14.917594022222223,14.628557794444449,1489300.6983666504,1306388.0562306822,22.0
289975.481,Flight3_cam1-000-000187-0,7210675.752628703,328561.932702039,689.858642578125,HlangwineEP,2020-01-22,2020-01-22 10:32:55.481,10:32:55,47.70753166666662,29.80361919444445,17.482230172222213,0.0,2.764623416666669,0.5684121305555561,14.917104644444438,14.628079538888882,1489296.915131083,1306396.0688263846,22.0
289978.017,Flight3_cam1-000-000188-0,7210692.495497357,328550.60179015936,689.2228393554688,HlangwineEP,2020-01-22,2020-01-22 10:32:58.017,10:32:58,47.703305000000015,29.80439408333333,17.48153981666667,0.0,2.7648347499999995,0.5684614416666666,14.916484733333336,14.627473716666668,1489292.1227807342,1306406.2186479133,22.0
289979.485,Flight3_cam1-000-000189-0,7210701.888888868,328544.2909497693,688.87841796875,HlangwineEP,2020-01-22,2020-01-22 10:32:59.485,10:32:59,47.70085833333336,29.80484263888889,17.481140194444446,0.0,2.764957083333332,0.5684899861111108,14.916125888888892,14.62712302777778,1489289.348659949,1306412.094017789,22.0
289981.487,Flight3_cam1-000-000190-0,7210715.657618318,328535.15239233663,688.395751953125,HlangwineEP,2020-01-22,2020-01-22 10:33:01.487,10:33:01,47.69752166666663,29.80545436111112,17.48059520555555,0.0,2.765123916666669,0.5685289138888894,14.915636511111105,14.626644772222216,1489285.5654243813,1306420.1066134912,22.0
289983.489,Flight3_cam1-000-000191-0,7210728.812539795,328526.26426721807,687.9214477539062,HlangwineEP,2020-01-22,2020-01-22 10:33:03.489,10:33:03,47.694185,29.80606608333333,17.480050216666665,0.0,2.76529075,0.5685678416666667,14.915147133333331,14.626166516666666,1489281.782188814,1306428.1192091934,22.0
289985.625,Flight3_cam1-000-000192-0,7210742.935998125,328516.575140009,687.3829345703125,HlangwineEP,2020-01-22,2020-01-22 10:33:05.625,10:33:05,47.690625,29.80671875,17.47946875,0.0,2.76546875,0.568609375,14.914625,14.62565625,1489277.7457296876,1306436.6681125,22.0
289988.027,Flight3_cam1-000-000193-0,7210758.684441293,328505.9113698927,686.7938842773438,HlangwineEP,2020-01-22,2020-01-22 10:33:08.027,10:33:08,47.68662166666666,29.807452694444446,17.47881487222222,0.0,2.765668916666667,0.5686560805555556,14.914037844444444,14.625082438888889,1489273.2066028982,1306446.2816264243,22.0
289989.495,Flight3_cam1-000-000194-0,7210768.10788096,328499.6511654612,686.4672241210938,HlangwineEP,2020-01-22,2020-01-22 10:33:09.495,10:33:09,47.68417500000001,29.80790125,17.47841525,0.0,2.7657912499999995,0.5686846249999999,14.913679000000002,14.62473175,1489270.4324821124,1306452.1569963,22.0
289991.497,Flight3_cam1-000-000195-0,7210781.7528143,328490.43959637696,685.9232788085938,HlangwineEP,2020-01-22,2020-01-22 10:33:11.497,10:33:11,47.68083833333338,29.80851297222221,17.477870261111118,0.0,2.7659580833333317,0.5687235527777773,14.913189622222228,14.624253494444453,1489266.6492465453,1306460.1695920022,22.0
289993.499,Flight3_cam1-000-000196-0,7210794.893475855,328481.6079592748,685.3847045898438,HlangwineEP,2020-01-22,2020-01-22 10:33:13.499,10:33:13,47.67750166666665,29.80912469444445,17.477325272222217,0.0,2.7661249166666675,0.5687624805555558,14.912700244444444,14.623775238888886,1489262.866010978,1306468.1821877046,22.0
289996.035,Flight3_cam1-000-000197-0,7210811.92805087,328470.2422032272,684.76806640625,HlangwineEP,2020-01-22,2020-01-22 10:33:16.035,10:33:16,47.67327500000004,29.809899583333326,17.476634916666672,0.0,2.766336249999998,0.5688117916666662,14.91208033333334,14.623169416666672,1489258.073660629,1306478.3320092333,22.0
289997.503,Flight3_cam1-000-000198-0,7210821.394866495,328463.87288321543,684.4810180664062,HlangwineEP,2020-01-22,2020-01-22 10:33:17.503,10:33:17,47.67082833333329,29.810348138888894,17.476235294444436,0.0,2.7664585833333355,0.5688403361111116,14.911721488888883,14.622818727777773,1489255.2995398436,1306484.207379109,22.0
289999.505,Flight3_cam1-000-000199-0,7210835.133504454,328454.6930621969,684.0496215820312,HlangwineEP,2020-01-22,2020-01-22 10:33:19.505,10:33:19,47.667491666666656,29.81095986111111,17.475690305555553,0.0,2.766625416666667,0.568879263888889,14.91123211111111,14.622340472222222,1489251.5163042764,1306492.2199748112,22.0
290001.507,Flight3_cam1-000-000200-0,7210848.184702167,328445.8082513403,683.572265625,HlangwineEP,2020-01-22,2020-01-22 10:33:21.507,10:33:21,47.66415500000003,29.81157158333333,17.47514531666667,0.0,2.7667922499999986,0.5689181916666664,14.910742733333338,14.62186221666667,1489247.7330687093,1306500.2325705134,22.0
290003.643,Flight3_cam1-000-000201-0,7210862.422484499,328436.17264899245,683.0545654296875,HlangwineEP,2020-01-22,2020-01-22 10:33:23.643,10:33:23,47.66059500000003,29.812224249999996,17.474563850000003,0.0,2.766970249999998,0.5689597249999997,14.910220600000004,14.621351950000005,1489243.6966095823,1306508.78147382,22.0
290006.045,Flight3_cam1-000-000202-0,7210878.210483716,328425.539718568,682.5243530273438,HlangwineEP,2020-01-22,2020-01-22 10:33:26.045,10:33:26,47.65659166666669,29.81295819444444,17.473909972222227,0.0,2.7671704166666653,0.5690064305555552,14.909633444444449,14.620778138888893,1489239.157482793,1306518.3949877445,22.0
290007.513,Flight3_cam1-000-000203-0,7210887.674500188,328419.2688461193,682.119384765625,HlangwineEP,2020-01-22,2020-01-22 10:33:27.513,10:33:27,47.65414500000004,29.81340674999999,17.473510350000005,0.0,2.767292749999998,0.5690349749999996,14.909274600000003,14.620427450000005,1489236.3833620076,1306524.27035762,22.0
290009.515,Flight3_cam1-000-000204-0,7210901.322624674,328410.1180910426,681.5632934570312,HlangwineEP,2020-01-22,2020-01-22 10:33:29.515,10:33:29,47.65080833333331,29.814018472222227,17.472965361111108,0.0,2.767459583333334,0.569073902777778,14.90878522222222,14.61994919444444,1489232.6001264404,1306532.2829533224,22.0
290011.517,Flight3_cam1-000-000205-0,7210914.490592307,328401.2114317609,681.0479736328125,HlangwineEP,2020-01-22,2020-01-22 10:33:31.517,10:33:31,47.64747166666668,29.814630194444444,17.472420372222224,0.0,2.767626416666666,0.5691128305555554,14.908295844444446,14.61947093888889,1489228.816890873,1306540.2955490246,22.0
290014.053,Flight3_cam1-000-000206-0,7210931.285236189,328389.8274747627,680.3846435546875,HlangwineEP,2020-01-22,2020-01-22 10:33:34.053,10:33:34,47.64324499999998,29.81540508333334,17.471730016666662,0.0,2.7678377500000013,0.5691621416666669,14.90767593333333,14.618865116666663,1489224.0245405242,1306550.4453705535,22.0
290015.521,Flight3_cam1-000-000207-0,7210940.71282846,328383.47648311337,680.0648803710938,HlangwineEP,2020-01-22,2020-01-22 10:33:35.521,10:33:35,47.64079833333332,29.815853638888893,17.471330394444443,0.0,2.767960083333334,0.5691906861111112,14.907317088888886,14.618514427777775,1489221.2504197387,1306556.320740429,22.0
290017.39,Flight3_cam1-000-000208-0,7210953.332596533,328374.9676902668,679.5933227539062,HlangwineEP,2020-01-22,2020-01-22 10:33:37.390,10:33:37,47.63768333333331,29.816424722222227,17.470821611111106,0.0,2.7681158333333347,0.569227027777778,14.90686022222222,14.61806794444444,1489217.718518003,1306563.8010308223,22.0
290019.525,Flight3_cam1-000-000209-0,7210967.660651151,328365.5036579513,679.0064086914062,HlangwineEP,2020-01-22,2020-01-22 10:33:39.525,10:33:39,47.63412499999996,29.81707708333334,17.47024041666666,0.0,2.768293750000002,0.5692685416666671,14.906338333333329,14.61755791666666,1489213.6839486042,1306572.3459318336,22.0
290022.862,Flight3_cam1-000-000210-0,7210989.782160903,328350.6065493839,678.0692138671875,HlangwineEP,2020-01-22,2020-01-22 10:33:42.862,10:33:42,47.6285633333333,29.81809672222223,17.469332011111103,0.0,2.768571833333336,0.5693334277777782,14.905522622222216,14.61676074444444,1489207.3779260828,1306585.7015921024,22.0
290023.396,Flight3_cam1-000-000211-0,7210993.420392739,328348.11287557404,677.94140625,HlangwineEP,2020-01-22,2020-01-22 10:33:43.396,10:33:43,47.62767333333332,29.818259888888893,17.46918664444444,0.0,2.768616333333334,0.5693438111111113,14.905392088888886,14.616633177777777,1489206.3688113012,1306587.838817929,22.0
290025.397,Flight3_cam1-000-000212-0,7211006.539908158,328339.1652580695,677.3630981445312,HlangwineEP,2020-01-22,2020-01-22 10:33:45.397,10:33:45,47.62433833333334,29.818871305555557,17.468641927777778,0.0,2.768783083333333,0.5693827194444444,14.904902955555556,14.616155161111111,1489202.587465462,1306595.8474113357,22.0
290027.399,Flight3_cam1-000-000213-0,7211019.642526205,328330.4366775282,676.7744750976562,HlangwineEP,2020-01-22,2020-01-22 10:33:47.399,10:33:47,47.62100166666671,29.81948302777777,17.468096938888895,0.0,2.7689499166666645,0.5694216472222218,14.904413577777785,14.615676905555562,1489198.804229895,1306603.860007038,22.0
