,GPSTime,Imagef,Northing,Easting,Altitude,Site,Date,DateTime,Time,RH,AirTemp,Dewpoint_C,Leaf_Wet_Perc,Srad_mJ,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,STRD,STRD_Clearsky
0,456852.857,cam1-000-000000-0,7481067.228733711,321664.5943749366,475.7846374511719,RoanCamp,2020-12-04,2020-12-04 08:54:12.857,08:54:12,61.02321458333329,28.264428433333354,20.01499994444445,0.0,3.601928572222222,0.7171071416666668,17.326928516666673,16.399214227777783,1549896.996319627,1412324.780838548
1,456854.191,cam1-000-000001-0,7481055.278591618,321662.3046823688,478.2528076171875,RoanCamp,2020-12-04,2020-12-04 08:54:14.191,08:54:14,61.02043541666668,28.26571796666666,20.015518722222218,0.0,3.601921161111111,0.7171182583333332,17.32743988333333,16.399755238888886,1549936.5328984067,1412331.224279399
2,456856.193,cam1-000-000002-0,7481033.973032707,321658.248318681,482.1062316894531,RoanCamp,2020-12-04,2020-12-04 08:54:16.193,08:54:16,61.01626458333327,28.267653233333363,20.016297277777788,0.0,3.6019100388888887,0.7171349416666669,17.328207316666678,16.400567161111123,1549995.8674041939,1412340.8942708413
3,456858.195,cam1-000-000003-0,7481010.903683989,321654.00867273787,485.770263671875,RoanCamp,2020-12-04,2020-12-04 08:54:18.195,08:54:18,61.012093749999984,28.26958850000001,20.017075833333333,0.0,3.601898916666667,0.7171516250000001,17.328974750000004,16.401379083333335,1550055.2019099793,1412350.5642622835
4,456860.865,cam1-000-000004-0,7480978.8810136095,321648.31761079904,490.69427490234375,RoanCamp,2020-12-04,2020-12-04 08:54:20.865,08:54:20,61.006531250000016,28.272169499999993,20.018114166666663,0.0,3.6018840833333337,0.7171738749999998,17.329998249999996,16.402461916666663,1550134.3343427705,1412363.4608043167
5,456862.199,cam1-000-000005-0,7480963.669052456,321645.69284731336,492.0929260253906,RoanCamp,2020-12-04,2020-12-04 08:54:22.199,08:54:22,61.00375208333328,28.273459033333356,20.01863294444445,0.0,3.601876672222222,0.7171849916666668,17.330509616666674,16.403002927777788,1550173.870921552,1412369.904245168
6,456864.201,cam1-000-000006-0,7480941.3037581,321642.0830471398,493.34906005859375,RoanCamp,2020-12-04,2020-12-04 08:54:24.201,08:54:24,60.99958124999999,28.275394300000002,20.0194115,0.0,3.6018655500000003,0.717201675,17.33127705,16.40381485,1550233.2054273374,1412379.5742366102
7,456866.203,cam1-000-000007-0,7480918.764445273,321638.55340908456,494.6512756347656,RoanCamp,2020-12-04,2020-12-04 08:54:26.203,08:54:26,60.99541041666671,28.277329566666648,20.020190055555545,0.0,3.601854427777778,0.7172183583333331,17.332044483333327,16.404626772222212,1550292.539933123,1412389.2442280522
8,456868.339,cam1-000-000008-0,7480894.037228204,321633.05177287,496.2759704589844,RoanCamp,2020-12-04,2020-12-04 08:54:28.339,08:54:28,60.99096041666671,28.279394366666647,20.02102072222221,0.0,3.6018425611111113,0.7172361583333331,17.332863283333324,16.405493038888878,1550355.8458793561,1412399.561461679
9,456870.741,cam1-000-000009-0,7480873.909786418,321612.6841837646,496.5359802246094,RoanCamp,2020-12-04,2020-12-04 08:54:30.741,08:54:30,60.98595625000004,28.28171629999998,20.021954833333325,0.0,3.6018292166666668,0.7172561749999998,17.33378404999999,16.406467183333323,1550427.0354312535,1412411.1635193434
