,GPSTime,Lat,Lon,Easting,Northing,Altitude,Roll,Pitch,Heading
0,461516.0,-25.26236540600415,31.91398387595746,3491461.232269106,-3135746.953507469,249.18984985351562,0.005228,-0.0120796,2.9216489
1,461516.0,-25.262365344893105,31.91398390651306,3491461.2373302197,-3135746.9469663813,249.18484497070312,0.005228,-0.0120796,2.9216489
2,461516.0,-25.26236540600415,31.91398387595746,3491461.232269106,-3135746.953507469,249.18984985351562,0.005228,-0.0120796,2.9216489
3,461516.07403061684,-25.26236540600415,31.91398387595746,3491461.232269106,-3135746.953507469,249.18984985351562,0.0052212,-0.0120817,2.9216586
4,461516.07403061684,-25.262365344893105,31.91398390651306,3491461.2373302197,-3135746.9469663813,249.18484497070312,0.0052212,-0.0120817,2.9216587
5,461516.07403061684,-25.26236540600415,31.91398387595746,3491461.232269106,-3135746.953507469,249.18984985351562,0.0052212,-0.0120817,2.9216586
6,461516.1540308432,-25.26236540600415,31.91398387595746,3491461.232269106,-3135746.953507469,249.18984985351562,0.0052263,-0.012056200000000001,2.921668
7,461516.1540308432,-25.262365344893105,31.91398390651306,3491461.2373302197,-3135746.9469663813,249.18484497070312,0.0052263,-0.012056200000000001,2.921668
8,461516.1540308432,-25.26236540600415,31.91398387595746,3491461.232269106,-3135746.953507469,249.18984985351562,0.0052263,-0.012056200000000001,2.921668
9,461516.23403108004,-25.26236540600415,31.91398387595746,3491461.232269106,-3135746.953507469,249.18984985351562,0.0052138,-0.012037,2.9216618000000003
10,461516.23403108004,-25.262365344893105,31.91398390651306,3491461.2373302197,-3135746.9469663813,249.18484497070312,0.0052138,-0.012037,2.9216618000000003
11,461516.23403108004,-25.26236540600415,31.91398387595746,3491461.232269106,-3135746.953507469,249.18984985351562,0.0052138,-0.012037,2.9216618000000003
12,461516.3140313277,-25.262365344893105,31.91398390651306,3491461.2373302197,-3135746.9469663813,249.18484497070312,0.0052258,-0.0120492,2.9216865000000003
13,461516.3140313277,-25.26236540600415,31.91398387595746,3491461.232269106,-3135746.953507469,249.18984985351562,0.0052258,-0.0120492,2.9216865000000003
14,461516.3140313277,-25.26236540600415,31.91398387595746,3491461.232269106,-3135746.953507469,249.18984985351562,0.0052258,-0.0120492,2.9216865000000003
15,461516.3940315647,-25.26236540600415,31.91398387595746,3491461.232269106,-3135746.953507469,249.18984985351562,0.005246,-0.0120545,2.9216654
16,461516.3940315647,-25.26236540600415,31.91398387595746,3491461.232269106,-3135746.953507469,249.18984985351562,0.005246,-0.0120545,2.9216654
17,461516.3940315647,-25.262365344893105,31.91398390651306,3491461.2373302197,-3135746.9469663813,249.18484497070312,0.005246,-0.0120545,2.9216654
18,461516.4740317833,-25.26236540600415,31.91398387595746,3491461.232269106,-3135746.953507469,249.18984985351562,0.0052522,-0.0120746,2.9216632
19,461516.4740317833,-25.26236540600415,31.91398387595746,3491461.232269106,-3135746.953507469,249.18984985351562,0.0052522,-0.0120746,2.9216632
20,461516.4740317833,-25.262365344893105,31.91398390651306,3491461.2373302197,-3135746.9469663813,249.18484497070312,0.0052522,-0.0120746,2.9216632
21,461516.55403202004,-25.26236540600415,31.91398387595746,3491461.232269106,-3135746.953507469,249.18984985351562,0.0052622,-0.0120886,2.9216871000000006
22,461516.55403202004,-25.262365344893105,31.91398390651306,3491461.2373302197,-3135746.9469663813,249.18484497070312,0.0052622,-0.0120886,2.9216871000000006
23,461516.55403202004,-25.26236540600415,31.91398387595746,3491461.232269106,-3135746.953507469,249.18984985351562,0.0052622,-0.0120886,2.9216871000000006
24,461516.63403226004,-25.262365344893105,31.91398390651306,3491461.2373302197,-3135746.9469663813,249.18484497070312,0.0052797,-0.0120909,2.9216857
