,GPSTime,Lat,Lon,Easting,Northing,Altitude,Roll,Pitch,Heading
0,456706.50262374006,-22.768540236420684,31.263290127765224,321698.05053212424,7481056.3646007795,396.1086730957031,0.014986000000000001,0.018448,-0.2684415
1,456706.58262419,-22.768540236393047,31.263290124927185,321698.05024065357,7481056.36460042,396.1084289550781,0.0149448,0.0184431,-0.2684068
2,456706.66262466,-22.768540236329297,31.263290118380738,321698.0495683247,7481056.36459959,396.1078796386719,0.0149558,0.0184376,-0.2683383
3,456706.74262499006,-22.768540236263007,31.263290111573358,321698.04886919766,7481056.364598728,396.1073303222656,0.0149684,0.018458,-0.2682755
4,456706.82262546,-22.768540236220566,31.26329010721463,321698.0484215505,7481056.3645981755,396.1069641113281,0.014982700000000002,0.0184823,-0.2682468
5,456706.90262589004,-22.768540236205364,31.263290105653944,321698.04826126597,7481056.364597978,396.1068420410156,0.014964,0.0185132,-0.2682364
6,456706.98262631,-22.76854023620358,31.263290105470727,321698.0482424491,7481056.364597955,396.1068115234375,0.014938400000000001,0.018549,-0.2682186
7,456707.0546267,-22.768540236205034,31.263290105787956,321698.0482750268,7481056.3645981755,396.1068420410156,0.0148905,0.0185212,-0.2682453
8,456707.13462712005,-22.768540236206736,31.26329010623528,321698.0483209643,7481056.364598526,396.1069030761719,0.0148696,0.0185006,-0.2682353
9,456707.21462755004,-22.76854023620937,31.263290106826553,321698.0483816847,7481056.364598947,396.10699462890625,0.0149147,0.018497400000000004,-0.2682355
10,456707.29462798004,-22.768540236209375,31.263290106926505,321698.0483919486,7481056.364599068,396.1070251464844,0.0149726,0.0184904,-0.2682615
11,456707.3746284,-22.768540236207215,31.263290106699202,321698.0483686045,7481056.364599032,396.10699462890625,0.015026,0.0184401,-0.2682927
12,456707.45462895004,-22.768540236204718,31.263290106438493,321698.04834182933,7481056.364598995,396.1069641113281,0.0150101,0.0184266,-0.2683219
13,456707.53462925,-22.768540236202067,31.263290106160493,321698.0483132785,7481056.364598953,396.1069641113281,0.014950200000000002,0.0184491,-0.2683189
14,456707.61462968,-22.768540236199517,31.263290105888345,321698.04828532867,7481056.364598908,396.10693359375,0.0149033,0.018496200000000004,-0.2682976
15,456707.69463011005,-22.768540236197286,31.263290105645034,321698.0482603403,7481056.364598861,396.1069030761719,0.014899400000000002,0.0185428,-0.2682967
