,GPSTime,Lat,Lon,Easting,Northing,Altitude,Roll,Pitch,Heading
0,196885.5055085,-24.4148483200608,31.775353439486253,375836.1638427352,7299294.195357036,276.90484619140625,0.014531200000000001,-0.0364983,2.9001066000000004
1,196885.58550872997,-24.414848322812066,31.77535344087635,375836.1639863802,7299294.195053615,276.9039611816406,0.0144815,-0.0364262,2.9001727
2,196885.66550897,-24.4148483288471,31.775353443925592,375836.1643014716,7299294.194388047,276.9020080566406,0.0145554,-0.0362554,2.9003283000000004
3,196885.7455092,-24.414848335005548,31.775353447037194,375836.1646230067,7299294.193708869,276.9000549316406,0.0145879,-0.0360935,2.900439
4,196885.82550946003,-24.41484833887949,31.775353448994533,375836.16482526704,7299294.193281635,276.8988037109375,0.0144646,-0.0359564,2.900459
5,196885.90550966,-24.414848340230137,31.775353449676953,375836.16489578446,7299294.19313268,276.89837646484375,0.0145127,-0.0360372,2.9004926
6,196885.98550989,-24.41484834037888,31.77535344975211,375836.1649035507,7299294.193116276,276.8983154296875,0.014546900000000001,-0.0361249,2.900496
7,196886.0575101,-24.414848339769478,31.77535344952414,375836.1648798388,7299294.193183554,276.8985290527344,0.0144787,-0.036114,2.9004582
8,196886.13751036001,-24.414848338928607,31.77535344920539,375836.1648466956,7299294.193276385,276.89886474609375,0.0145453,-0.0361328,2.9003845
9,196886.21751057,-24.41484833776261,31.775353448734574,375836.1647978149,7299294.193405082,276.8992919921875,0.014565,-0.0360641,2.9003856
10,196886.29751078002,-24.41484833765229,31.775353448708994,375836.1647951134,7299294.193417275,276.89935302734375,0.014571,-0.0358793,2.9003658
11,196886.37751103003,-24.414848337888195,31.77535344883289,375836.1648079069,7299294.1933912635,276.8992614746094,0.0146283,-0.0356839,2.9003649
12,196886.45751125997,-24.414848338166426,31.77535344897333,375836.1648224195,7299294.193360578,276.8992004394531,0.0145725,-0.03552530000000001,2.9004205000000005
13,196886.53751149002,-24.414848338498704,31.775353449133956,375836.1648390316,7299294.193323927,276.8991394042969,0.0145412,-0.03557880000000001,2.9004307
14,196886.61751173,-24.414848338880706,31.775353449313155,375836.1648575757,7299294.193281786,276.8990478515625,0.0146359,-0.0357884,2.9004209
15,196886.69751196,-24.414848339289684,31.775353449502717,375836.16487719695,7299294.193236667,276.89892578125,0.014604500000000001,-0.03605130000000001,2.9004163
16,196886.77751218333,-24.4148483396893,31.775353449688645,375836.16489644075,7299294.193192581,276.8988037109375,0.0146266,-0.0362011,2.9004075
17,196886.85751242004,-24.41484834002432,31.775353449844356,375836.1649125575,7299294.19315562,276.898681640625,0.0147281,-0.0361892,2.9004001
18,196886.93751263001,-24.414848340274865,31.77535344996197,375836.16492472816,7299294.193127982,276.8985595703125,0.0146486,-0.0360665,2.9004108
19,196887.00951279,-24.414848340438546,31.775353450042367,375836.1649330405,7299294.19310993,276.8984680175781,0.0146372,-0.0358784,2.9004313
20,196887.08951309999,-24.41484834052092,31.775353450088517,375836.16493780055,7299294.193100849,276.8984069824219,0.0147497,-0.0357101,2.9004232000000005
21,196887.16951332998,-24.414848340536818,31.775353450106138,375836.1649396028,7299294.193099104,276.8983459472656,0.0146658,-0.0357302,2.9004259
22,196887.24951355727,-24.41484834050882,31.775353450103516,375836.1649393097,7299294.193102201,276.8983154296875,0.0146185,-0.035891,2.9004648
23,196887.32951378997,-24.4148483404784,31.77535345010033,375836.16493895673,7299294.193105567,276.8983154296875,0.0147844,-0.036219600000000005,2.9003881000000002
24,196887.40951402002,-24.414848340469025,31.77535345010552,375836.16493947385,7299294.19310661,276.8983154296875,0.0146797,-0.0364384,2.9003544
25,196887.48951426,-24.414848340486905,31.77535345011828,375836.16494078527,7299294.1931046415,276.8983154296875,0.014637000000000002,-0.0365852,2.9004249
26,196887.56951449,-24.41484834052916,31.775353450135626,375836.1649425856,7299294.193099977,276.8983154296875,0.0147618,-0.0365311,2.9004117
27,196887.64951470002,-24.414848340583436,31.775353450152924,375836.1649443924,7299294.193093983,276.8983459472656,0.0146537,-0.0363219,2.9003728
28,196887.72951493,-24.41484834063229,31.775353450165166,375836.16494568187,7299294.193088585,276.8983459472656,0.0146744,-0.036226,2.9004495
29,196887.80951519002,-24.414848340662672,31.775353450169213,375836.16494612175,7299294.193085223,276.8983459472656,0.0147511,-0.0361333,2.9004295
30,196887.88951541999,-24.414848340673803,31.775353450165433,375836.16494574957,7299294.193083988,276.8983459472656,0.0146211,-0.0362986,2.9003327000000003
31,196887.96951565004,-24.41484834066222,31.77535345015483,375836.16494466306,7299294.193085261,276.8983459472656,0.014678,-0.0364701,2.9003961
32,196888.04151585998,-24.41484834062932,31.77535345013959,375836.1649430854,7299294.19308889,276.8983459472656,0.0147581,-0.0365941,2.9004051000000004
33,196888.12151609003,-24.414848340582378,31.77535345012299,375836.164941356,7299294.193094073,276.8983459472656,0.0146551,-0.036689400000000004,2.9002932000000006
34,196888.20151633,-24.414848340533396,31.77535345010899,375836.1649398891,7299294.193099485,276.8983459472656,0.0147101,-0.03655610000000001,2.9003365000000003
35,196888.28151656,-24.414848340494782,31.775353450101264,375836.1649390676,7299294.193103754,276.8983154296875,0.0147594,-0.0364223,2.9004102
36,196888.36151679003,-24.41484834047161,31.7753534501014,375836.1649390585,7299294.19310632,276.8983154296875,0.0146738,-0.0363351,2.9003398000000002
37,196888.44151701996,-24.414848340472837,31.775353450109833,375836.16493991495,7299294.193106191,276.8983154296875,0.014720600000000002,-0.03635,2.9003250000000005
38,196888.52151726003,-24.414848340501393,31.775353450124896,375836.16494147026,7299294.193103043,276.8983154296875,0.0147571,-0.036495,2.9004082
39,196888.60151751596,-24.414848340550368,31.77535345014284,375836.16494333773,7299294.193097636,276.8983154296875,0.014722400000000002,-0.0365678,2.9003192
40,196888.68151772002,-24.414848340604625,31.775353450158686,375836.1649449975,7299294.193091642,276.8983459472656,0.0147453,-0.0366164,2.9002629
41,196888.76151794998,-24.414848340646564,31.77535345016771,375836.1649459538,7299294.193087006,276.8983459472656,0.0147456,-0.036554300000000005,2.9003867
42,196888.84151818004,-24.4148483406697,31.775353450168616,375836.1649460681,7299294.193084445,276.8983459472656,0.0146956,-0.0364296,2.9004068
43,196888.92151838998,-24.414848340671945,31.775353450161916,375836.164945391,7299294.19308419,276.8983459472656,0.0147,-0.0364433,2.900279
44,196889.0,-24.414848340651332,31.77535345014913,375836.16494407447,7299294.193086461,276.8983459472656,0.0147149,-0.036361,2.9003697
45,196889.07351886,-24.41484834061164,31.775353450132904,375836.16494239017,7299294.193090841,276.8983459472656,0.0146538,-0.036425200000000005,2.9004744
46,196889.15351908997,-24.414848340562244,31.775353450116842,375836.16494071326,7299294.193096297,276.8983459472656,0.0146612,-0.0364923,2.9003451
