,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,RH,RH,RH,RH,RH,RH,RH,RH,STRD,STRD,STRD,STRD,STRD,STRD,STRD,STRD,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,phi,phi,phi,phi,phi,phi,phi,phi,tau,tau,tau,tau,tau,tau,tau,tau,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
imgf,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1-000-000095-0.tif,Inside,21400.0,33.843353271484375,0.7571829557418823,31.92999267578125,33.290008544921875,33.92999267578125,34.410003662109375,37.25,21400.0,1.0951604843139648,2.209221839904785,0.013000000268220901,0.21074999496340752,0.31299999356269836,0.6150000095367432,10.906000137329102,21400.0,248.65298461914062,0.13703998923301697,248.24600219726562,248.5570068359375,248.67799377441406,248.74600219726562,248.98599243164062,21400.0,0.8461712715637836,0.13960259765546693,0.13114754098360656,0.7727272727272727,0.8789473684210526,0.956140350877193,1.0,21400.0,0.28525597069536673,0.6142738341054487,0.0,0.0,0.0,0.2075935873632871,6.802394763324311,21400.0,64.20707702636719,17.037572860717773,27.20294189453125,51.429561614990234,64.49806213378906,76.69419860839844,106.8877944946289,21400.0,2.9270071983337402,2.630031108856201,0.0,1.0,2.2360680103302,4.4721360206604,12.369317054748535,21400.0,84.61712715637836,13.960259765546692,13.114754098360656,77.27272727272727,87.89473684210526,95.6140350877193,100.0,21400.0,-3135681.289754473,4.656721676256796e-10,-3135681.2897544736,-3135681.2897544736,-3135681.2897544736,-3135681.2897544736,-3135681.2897544736,21400.0,3491393.6900794054,4.656721676256796e-10,3491393.690079405,3491393.690079405,3491393.690079405,3491393.690079405,3491393.690079405,21400.0,350.1973876953125,0.0,350.1973876953125,350.1973876953125,350.1973876953125,350.1973876953125,350.1973876953125,21400.0,25.12628530000001,3.5527966890386936e-15,25.126285300000013,25.126285300000013,25.126285300000013,25.126285300000013,25.126285300000013,21400.0,88.91005183333324,2.842237351230955e-14,88.91005183333327,88.91005183333327,88.91005183333327,88.91005183333327,88.91005183333327,21400.0,1537071.9085130873,4.656721676256796e-10,1537071.9085130868,1537071.9085130868,1537071.9085130868,1537071.9085130868,1537071.9085130868,21400.0,101.54437970598167,0.13703998812796953,101.21139526367188,101.45138549804688,101.51939392089844,101.640380859375,101.95138549804688,21400.0,3875.1381776492744,40.90622228513146,3772.4694375768527,3845.166398110984,3879.684210048209,3905.7035338979795,4061.924219257689,21400.0,0.9911590196554594,9.18676620338053e-06,0.9911317423553789,0.9911525831209949,0.9911606936516519,0.9911652534470669,0.9911813485416834,21400.0,0.9628925233644863,0.004804475555242174,0.91,0.96,0.96,0.97,0.97,21400.0,36.920627929401576,0.940655684024443,34.57681882036917,36.2842489162105,37.040789690246584,37.61308725162928,43.57847721613018
cam1-000-000095-0.tif,Outside,103384.0,34.54796600341797,0.7090516090393066,32.25,34.089996337890625,34.529998779296875,34.970001220703125,40.45001220703125,103384.0,0.3217933773994446,0.287532240152359,0.0,0.18400000035762787,0.2549999952316284,0.34599998593330383,4.466000080108643,103384.0,250.08485412597656,0.42760011553764343,248.91600036621094,249.72000122070312,250.13900756835938,250.447998046875,250.91900634765625,103384.0,0.8553643672215625,0.14431485186888007,0.06896551724137931,0.7872340425531915,0.8985507246376812,0.9661016949152542,1.0,103384.0,0.08125930667119612,0.3249120940769789,0.0,0.0,0.0,0.0,6.271976330124863,103384.0,85.40135192871094,22.769432067871094,35.1710090637207,67.95587158203125,85.98255920410156,102.31446838378906,138.13037109375,103384.0,5.617198467254639,4.08078145980835,0.0,2.8284270763397217,5.0,7.8102498054504395,21.931713104248047,103384.0,85.53643672215624,14.431485186888008,6.896551724137931,78.72340425531915,89.85507246376811,96.61016949152543,100.0,103384.0,-3135681.289754473,4.656635394196013e-10,-3135681.2897544736,-3135681.2897544736,-3135681.2897544736,-3135681.2897544736,-3135681.2897544736,103384.0,3491393.6900794054,4.656635394196013e-10,3491393.690079405,3491393.690079405,3491393.690079405,3491393.690079405,3491393.690079405,103384.0,350.1973876953125,0.0,350.1973876953125,350.1973876953125,350.1973876953125,350.1973876953125,350.1973876953125,103384.0,25.126285300000013,0.0,25.126285300000013,25.126285300000013,25.126285300000013,25.126285300000013,25.126285300000013,103384.0,88.91005183333326,1.4210923444201698e-14,88.91005183333327,88.91005183333327,88.91005183333327,88.91005183333327,88.91005183333327,103384.0,1537071.9085130875,6.984953091294018e-10,1537071.9085130868,1537071.9085130868,1537071.9085130868,1537071.9085130868,1537071.9085130868,103384.0,100.11252608133582,0.4276001226295047,99.27838134765625,99.7493896484375,100.05838012695312,100.47738647460938,101.28138732910156,103384.0,3913.3238630040883,38.61850168305305,3789.4945502564583,3888.344960625321,3912.225328852471,3936.199164933319,4242.619578798736,103384.0,0.9912551428430899,2.8735076434994244e-05,0.9911766537797638,0.9912306175265244,0.9912587712579991,0.9912795462882987,0.9913112366911303,103384.0,0.9609208388145172,0.003832299126146571,0.91,0.96,0.96,0.96,0.97,103384.0,37.76560509064999,0.8209156516213015,34.81629315155624,37.276694686360784,37.766342614286486,38.25642914319168,43.856679706816124
cam1-000-000108-0.tif,Inside,65802.0,33.75413513183594,0.648283839225769,31.889984130859375,33.329986572265625,33.769989013671875,34.209991455078125,36.850006103515625,65802.0,0.9598591327667236,1.802013635635376,0.027000000700354576,0.31200000643730164,0.4440000057220459,0.8289999961853027,12.692000389099121,65802.0,247.75706481933594,0.3053719997406006,247.08700561523438,247.51600646972656,247.7169952392578,248.02499389648438,248.48800659179688,65802.0,0.9243676813739319,0.09697825136522754,0.038461538461538464,0.8924050632911392,0.9602272727272727,0.9893617021276596,1.0,65802.0,0.4802402727197197,0.8856291517307482,0.0,0.0,0.03361423663276258,0.5895990804412896,8.439015410352221,65802.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,65802.0,2.2461512088775635,2.059000253677368,0.0,1.0,2.0,3.1622776985168457,12.0,65802.0,92.43676813739317,9.697825136522757,3.8461538461538463,89.24050632911393,96.02272727272727,98.93617021276596,100.0,65802.0,-3135886.181777753,0.0,-3135886.181777753,-3135886.181777753,-3135886.181777753,-3135886.181777753,-3135886.181777753,65802.0,3491285.9986069286,2.328324128500753e-09,3491285.998606931,3491285.998606931,3491285.998606931,3491285.998606931,3491285.998606931,65802.0,349.27606201171875,0.0,349.27606201171875,349.27606201171875,349.27606201171875,349.27606201171875,349.27606201171875,65802.0,25.142768433333323,3.5527406745922134e-15,25.14276843333332,25.14276843333332,25.14276843333332,25.14276843333332,25.14276843333332,65802.0,88.84209505555563,1.4210962698368854e-14,88.84209505555562,88.84209505555562,88.84209505555562,88.84209505555562,88.84209505555562,65802.0,1537054.7052692513,0.0,1537054.7052692513,1537054.7052692513,1537054.7052692513,1537054.7052692513,1537054.7052692513,65802.0,101.51900462768587,0.30537200118457125,100.78805541992188,101.25106811523438,101.55906677246094,101.76005554199219,102.18905639648438,65802.0,3870.280859628193,35.000752575440934,3770.3443645761517,3847.3168425735053,3871.035815453463,3894.8482190981945,4039.6858428598175,65802.0,0.9911611603923404,2.047355212659638e-05,0.9911162593398547,0.9911449976987279,0.9911584691495842,0.9911791222365369,0.9912101909520439,65802.0,0.9642120300294826,0.005065180171212715,0.91,0.96,0.96,0.97,0.97,65802.0,36.74038372938391,0.8363704117688369,34.45429471922381,36.120007520103,36.795616299853634,37.36466860481346,42.49111766045809
cam1-000-000108-0.tif,Outside,473652.0,34.833709716796875,0.7301775813102722,31.970001220703125,34.3699951171875,34.850006103515625,35.329986572265625,40.529998779296875,473652.0,0.38743820786476135,0.4577631950378418,0.0,0.2160000056028366,0.2840000092983246,0.3799999952316284,11.270000457763672,473652.0,249.04478454589844,0.601215660572052,247.0449981689453,248.64999389648438,249.04100036621094,249.4980010986328,250.42999267578125,473652.0,0.9009220460342495,0.10636067139957213,0.0847457627118644,0.8545454545454545,0.934510813058848,0.9807692307692307,1.0,473652.0,0.13828451431068903,0.48645609597350414,0.0,0.0,0.0,0.0,9.489864256726513,473652.0,-9999.0009765625,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,473652.0,5.874261379241943,4.882946014404297,0.0,2.2360680103302,5.0,8.485280990600586,30.01666259765625,473652.0,90.09220460342495,10.636067139957216,8.47457627118644,85.45454545454545,93.4510813058848,98.07692307692307,100.0,473652.0,-3135886.1817777487,4.190956009859726e-09,-3135886.181777753,-3135886.181777753,-3135886.181777753,-3135886.181777753,-3135886.181777753,473652.0,3491285.998606928,2.793970673239817e-09,3491285.998606931,3491285.998606931,3491285.998606931,3491285.998606931,3491285.998606931,473652.0,349.27606201171875,0.0,349.27606201171875,349.27606201171875,349.27606201171875,349.27606201171875,349.27606201171875,473652.0,25.14276843333331,1.065815228744437e-14,25.14276843333332,25.14276843333332,25.14276843333332,25.14276843333332,25.14276843333332,473652.0,88.84209505555557,4.263260914977748e-14,88.84209505555562,88.84209505555562,88.84209505555562,88.84209505555562,88.84209505555562,473652.0,1537054.7052692517,4.656617788733029e-10,1537054.7052692513,1537054.7052692513,1537054.7052692513,1537054.7052692513,1537054.7052692513,473652.0,100.23129410863835,0.6012156662691045,98.8460693359375,99.77806091308594,100.23506164550781,100.62606811523438,102.23106384277344,473652.0,3928.891628866391,39.81094163550321,3774.5952822148165,3903.530594564489,3929.6518778832,3955.882745777395,4247.199633723314,473652.0,0.9912476055231999,4.0392993316462065e-05,0.9911134464548227,0.9912210664885773,0.991247330810607,0.9912780511680036,0.991340779059328,473652.0,0.9613810561340395,0.003569219668619411,0.91,0.96,0.96,0.96,0.97,473652.0,38.026368664258776,0.8483750665189995,34.53365427816482,37.52197740178531,38.09637045964104,38.62513083761473,45.03878713655382
cam1-000-000178-0.tif,Inside,50124.0,33.77666473388672,0.6156631708145142,31.970001220703125,33.329986572265625,33.80999755859375,34.209991455078125,37.769989013671875,50124.0,0.9602919220924377,1.7521353960037231,0.02800000086426735,0.26899999380111694,0.4165000021457672,0.8790000081062317,10.798999786376953,50124.0,247.9684600830078,0.30171650648117065,247.29600524902344,247.7169952392578,247.98899841308594,248.19400024414062,248.76699829101562,50124.0,0.9055016659760946,0.10593108343807998,0.0,0.8640776699029126,0.9426229508196722,0.9814814814814815,1.0,50124.0,0.5656602873396787,1.0017631764323394,0.0,0.0,0.03738426602430504,0.7477003374778259,8.53949408852882,50124.0,90.76710510253906,39.59538269042969,12.165525436401367,57.245086669921875,93.36219787597656,125.39936065673828,163.8780059814453,50124.0,1.962148904800415,1.9171911478042603,0.0,0.0,1.4142135381698608,3.0,10.770329475402832,50124.0,90.55016659760945,10.593108343807998,0.0,86.40776699029125,94.26229508196722,98.14814814814815,100.0,50124.0,-3135778.344255276,0.0,-3135778.344255276,-3135778.344255276,-3135778.344255276,-3135778.344255276,-3135778.344255276,50124.0,3491581.7649463266,0.0,3491581.7649463266,3491581.7649463266,3491581.7649463266,3491581.7649463266,3491581.7649463266,50124.0,347.0722961425781,0.0,347.0722961425781,347.0722961425781,347.0722961425781,347.0722961425781,347.0722961425781,50124.0,25.231438900000015,3.552749118578238e-15,25.23143890000002,25.23143890000002,25.23143890000002,25.23143890000002,25.23143890000002,50124.0,88.47652383333322,4.263298942293885e-14,88.47652383333326,88.47652383333326,88.47652383333326,88.47652383333326,88.47652383333326,50124.0,1536962.160992127,0.0,1536962.160992127,1536962.160992127,1536962.160992127,1536962.160992127,1536962.160992127,50124.0,99.103832247004,0.3017165207801849,98.3052978515625,98.8782958984375,99.08329772949219,99.35530090332031,99.77629089355469,50124.0,3871.4877273773823,33.266254303036874,3774.5952822148165,3847.3168425735053,3873.197168017562,3894.8482190981945,4090.949553494501,50124.0,0.9913257202089283,2.0312796096889604e-05,0.9912804694734156,0.9913087886844946,0.9913270971900185,0.9913409017578084,0.991379513822768,50124.0,0.9642015800813982,0.005020054816360805,0.91,0.96,0.96,0.97,0.97,50124.0,36.75211664653907,0.8130277466784571,34.6079157569601,36.14943375931773,36.801618983760875,37.39350279779808,43.81342830268113
cam1-000-000178-0.tif,Outside,55938.0,33.94633483886719,0.6757227778434753,31.769989013671875,33.489990234375,33.92999267578125,34.3699951171875,37.769989013671875,55938.0,0.3927796185016632,0.3658565580844879,0.020999999716877937,0.20600000023841858,0.28200000524520874,0.3919999897480011,2.888000011444092,55938.0,246.3370819091797,0.3321719169616699,245.64100646972656,246.0709991455078,246.3040008544922,246.64599609375,247.23199462890625,55938.0,0.8890460663568681,0.115643191096633,0.13846153846153847,0.8378378378378378,0.925,0.975609756097561,1.0,55938.0,0.17743214765467435,0.5455784658697034,0.0,0.0,0.0,0.014336978957225032,6.228063943166031,55938.0,103.4799575805664,45.72385025024414,11.045360565185547,65.7419204711914,102.35721588134766,140.57737731933594,196.88829040527344,55938.0,4.37775182723999,3.1819591522216797,0.0,2.0,4.0,6.4031243324279785,15.65247631072998,55938.0,88.90460663568679,11.564319109663302,13.846153846153847,83.78378378378379,92.5,97.5609756097561,100.0,55938.0,-3135778.344255276,0.0,-3135778.344255276,-3135778.344255276,-3135778.344255276,-3135778.344255276,-3135778.344255276,55938.0,3491581.7649463266,0.0,3491581.7649463266,3491581.7649463266,3491581.7649463266,3491581.7649463266,3491581.7649463266,55938.0,347.0722961425781,0.0,347.0722961425781,347.0722961425781,347.0722961425781,347.0722961425781,347.0722961425781,55938.0,25.231438900000015,3.552745435042351e-15,25.23143890000002,25.23143890000002,25.23143890000002,25.23143890000002,25.23143890000002,55938.0,88.47652383333323,2.8421963480338807e-14,88.47652383333326,88.47652383333326,88.47652383333326,88.47652383333326,88.47652383333326,55938.0,1536962.160992127,0.0,1536962.160992127,1536962.160992127,1536962.160992127,1536962.160992127,1536962.160992127,55938.0,100.73523477648908,0.33217192745670826,99.84030151367188,100.42630004882812,100.76829528808594,101.00129699707031,101.43128967285156,55938.0,3880.6782037830494,36.585501107528074,3763.975394095259,3855.931264339636,3879.684210048209,3903.530594564489,4090.949553494501,55938.0,0.991216048834695,2.2299013226612606e-05,0.9911693457951045,0.9911981861265172,0.9912138230578657,0.9912367862846918,0.9912761654633219,55938.0,0.9615588687475422,0.00378665416403712,0.91,0.96,0.96,0.96,0.97,55938.0,37.111260419929714,0.8216988165876209,34.33056350971805,36.62940026956147,37.15951148694944,37.64667018864492,42.10677275587739
cam1-000-000187-0.tif,Inside,289694.0,33.4831428527832,0.6518305540084839,31.04998779296875,33.04998779296875,33.529998779296875,33.92999267578125,38.410003662109375,289694.0,0.7996798157691956,1.3903833627700806,0.0,0.29499998688697815,0.42500001192092896,0.7300000190734863,12.748000144958496,289694.0,247.50323486328125,0.5015690326690674,246.24099731445312,247.1300048828125,247.48800659179688,247.8769989013672,248.7899932861328,289694.0,0.926039401045373,0.08949211717308786,0.08928571428571429,0.8947368421052632,0.9583333333333334,0.9885057471264368,1.0,289694.0,0.4595596073926022,0.9098163066109156,0.0,0.0,0.029197598842305272,0.4700949116340683,10.17519267046476,289694.0,142.41928100585938,73.78870391845703,11.0,80.05622863769531,136.18002319335938,201.18896484375,322.27008056640625,289694.0,2.3881399631500244,2.051922559738159,0.0,1.0,2.0,3.605551242828369,12.369317054748535,289694.0,92.60394010453727,8.949211717308785,8.928571428571429,89.47368421052632,95.83333333333334,98.85057471264368,100.0,289694.0,-3135919.827115641,1.8626483640886546e-09,-3135919.827115643,-3135919.827115643,-3135919.827115643,-3135919.827115643,-3135919.827115643,289694.0,3491507.35449411,1.8626483640886546e-09,3491507.354494112,3491507.354494112,3491507.354494112,3491507.354494112,3491507.354494112,289694.0,345.9041748046875,0.0,345.9041748046875,345.9041748046875,345.9041748046875,345.9041748046875,345.9041748046875,289694.0,25.242850299999994,1.421087924261974e-14,25.242850300000008,25.242850300000008,25.242850300000008,25.242850300000008,25.242850300000008,289694.0,88.42947683333337,5.684351697047896e-14,88.42947683333331,88.42947683333331,88.42947683333331,88.42947683333331,88.42947683333331,289694.0,1536950.251054086,6.984931365332454e-10,1536950.2510540867,1536950.2510540867,1536950.2510540867,1536950.2510540867,1536950.2510540867,289694.0,98.40093705223666,0.5015690192066824,97.11418151855469,98.02717590332031,98.41616821289062,98.774169921875,99.66317749023438,289694.0,3855.6647808912026,35.1210350796414,3725.905693936519,3832.2717350187045,3858.0872110972286,3879.684210048209,4126.854073627628,289694.0,0.9913733726806351,3.381090749970479e-05,0.9912883683758053,0.9913482067605679,0.991372330626912,0.9913985605247998,0.991460197163269,289694.0,0.9639890367076985,0.004947232957216514,0.91,0.96,0.96,0.97,0.97,289694.0,36.463821403976006,0.8409811300089468,33.58784989604288,35.86432605868782,36.53494292629358,37.07037841820477,42.59934529259431
cam1-000-000187-0.tif,Outside,280306.0,33.54106903076172,0.5494054555892944,31.45001220703125,33.209991455078125,33.57000732421875,33.889984130859375,37.57000732421875,280306.0,0.4000055193901062,0.388954758644104,0.017000000923871994,0.23199999332427979,0.30300000309944153,0.40700000524520874,10.315999984741211,280306.0,245.76455688476562,0.46758684515953064,244.4980010986328,245.4250030517578,245.78799438476562,246.11199951171875,246.89300537109375,280306.0,0.9152123454433072,0.09241597831376239,0.12244897959183673,0.8764044943820225,0.9444444444444444,0.9841269841269841,1.0,280306.0,0.1558474993232944,0.5080243975350234,0.0,0.0,0.0,0.01646099827303096,8.254268770090183,280306.0,141.1724853515625,62.81526565551758,5.385164737701416,89.62700653076172,138.85243225097656,190.21304321289062,285.36468505859375,280306.0,5.2476911544799805,4.039369583129883,0.0,2.2360680103302,4.242640495300293,7.6157732009887695,21.954498291015625,280306.0,91.52123454433074,9.241597831376238,12.244897959183673,87.64044943820225,94.44444444444444,98.4126984126984,100.0,280306.0,-3135919.827115641,1.8626484717608582e-09,-3135919.827115643,-3135919.827115643,-3135919.827115643,-3135919.827115643,-3135919.827115643,280306.0,3491507.35449411,1.8626484717608582e-09,3491507.354494112,3491507.354494112,3491507.354494112,3491507.354494112,3491507.354494112,280306.0,345.9041748046875,0.0,345.9041748046875,345.9041748046875,345.9041748046875,345.9041748046875,345.9041748046875,280306.0,25.242850299999994,1.4210880064093462e-14,25.242850300000008,25.242850300000008,25.242850300000008,25.242850300000008,25.242850300000008,280306.0,88.42947683333337,5.684352025637385e-14,88.42947683333331,88.42947683333331,88.42947683333331,88.42947683333331,88.42947683333331,280306.0,1536950.251054086,6.984931769103218e-10,1536950.2510540867,1536950.2510540867,1536950.2510540867,1536950.2510540867,1536950.2510540867,280306.0,100.13960711477479,0.4675868358161559,99.01116943359375,99.79217529296875,100.11618041992188,100.47917175292969,101.40617370605469,280306.0,3858.756956183845,29.606648680424414,3747.0259406710666,3840.864542272111,3860.2439302302278,3877.520540542013,4079.7712819058947,280306.0,0.99125635247043,3.141975264930853e-05,0.9911713232459636,0.991233528045578,0.9912579136938232,0.9912796935502103,0.9913322451717691,280306.0,0.9615945431064619,0.003730500942407475,0.91,0.96,0.96,0.96,0.97,280306.0,36.6922333895791,0.6823226452067893,34.042236564277744,36.30083624942313,36.78659925351752,37.15429066146095,41.81286191205743
