,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside,2595060.0,37.51617431640625,2.61808443069458,33.410003662109375,35.410003662109375,36.850006103515625,38.92999267578125,52.529998779296875,2595060.0,2.5055296421051025,2.679659128189087,0.0,0.4269999861717224,1.774999976158142,3.447999954223633,17.167999267578125,2595060.0,231.53456115722656,7.148205757141113,221.75599670410156,224.19000244140625,228.21400451660156,239.16400146484375,242.74600219726562,2595060.0,0.684795505313433,0.1829183878078084,0.0,0.5804597701149427,0.6972222222222222,0.8157894736842105,1.0,2595060.0,0.9866078008179241,0.8080653018357425,0.0,0.17402275397925962,1.004307295765221,1.5288190507014192,7.657282792978191,2595060.0,68.4795505313433,18.291838780780846,0.0,58.045977011494266,69.72222222222221,81.57894736842105,100.0,2595060.0,37.51617431640625,2.61808443069458,33.410003662109375,35.410003662109375,36.850006103515625,38.92999267578125,52.529998779296875
Outside,2269572.0,38.8461799621582,2.5625016689300537,32.57000732421875,36.889984130859375,38.57000732421875,40.57000732421875,61.329986572265625,2269572.0,0.8724288940429688,1.2471914291381836,0.0,0.07699999958276749,0.17499999701976776,1.5049999952316284,9.840999603271484,2269572.0,235.4336700439453,7.2582268714904785,221.8179931640625,226.9929962158203,237.93299865722656,241.42999267578125,246.0469970703125,2269572.0,0.4971813595442556,0.24041051977443,0.0,0.32142857142857145,0.5192307692307693,0.6785714285714286,1.0,2269572.0,0.36071137896128574,0.5521475985626191,0.0,0.0,0.0,0.6496432388024753,5.416100402204421,2269572.0,49.718135954425534,24.041051977443,0.0,32.142857142857146,51.92307692307693,67.85714285714286,100.0,2269572.0,38.8461799621582,2.5625016689300537,32.57000732421875,36.889984130859375,38.57000732421875,40.57000732421875,61.329986572265625
