site,count,mean,std,min,25%,50%,75%,max
BuffaloCamp,6.0,35.76386325789553,1.3862260631454835,34.150762672744456,34.80089250355935,35.63809093365188,36.41842670318871,37.9558700207621
Hlangwine,16.0,31.140366201651055,1.077361801324905,29.455058408680944,30.287407227995757,31.300183077978364,31.836538104663788,33.18197703285549
Letaba,9.0,39.789267731857315,0.8780563924937272,38.32021475460113,39.16940252480212,39.96102854393742,40.53014148050184,40.87708828743547
Makhohlola,5.0,36.59160719827484,0.3241896574300044,36.090817979493636,36.46274129198137,36.73597907410519,36.74937739673759,36.91912024905642
Nkuhlu,4.0,40.896818311695476,1.472247385007366,38.918022308411786,40.31739137166566,41.14350280117498,41.7229297412048,42.38224533602016
RoanCamp,41.0,37.99133682803087,1.6362723727085797,34.498548861571756,37.08331660834873,38.1840319807017,38.62479408743507,42.288483492208485
