,site,imgf,tstat,p,cohensd,meandiff,mean_inside,mean_outside,n_inside,n_outside,stddiff,std_inside,std_outside,CVdiff,CV_inside,CV_outside
0,RoanCamp,cam1-000-000098-0.tif,-693.1797615335703,0.0,-1.937969529132367,-4.617081763181432,38.73703392120855,43.35411568438998,255875,255875,-1.3770958233474588,1.5922166127034778,2.9693124360509366,-0.027386533036723608,0.041103214457308725,0.06848974749403233
1,RoanCamp,cam1-000-000108-0.tif,-839.293712861902,0.0,-1.7432271261169077,-3.935449780376132,39.063973702056025,42.99942348243216,463607,463607,-0.9104870912075964,1.755945328746265,2.6664324199538614,-0.017060383103422283,0.044950504578438355,0.06201088768186064
2,RoanCamp,cam1-000-000117-0.tif,-788.6627637267645,0.0,-1.738925805131662,-4.389952897223765,39.67350902381378,44.06346192103754,411387,411387,-0.8649128390879741,2.054747322395547,2.919660161483521,-0.014468925548262963,0.05179141883220357,0.06626034438046653
3,RoanCamp,cam1-000-000127-0.tif,-700.9582097510241,0.0,-1.522752110909883,-4.006462997578112,39.79514681953188,43.80160981710999,423795,423795,-0.5288878205205854,2.353300073048011,2.8821878935685965,-0.006665604672186812,0.059135353457044834,0.06580095812923165
4,RoanCamp,cam1-000-000138-0.tif,-696.9557389617148,0.0,-1.5405619416057261,-4.3841409196799574,39.25408533632265,43.63822625600261,409338,409338,-0.16093619518726232,2.7642003422816965,2.925136537468959,0.0033866392124718286,0.0704181569535623,0.06703151774109047
5,RoanCamp,cam1-000-000154-0.tif,-1029.4511217956617,0.0,-2.535893908524531,-5.681550652414323,38.4010949566652,44.08264560907952,329594,329594,-0.6348717903468473,1.9004151548784558,2.535286945225303,-0.008023565423214633,0.049488566850060735,0.05751213227327537
6,RoanCamp,cam1-000-000169-0.tif,-822.6267031462176,0.0,-1.9531370912756014,-4.820559892257748,38.45891319598099,43.27947308823874,354789,354789,-0.6056990057319336,2.1466108437082227,2.7523098494401563,-0.007778193603971376,0.05581569174275436,0.06359388534672573
7,RoanCamp,cam1-000-000179-0.tif,-802.2370983477293,0.0,-1.8821721389763852,-4.7743594150802835,38.42415521587745,43.19851463095773,363343,363343,-0.9728647368661503,2.0031128012558006,2.975977538121951,-0.01675913475151298,0.05213160289411083,0.06889073764562381
8,RoanCamp,cam1-000-000191-0.tif,-541.509451643197,0.0,-1.4913626683226573,-3.544395443649428,38.5592986763058,42.10369411995523,263679,263679,-1.032467113842217,1.8036378929574974,2.8361050067997144,-0.020584311686681407,0.04677569237185867,0.06736000405854008
9,RoanCamp,cam1-000-000227-0.tif,-79.13374252933538,0.0,-0.17987287602915364,-0.5461192070878695,38.112579650951474,38.658698858039344,387099,387099,0.8889742345878955,3.4479145593133844,2.558940324725489,0.02427344418495747,0.09046657536410836,0.06619313117915089
10,RoanCamp,cam1-000-000236-0.tif,-60.84025470376957,0.0,-0.2587284372312492,-0.7114712579894444,38.559160069417025,39.27063132740647,110592,110592,-0.12009828948997514,2.689171662600867,2.809269952090842,-0.0017947064067983243,0.06974144814771958,0.07153615455451791
11,RoanCamp,cam1-000-000247-0.tif,-453.10526583449587,0.0,-1.9759052064622271,-4.723314612548549,38.06011737640647,42.783431988955016,105171,105171,-0.6562967127864803,2.039677423175148,2.6959741359616283,-0.00942350413336008,0.0535909388561042,0.06301444298946428
12,RoanCamp,cam1-000-000259-0.tif,-466.0654609194217,0.0,-2.0149578683790037,-4.662100914656996,38.08967284151311,42.7517737561701,107002,107002,-0.6394653023465353,1.971815310051289,2.6112806123978243,-0.009312338603198439,0.05176771452608147,0.06108005312927991
13,RoanCamp,cam1-000-000269-0.tif,-515.4435321877826,0.0,-2.213600964529524,-5.391055238765752,37.66603410067837,43.05708933944412,108441,108441,-0.5660369226550794,2.135904216424552,2.7019411390796315,-0.0060461524938153904,0.05670637398977145,0.06275252648358684
14,RoanCamp,cam1-000-000287-0.tif,-715.7567839482781,0.0,-3.233080184471752,-6.820137137763908,37.08331660834873,43.90345374611264,98023,98023,-0.05212697812049871,2.0832614159210183,2.135388394041517,0.007539583144721779,0.05617786127177213,0.04863827812705035
15,RoanCamp,cam1-000-000352-0.tif,-374.77731787218056,0.0,-1.7943229060131678,-3.817777656260205,36.098702913204,39.916480569464206,87252,87252,-1.2045305035434701,1.4384150977899535,2.6429456013334236,-0.026365164240356752,0.03984672527565574,0.06621188951601249
16,RoanCamp,cam1-000-000463-0.tif,-208.94821437200318,0.0,-0.44496464405107894,-0.6851767012226162,34.498548861571756,35.18372556279437,441018,441018,0.37128205554703486,1.7142550587798118,1.342973003232777,0.011520352651226307,0.04969064251538232,0.038170289864156014
17,RoanCamp,cam1-001-000198-0.tif,-198.81148201072233,0.0,-0.4207869523283148,-0.7701967072017837,34.83045102857241,35.600647735774196,446466,446466,0.21434387740822336,1.9344038023901982,1.7200599249819748,0.007222308077858196,0.05553771901498926,0.04831541093713106
18,RoanCamp,cam1-001-000333-0.tif,-252.84685673981954,0.0,-1.134235919025395,-2.634826587558635,36.27429655491607,38.909123142474705,99389,99389,-0.8071543679592335,1.884094189992196,2.6912485579514294,-0.01722734659453385,0.05194019923004831,0.06916754582458216
