,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Easting_pix,Easting_pix,Easting_pix,Easting_pix,Easting_pix,Easting_pix,Easting_pix,Easting_pix,Northing_pix,Northing_pix,Northing_pix,Northing_pix,Northing_pix,Northing_pix,Northing_pix,Northing_pix,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside,2640429.0,32.31222915649414,2.1936891078948975,26.25,30.69000244140625,32.3699951171875,33.889984130859375,44.850006103515625,2640429.0,1.172016978263855,1.6581673622131348,-0.006000000052154064,0.24699999392032623,0.40700000524520874,1.50600004196167,12.529999732971191,2640429.0,375762.24813143996,85.35448971652143,375552.45,375716.25,375772.05000000005,375833.25,375918.75,2640429.0,7299273.898003447,315.14403569683157,7298753.25,7299046.95,7299177.75,7299638.25,7299765.75,2640429.0,277.5395202636719,1.9403696060180664,272.7640075683594,276.3429870605469,277.53399658203125,278.7430114746094,282.3280029296875,2640429.0,0.8027333032401504,0.17207018712147626,0.0,0.7142857142857143,0.8450704225352113,0.9354838709677419,1.0,2640429.0,0.4677234506834451,0.7362667363599088,0.0,0.0,0.028777474904199112,0.8185837305135822,10.525380377809764,2640429.0,32.31222915649414,2.1936891078948975,26.25,30.69000244140625,32.3699951171875,33.889984130859375,44.850006103515625
Outside,2213745.0,33.485599517822266,1.869493007659912,27.410003662109375,32.170013427734375,33.6099853515625,34.92999267578125,44.970001220703125,2213745.0,0.5394936800003052,1.1031615734100342,-0.08299999684095383,0.18799999356269836,0.26100000739097595,0.3779999911785126,13.282999992370605,2213745.0,375873.4836591611,64.79670737492505,375757.05,375820.05000000005,375878.55000000005,375929.85000000003,375991.35000000003,2213745.0,7299282.350878014,321.2778277978441,7298753.25,7298983.05,7299301.65,7299603.45,7299860.850000001,2213745.0,275.697265625,1.6207406520843506,272.0769958496094,274.7250061035156,275.5570068359375,276.5249938964844,280.39801025390625,2213745.0,0.8053409358914152,0.1572095409782024,0.0,0.7209302325581395,0.8395061728395061,0.9266666666666666,1.0,2213745.0,0.15937157302161326,0.48330232831348924,0.0,0.0,0.0,0.0,9.854507370314401,2213745.0,33.485599517822266,1.869493007659912,27.410003662109375,32.170013427734375,33.6099853515625,34.92999267578125,44.970001220703125
