site,count,mean,std,min,25%,50%,75%,max
BuffaloCamp,6.0,4.091180811141635e-242,0.0,0.0,0.0,0.0,0.0,2.454708486684981e-241
Hlangwine,16.0,7.042397309315238e-07,2.8169589237257976e-06,0.0,0.0,0.0,1.0047306882623795e-202,1.1267835694903265e-05
Letaba,9.0,1.0391142099880828e-218,0.0,0.0,0.0,0.0,0.0,9.352027889892745e-218
Makhohlola,5.0,4.043309775681464e-268,0.0,0.0,0.0,0.0,0.0,2.021654887840732e-267
Nkuhlu,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoanCamp,41.0,7.599301006916808e-85,4.865926846493687e-84,0.0,0.0,0.0,0.0,3.115713412835891e-83
