,,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent
,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
imgf,Topo,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1-000-000227-0.tif,Lowland,Inside,586515.0,34.6540412902832,2.454496145248413,30.6099853515625,32.529998779296875,33.970001220703125,36.769989013671875,41.529998779296875,586515.0,2.649482011795044,2.700143337249756,0.0,0.07699999958276749,2.1389999389648438,4.849999904632568,11.329000473022461,586515.0,387498.0,277.8067626953125,386668.0,387299.0,387490.0,387652.0,388522.0,586515.0,0.4863679758857296,0.29613165376746414,0.0,0.20833333333333334,0.5274122807017544,0.7380952380952381,1.0,586515.0,0.7154487537002976,0.7510994505926185,0.0,0.0,0.5443283582760068,1.3236416963761823,8.333452521641394,586515.0,48.63679758857297,29.613165376746412,0.0,20.833333333333336,52.74122807017544,73.80952380952381,100.0
cam1-000-000227-0.tif,Lowland,Outside,965730.0,34.978946685791016,1.6021009683609009,31.010009765625,34.010009765625,34.69000244140625,35.730010986328125,41.089996337890625,965730.0,0.4720877408981323,0.8340898156166077,0.0,0.07500000298023224,0.17299999296665192,0.3970000147819519,13.248000144958496,965730.0,386846.96875,522.6251831054688,385560.0,386440.0,386676.0,387292.0,388383.0,965730.0,0.5300383946617779,0.30765219262829285,0.0,0.26,0.5675675675675675,0.8,1.0,965730.0,0.19072468249280933,0.48583032906182544,0.0,0.0,0.0,0.05970592629936232,5.579780735239946,965730.0,53.0038394661778,30.765219262829287,0.0,26.0,56.75675675675676,80.0,100.0
cam1-000-000236-0.tif,Lowland,Inside,177730.0,35.07359313964844,2.234844923019409,31.45001220703125,33.1300048828125,34.529998779296875,36.80999755859375,40.92999267578125,177730.0,2.5009894371032715,2.5954220294952393,0.0,0.052000001072883606,1.9169999957084656,4.8480000495910645,10.409000396728516,177730.0,387789.34375,254.56141662597656,387317.0,387577.0,387767.0,387956.0,388718.0,177730.0,0.35095693339994355,0.25778058975873064,0.0,0.09868421052631579,0.3487654320987655,0.571059431524548,0.9743589743589743,177730.0,0.5648886683134238,0.6163317548384163,0.0,0.0,0.31357069411105565,1.1089649747310422,2.9295391000511106,177730.0,35.095693339994355,25.778058975873062,0.0,9.868421052631579,34.87654320987655,57.1059431524548,97.43589743589743
cam1-000-000236-0.tif,Lowland,Outside,141435.0,34.93506622314453,1.4933278560638428,31.45001220703125,34.04998779296875,34.889984130859375,35.889984130859375,39.3699951171875,141435.0,0.5528566837310791,1.128311276435852,0.0,0.06199999898672104,0.10000000149011612,0.20000000298023224,5.798999786376953,141435.0,387851.75,257.0535583496094,387196.0,387673.0,387845.0,388058.0,388600.0,141435.0,0.39223169025266685,0.25559599774096653,0.0,0.17829457364341086,0.37681159420289856,0.5918367346938775,1.0,141435.0,0.17991140743586473,0.4575811134250345,0.0,0.0,0.0,0.0,4.702750514326955,141435.0,39.22316902526669,25.559599774096657,0.0,17.829457364341085,37.68115942028986,59.183673469387756,100.0
cam1-000-000463-0.tif,Lowland,Inside,668210.0,31.459705352783203,1.2711350917816162,28.769989013671875,30.57000732421875,31.410003662109375,32.1300048828125,37.089996337890625,668210.0,1.7915340662002563,2.552402973175049,0.0,0.2070000022649765,0.4519999921321869,2.446000099182129,11.23799991607666,668210.0,387263.46875,175.9773712158203,386668.0,387135.0,387230.0,387351.0,388138.0,668210.0,0.7343232424213846,0.23048534509335622,0.0,0.627906976744186,0.8,0.9076923076923077,1.0,668210.0,0.5022559582629369,0.7261792556209151,0.0,0.0,0.07775778247833703,0.9191223615890872,7.863651265448648,668210.0,73.43232424213845,23.048534509335617,0.0,62.7906976744186,80.0,90.76923076923077,100.0
cam1-000-000463-0.tif,Lowland,Outside,1116430.0,31.754796981811523,0.733620822429657,29.970001220703125,31.290008544921875,31.6099853515625,31.970001220703125,37.089996337890625,1116430.0,0.2701190710067749,0.17024783790111542,0.0,0.1459999978542328,0.25,0.3659999966621399,1.9490000009536743,1116430.0,386657.8125,258.2242431640625,385797.0,386486.0,386647.0,386833.0,387562.0,1116430.0,0.7588214537213953,0.2602824348168646,0.0,0.65,0.8421052631578947,0.9620253164556962,1.0,1116430.0,0.06910024340988681,0.26892885918196585,0.0,0.0,0.0,0.0,6.356107660695892,1116430.0,75.88214537213946,26.028243481686467,0.0,65.0,84.21052631578947,96.20253164556962,100.0
cam1-001-000198-0.tif,Lowland,Inside,676465.0,31.759479522705078,1.4352235794067383,28.410003662109375,30.69000244140625,31.45001220703125,32.69000244140625,37.970001220703125,676465.0,2.163208484649658,2.9814438819885254,0.0,0.17100000381469727,0.42100000381469727,4.1539998054504395,13.187999725341797,676465.0,387844.90625,337.8063659667969,387289.0,387533.0,387752.0,388178.0,389189.0,676465.0,0.6635831127776937,0.24227646228835584,0.0,0.5254237288135594,0.7222222222222223,0.847457627118644,1.0,676465.0,0.43702259704509105,0.6269245514240942,0.0,0.0,0.0740825433606982,0.7725508274300463,8.348774539791282,676465.0,66.35831127776935,24.227646228835575,0.0,52.54237288135594,72.22222222222223,84.7457627118644,100.0
cam1-001-000198-0.tif,Lowland,Outside,1233925.0,32.06007385253906,1.0076522827148438,28.92999267578125,31.45001220703125,31.889984130859375,32.57000732421875,37.529998779296875,1233925.0,0.2756531238555908,0.4164946675300598,0.0,0.09600000083446503,0.17299999296665192,0.3019999861717224,6.479000091552734,1233925.0,387523.78125,347.23419189453125,386432.0,387276.0,387491.0,387804.0,389372.0,1233925.0,0.6357443654163053,0.2751923375712071,0.0,0.4473684210526316,0.6808510638297872,0.8636363636363636,1.0,1233925.0,0.10254435718169462,0.3933013538494232,0.0,0.0,0.0,0.0,7.110696122978827,1233925.0,63.57443654163052,27.519233757120706,0.0,44.73684210526316,68.08510638297872,86.36363636363636,100.0
