site,count,mean,std,min,25%,50%,75%,max
BuffaloCamp,6.0,0.05507723614573479,0.008077934384346008,0.041764553636312485,0.052366348914802074,0.055390577763319016,0.06040489953011274,0.06448309123516083
Hlangwine,18.0,0.030550070106983185,0.008272922597825527,0.01946164108812809,0.02446010895073414,0.02773362025618553,0.03757865075021982,0.04546798765659332
Letaba,9.0,0.05598314478993416,0.011371413245797157,0.04417947679758072,0.04864528030157089,0.05349833518266678,0.05798247084021568,0.08051806688308716
Makhohlola,4.0,0.01938597299158573,0.0009373081848025322,0.0182575061917305,0.019007859751582146,0.019372349604964256,0.019750462379306555,0.020541684702038765
Nkuhlu,4.0,0.050451524555683136,0.017817771062254906,0.03260156884789467,0.036658041179180145,0.050213463604450226,0.06400694698095322,0.06877760589122772
RoanCamp,41.0,0.04792056605219841,0.013492806814610958,0.03106267936527729,0.0392475351691246,0.04520908370614052,0.05295513570308685,0.08840235322713852
