,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside,19398544.0,28.63652801513672,1.4422911405563354,25.45001220703125,27.529998779296875,28.529998779296875,29.489990234375,35.92999267578125,19398544.0,1.7576587200164795,2.2862281799316406,0.0,0.14900000393390656,0.4970000088214874,2.9539999961853027,13.531000137329102,19398544.0,571.3552856445312,12.439325332641602,543.1950073242188,564.0289916992188,570.0490112304688,576.2249755859375,599.6939697265625,19398544.0,0.5884130148030593,0.21208642093145336,0.0,0.44,0.6081081081081081,0.747549019607843,1.0,19398544.0,0.48338773225451737,0.6695804084540095,0.0,0.0,0.09499411056543894,0.9083537578517248,10.131529215576482,19398544.0,58.841301480305795,21.208642093145308,0.0,44.0,60.810810810810814,74.75490196078431,100.0,19398544.0,28.63652801513672,1.4422911405563354,25.45001220703125,27.529998779296875,28.529998779296875,29.489990234375,35.92999267578125
Outside,16524696.0,28.988435745239258,1.6236261129379272,25.489990234375,27.649993896484375,28.80999755859375,30.170013427734375,35.649993896484375,16524696.0,0.9667502045631409,1.703012466430664,-0.06400000303983688,0.10199999809265137,0.18700000643730164,1.093999981880188,15.461000442504883,16524696.0,564.96484375,11.865019798278809,541.3740234375,554.885009765625,561.1740112304688,575.780029296875,595.3200073242188,16524696.0,0.5060754417586147,0.24539527008975467,0.0,0.3188405797101449,0.5166666666666666,0.6954545454545454,1.0,16524696.0,0.26508223769344014,0.4823604817613035,0.0,0.0,0.009111633071721381,0.27235668688413095,8.188689124444195,16524696.0,50.60754417586156,24.539527008975508,0.0,31.88405797101449,51.66666666666666,69.54545454545455,100.0,16524696.0,28.988435745239258,1.6236261129379272,25.489990234375,27.649993896484375,28.80999755859375,30.170013427734375,35.649993896484375
