,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,RH,RH,RH,RH,RH,RH,RH,RH,STRD,STRD,STRD,STRD,STRD,STRD,STRD,STRD,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,phi,phi,phi,phi,phi,phi,phi,phi,tau,tau,tau,tau,tau,tau,tau,tau,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Topo,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowland,Inside,8965670.0,33.804447174072266,2.5814616680145264,28.410003662109375,31.92999267578125,33.290008544921875,35.170013427734375,45.170013427734375,8965670.0,1.5927324295043945,2.3741986751556396,0.0,0.11999999731779099,0.37599998712539673,1.86899995803833,13.187999725341797,8965670.0,389873.71875,1709.4091796875,386668.0,388385.0,389897.0,391467.0,393457.0,8965670.0,0.5668719617666956,0.28116503255868586,0.0,0.35714285714285715,0.6190476190476191,0.7992424242424243,1.0,8965670.0,0.40592650118082224,0.6217811300925401,0.0,0.0,0.049383343289197516,0.6595771624665814,10.125271206894157,8965670.0,56.6871961766695,28.116503255868615,0.0,35.714285714285715,61.904761904761905,79.92424242424244,100.0,8965670.0,7480496.770620248,524.8560762719621,7479545.20885664,7480159.697430455,7480506.399489645,7481056.394462062,7481153.087254513,8965670.0,322289.0142154437,103.75615683777491,321976.8262529245,322238.76842338854,322328.487845505,322365.10334196186,322450.12963855354,8965670.0,500.9745087923755,0.9162019846796458,499.1999816894531,500.0325927734375,501.12982177734375,501.537841796875,502.3261413574219,8965670.0,30.47558238203779,0.8595418428034858,28.667952550000013,29.96028207222222,30.86866333333333,31.130665866666668,31.146930933333337,8965670.0,54.12892082378015,2.836350746496366,51.88378627777777,51.94139172222222,52.86931736111112,55.84597905555556,60.07750049999997,8965670.0,1554544.9613383012,4190.257624108044,1548878.7929565222,1549339.1912558775,1556755.4240476391,1558268.5492147724,1560089.7268533674,8965670.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,8965670.0,3874.5052473661053,141.10776584898875,3588.4536661701973,3772.4694375768527,3845.166398110984,3947.127874005348,4518.1872142247275,8965670.0,0.9907735646517976,1.0102503088543495e-05,0.9907631150142702,0.9907636501471473,0.9907718516269348,0.9907843971503133,0.9907895113814884,8965670.0,0.9600779027111197,0.01614686384679899,0.91,0.96,0.96,0.97,0.97,8965670.0,37.11746435108688,3.333644308183749,30.940836426503324,34.803272895541056,36.33089345439578,38.54478137197839,52.514029763034785
Lowland,Outside,10174060.0,34.60719680786133,2.7678561210632324,28.92999267578125,32.209991455078125,34.1300048828125,36.730010986328125,44.170013427734375,10174060.0,0.28205350041389465,0.547117292881012,0.0,0.04899999871850014,0.10199999809265137,0.25699999928474426,13.248000144958496,10174060.0,389724.46875,2308.245849609375,385560.0,387479.0,389883.0,391931.0,394076.0,10174060.0,0.43192012635159127,0.33207307631332333,0.0,0.1111111111111111,0.4024390243902439,0.7307692307692307,1.0,10174060.0,0.11888057472318507,0.387800509846719,0.0,0.0,0.0,0.0,8.908694592507013,10174060.0,43.192012635159124,33.20730763133229,0.0,11.11111111111111,40.243902439024396,73.07692307692307,100.0,10174060.0,7480368.6449727155,542.7172507856278,7479545.20885664,7479927.050053013,7480387.568794755,7480862.380374591,7481153.087254513,10174060.0,322305.84452157485,106.69254512818324,321976.8262529245,322238.76842338854,322328.487845505,322368.27495774126,322450.12963855354,10174060.0,500.87826795949553,0.8397392363981964,499.1999816894531,500.0325927734375,500.9057922363281,501.4383544921875,502.3261413574219,10174060.0,30.249216907429375,0.9179583936533575,28.667952550000013,29.618766566666675,30.863146800000003,31.062669466666662,31.146930933333337,10174060.0,54.87647764410367,3.0275977673248122,51.88378627777777,52.18221230555555,52.88885508333332,56.96421566666664,60.07750049999997,10174060.0,1555503.8682421145,4152.540687134921,1548878.7929565222,1551263.8945210944,1556911.5748103166,1558749.819967515,1560089.7268533674,10174060.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,10174060.0,3918.275565676604,151.59322529382132,3615.261897942499,3787.3633047859576,3890.512492424135,4033.0295775165227,4458.9040808833215,10174060.0,0.9907763861431744,1.0616444420822256e-05,0.9907631150142702,0.9907658541569002,0.9907720159227222,0.9907871156511765,0.9907895113814884,10174060.0,0.9482209314668858,0.022975090556227745,0.91,0.91,0.96,0.96,0.97,10174060.0,38.77354347138949,3.9304466824993725,31.46938091048753,35.42855991485527,37.83901607447649,41.33908247628119,51.46741717202099
Upland,Inside,26518160.0,34.716094970703125,2.1343064308166504,29.6099853515625,33.170013427734375,34.529998779296875,35.889984130859375,49.410003662109375,26518160.0,1.3501784801483154,2.146200656890869,0.0,0.10300000011920929,0.20499999821186066,1.906999945640564,14.020000457763672,26518160.0,393898.28125,3343.50634765625,388395.0,390467.0,394307.0,397334.0,398998.0,26518160.0,0.5163569595203195,0.24252689833808458,0.0,0.33707865168539325,0.5454545454545454,0.7027027027027027,1.0,26518160.0,0.3191163985989887,0.5032695842714001,0.0,0.0,0.0,0.5856518923641293,7.245349507538766,26518160.0,51.63569595203195,24.252689833808468,0.0,33.70786516853933,54.54545454545454,70.27027027027027,100.0,26518160.0,7480038.279372789,659.6272812719916,7479251.498109303,7479483.264248246,7479824.751511654,7480883.086099207,7481153.087254513,26518160.0,321006.7148289001,499.6543857980788,320438.4663870014,320473.9359166515,320945.22663247294,321449.1080151448,321995.4531473905,26518160.0,500.1588860580895,0.5692023473014886,499.1037902832031,499.8056640625,500.0406188964844,500.683349609375,501.46282958984375,26518160.0,29.79139366924708,1.1449968877782453,28.455244566666693,28.693423377777773,29.789859238888905,31.10585906666667,31.154938933333334,26518160.0,56.36151170108052,3.7602575197020056,51.855424611111104,52.02924913888888,56.40400072222217,59.994100444444456,60.61197291666661,26518160.0,1555744.9233393925,4329.401272765994,1548652.1188421887,1550041.371503061,1557464.0722523492,1559983.5779388524,1560174.1498578377,26518160.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,26518160.0,3923.4525170349593,117.25046773295138,3650.515439888487,3838.7164122151653,3912.225328852471,3986.6271755446624,4774.923381991588,26518160.0,0.9907784432684208,1.1131948798969884e-05,0.9907628504176521,0.9907644604102502,0.9907836242708132,0.9907894659119378,0.9907895628021616,26518160.0,0.9593525550038138,0.015549377157496332,0.91,0.96,0.96,0.97,0.97,26518160.0,38.09109883233828,2.6762220873778646,32.16219692325012,36.18600023311052,37.76049868276692,39.43550435500737,56.952406829907886
Upland,Outside,15807800.0,37.25286865234375,1.8970550298690796,30.410003662109375,36.089996337890625,37.329986572265625,38.57000732421875,47.489990234375,15807800.0,0.2233702838420868,0.5479767322540283,-0.08100000023841858,0.028999999165534973,0.050999999046325684,0.09300000220537186,8.194000244140625,15807800.0,392436.53125,3564.508544921875,387561.0,389520.0,390910.0,396039.0,399022.0,15807800.0,0.19920580657048903,0.2382865373745531,0.0,0.0,0.10344827586206896,0.3023255813953488,1.0,15807800.0,0.09980207425356329,0.3211509959179368,0.0,0.0,0.0,0.0,7.902487437162851,15807800.0,19.920580657048887,23.828653737455305,0.0,0.0,10.344827586206897,30.23255813953488,100.0,15807800.0,7479932.09731247,798.3562685969453,7479251.498109303,7479305.105087852,7479402.5042774845,7480931.892551801,7481153.087254513,15807800.0,321232.9309551938,495.50229963965785,320438.4663870014,320746.42939396185,321329.70166583307,321661.5482350847,321995.4531473905,15807800.0,500.36040278245696,0.5034455625081666,499.1037902832031,500.0189208984375,500.2297668457031,500.7814025878906,501.46282958984375,15807800.0,29.465702997447828,1.2203184761782802,28.455244566666693,28.51123776666669,28.608044972222224,31.1127992,31.154938933333334,15807800.0,57.39921616157252,3.9971496713540025,51.855424611111104,52.0046695,60.27365805555555,60.49129791666661,60.61197291666661,15807800.0,1555281.3073035234,4534.827211075803,1548652.1188421887,1549844.9243781,1556890.5251214933,1559066.1039085744,1560174.1498578377,15807800.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,15807800.0,4062.956239600707,105.51430028979858,3692.2765259100584,3997.6447627107,4066.3804939093375,4135.861149974648,4657.586621562289,15807800.0,0.9907787394931072,1.1119821648687559e-05,0.9907628504176521,0.9907642344421386,0.9907844210541887,0.9907876559569773,0.9907895628021616,15807800.0,0.936537117751996,0.02624430228143913,0.91,0.91,0.96,0.96,1.0,15807800.0,42.32741965947388,3.2373378991052792,32.973941431060325,39.806667589985636,42.37389523060352,45.100583698641685,54.942052428174975
