site,count,mean,std,min,25%,50%,75%,max
BuffaloCamp,6.0,-60.419363630090345,22.232925635890577,-82.93870956885429,-77.88785365269109,-63.51754763692072,-47.64852454946468,-27.50557109291912
Hlangwine,18.0,-100.24472343234322,120.42052337892025,-337.84226359891125,-194.08673953287175,-84.34271749536778,-20.295835741152057,102.75019563757336
Letaba,9.0,-271.6657339079315,238.31754226405172,-583.5039972096241,-474.3485004755667,-188.74394166738847,-135.07684524772648,104.47814315327388
Makhohlola,4.0,-110.13037901815896,97.35849492490449,-230.75205147771513,-168.30437627520521,-90.53966896642586,-32.36567170937963,-28.690126662068973
Nkuhlu,4.0,-119.15528190584807,206.66646850744812,-396.60052130343723,-201.85417848988135,-84.36662153792967,-1.667724953896382,88.71263675590433
RoanCamp,41.0,-337.28563951640587,275.9379218628371,-953.116732865423,-544.1869621391415,-242.0687822958884,-162.29987869159802,281.29560206913453
