site,count,mean,std,min,25%,50%,75%,max
BuffaloCamp,6.0,1.2124921083450317,0.2702054977416992,0.780021071434021,1.1266933679580688,1.2011131644248962,1.3690665066242218,1.5657676458358765
Hlangwine,16.0,1.7162208557128906,0.6119889616966248,0.9000643491744995,1.3630252480506897,1.6302369832992554,1.9591939449310303,3.389410972595215
Letaba,9.0,1.806133508682251,0.9749791026115417,1.0872246026992798,1.2082924842834473,1.4149025678634644,1.925694465637207,4.2085347175598145
Makhohlola,5.0,0.9999491572380066,0.14387556910514832,0.8027409315109253,0.9602678418159485,0.9662178754806519,1.0874091386795044,1.183110237121582
Nkuhlu,4.0,2.3676671981811523,0.4650636613368988,1.8882038593292236,2.010088086128235,2.395202159881592,2.752781331539154,2.7920608520507812
RoanCamp,41.0,1.4886311292648315,0.4915946125984192,0.5087030529975891,1.2186588048934937,1.4684569835662842,1.7378109693527222,2.7390341758728027
