site,count,mean,std,min,25%,50%,75%,max
Hlangwine,9.0,0.14884936809539795,0.1235460713505745,-0.024897456169128418,0.043041765689849854,0.17643970251083374,0.22484764456748962,0.3552217483520508
Letaba,6.0,-0.29157331585884094,0.2131342589855194,-0.5600943565368652,-0.39698100090026855,-0.31241005659103394,-0.2325778603553772,0.06661295890808105
Nkuhlu,3.0,-0.4901556968688965,0.7155796885490417,-1.3062005043029785,-0.7503083944320679,-0.19441628456115723,-0.08213329315185547,0.03014969825744629
RoanCamp,30.0,-0.027316082268953323,0.2906033396720886,-0.7052699327468872,-0.1676219403743744,-0.020429909229278564,0.08636307716369629,0.6673414707183838
