site,count,mean,std,min,25%,50%,75%,max
BuffaloCamp,6.0,0.013914492270594242,0.009013074512873892,0.006131659462177197,0.007770757256226508,0.010417275103219947,0.017741878448020568,0.0294487464180989
Hlangwine,16.0,-0.0012789477912502488,0.00723233289297471,-0.013943527014663101,-0.006463969048072327,-0.0010786604399182984,0.0025781852003489408,0.012515790490998928
Letaba,9.0,-0.008318070000962,0.008746998963956117,-0.02108090748629994,-0.015434119330899748,-0.005754218225675123,-0.004908829104666557,0.003866333214283507
Makhohlola,5.0,0.0020946662994651977,0.0019115230939474438,-4.227363557798153e-05,0.0005697560819034296,0.001954901388685832,0.003506522953353363,0.004484424708961345
Nkuhlu,4.0,-0.02399697711338341,0.019278643012264923,-0.04729020116813906,-0.03462882034718655,-0.023133157122463503,-0.012501313888660368,-0.0024313930404675776
RoanCamp,41.0,-0.00276574234448213,0.01592502980889574,-0.027386533036723608,-0.014468925548262963,-0.005081846336217388,0.0033866392124718286,0.043375124308511925
