site,count,mean,std,min,25%,50%,75%,max
Hlangwine,9.0,-0.34469303488731384,0.2751714289188385,-0.883008599281311,-0.543597936630249,-0.2966327667236328,-0.17098677158355713,-0.0036989450454711914
Letaba,5.0,-0.5177266597747803,0.2968285381793976,-0.7599596381187439,-0.7548342943191528,-0.6130741834640503,-0.4082977771759033,-0.05246758460998535
Nkuhlu,1.0,-0.7729593515396118,,-0.7729593515396118,-0.7729593515396118,-0.7729593515396118,-0.7729593515396118,-0.7729593515396118
RoanCamp,13.0,-0.5936371684074402,0.8282787799835205,-2.1569695472717285,-0.9753615856170654,-0.7093714475631714,-0.1287139654159546,0.7957892417907715
