,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,RH,RH,RH,RH,RH,RH,RH,RH,STRD,STRD,STRD,STRD,STRD,STRD,STRD,STRD,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,phi,phi,phi,phi,phi,phi,phi,phi,tau,tau,tau,tau,tau,tau,tau,tau,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
imgf,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1-000-000053-0.tif,Inside,401790.0,34.75382995605469,1.4504852294921875,30.3699951171875,33.970001220703125,34.970001220703125,35.730010986328125,43.69000244140625,401790.0,0.7800524830818176,1.0720988512039185,-0.006000000052154064,0.23999999463558197,0.3370000123977661,0.5550000071525574,8.659000396728516,401790.0,274.457763671875,0.5302794575691223,272.7640075683594,274.0820007324219,274.4419860839844,274.8800048828125,275.74798583984375,401790.0,0.8549910419961274,0.13436136742898172,0.0,0.7857142857142857,0.8888888888888888,0.9565217391304348,1.0,401790.0,0.3158569636670681,0.6450782901940532,0.0,0.0,0.0,0.22899714869709092,9.400960731584844,401790.0,7298832.931296056,4.656618667922417e-09,7298832.931296061,7298832.931296061,7298832.931296061,7298832.931296061,7298832.931296061,401790.0,375927.1347968317,1.7462320004709067e-10,375927.1347968315,375927.1347968315,375927.1347968315,375927.1347968315,375927.1347968315,401790.0,375.4596862792969,0.0,375.4596862792969,375.4596862792969,375.4596862792969,375.4596862792969,375.4596862792969,401790.0,25.179100722222227,3.552718099916395e-15,25.179100722222223,25.179100722222223,25.179100722222223,25.179100722222223,25.179100722222223,401790.0,63.35558611111113,2.1316308599498373e-14,63.35558611111111,63.35558611111111,63.35558611111111,63.35558611111111,63.35558611111111,401790.0,1431363.010303341,2.3283093339612087e-10,1431363.0103033409,1431363.0103033409,1431363.0103033409,1431363.0103033409,1431363.0103033409,401790.0,101.00190976511094,0.530279485809356,99.71170043945312,100.57968139648438,101.0177001953125,101.377685546875,102.6956787109375,401790.0,3924.9169997568138,78.795457277009,3690.180753370275,3881.848652097992,3936.199164933319,3977.8290332446095,4430.619447416035,401790.0,0.9903991217665298,3.676244057973739e-05,0.9902818784482894,0.9903730591657556,0.9903980067267172,0.9904283873850872,0.9904886724052957,401790.0,0.962441573956545,0.0059863812075946,0.91,0.96,0.96,0.97,0.97,401790.0,37.95708025756848,1.6499659623541545,32.982310725002094,37.0101586838972,38.223294448564815,39.07722649771324,48.24335177210423
cam1-000-000053-0.tif,Outside,467760.0,35.033973693847656,1.213816523551941,29.649993896484375,34.489990234375,35.170013427734375,35.769989013671875,40.329986572265625,467760.0,0.3961763381958008,0.8656988143920898,-0.02199999988079071,0.18299999833106995,0.24199999868869781,0.31700000166893005,10.625,467760.0,273.5889587402344,0.5966020226478577,272.0769958496094,273.15399169921875,273.6510009765625,274.03399658203125,275.1789855957031,467760.0,0.8213084789857985,0.14370257372171855,0.0,0.74,0.8522727272727273,0.9338235294117647,1.0,467760.0,0.08514256239463495,0.3578547866142544,0.0,0.0,0.0,0.0,9.507180382212738,467760.0,7298832.931296055,5.58794142078207e-09,7298832.931296061,7298832.931296061,7298832.931296061,7298832.931296061,7298832.931296061,467760.0,375927.13479683164,1.1641544626629314e-10,375927.1347968315,375927.1347968315,375927.1347968315,375927.1347968315,375927.1347968315,467760.0,375.4596862792969,0.0,375.4596862792969,375.4596862792969,375.4596862792969,375.4596862792969,375.4596862792969,467760.0,25.179100722222238,1.421086990555336e-14,25.179100722222223,25.179100722222223,25.179100722222223,25.179100722222223,25.179100722222223,467760.0,63.35558611111115,4.263260971666008e-14,63.35558611111111,63.35558611111111,63.35558611111111,63.35558611111111,63.35558611111111,467760.0,1431363.010303342,1.1641544626629311e-09,1431363.0103033409,1431363.0103033409,1431363.0103033409,1431363.0103033409,1431363.0103033409,467760.0,101.87076063865634,0.5966020301223747,100.28070068359375,101.42568969726562,101.80868530273438,102.30569458007812,103.3826904296875,467760.0,3940.0482309460267,66.0109148971249,3652.5965737722972,3910.0500718508238,3947.127874005348,3980.026570937012,4235.7526822929785,467760.0,0.9903389439003621,4.1282723433268005e-05,0.9902344475625323,0.9903088323646647,0.990343214692037,0.9903697338111158,0.9904491404625329,467760.0,0.9606036428937925,0.004589618525168976,0.91,0.96,0.96,0.96,0.97,467760.0,38.37255410730348,1.3490509153931947,32.45655670919268,37.81271733298493,38.548563553198846,39.16650743524376,47.24589655122071
cam1-000-000154-0.tif,Inside,335832.0,32.354774475097656,1.667892575263977,27.889984130859375,31.25,32.57000732421875,33.529998779296875,42.889984130859375,335832.0,1.1127835512161255,1.643587350845337,0.0,0.27399998903274536,0.39500001072883606,1.1929999589920044,11.218999862670898,335832.0,276.1413879394531,0.42680245637893677,274.76300048828125,275.8299865722656,276.14898681640625,276.4830017089844,277.1910095214844,335832.0,0.8368877780444816,0.13838339420993845,0.06060606060606061,0.7575757575757576,0.8703703703703703,0.9467213114754098,1.0,335832.0,0.39842217894423315,0.6798132478182235,0.0,0.0,0.00954655750531532,0.5888297301092645,8.439015410352221,335832.0,7299023.569724944,2.793971883625676e-09,7299023.569724947,7299023.569724947,7299023.569724947,7299023.569724947,7299023.569724947,335832.0,375897.7327320823,2.9103873787767456e-10,375897.7327320826,375897.7327320826,375897.7327320826,375897.7327320826,375897.7327320826,335832.0,374.9394836425781,0.0,374.9394836425781,374.9394836425781,374.9394836425781,374.9394836425781,374.9394836425781,335832.0,25.30782433333332,1.4210875872933327e-14,25.307824333333333,25.307824333333333,25.307824333333333,25.307824333333333,25.307824333333333,335832.0,62.97391888888888,7.105437936466664e-15,62.97391888888889,62.97391888888889,62.97391888888889,62.97391888888889,62.97391888888889,335832.0,1438652.747183963,1.1641549515106982e-09,1438652.7471839618,1438652.7471839618,1438652.7471839618,1438652.7471839618,1438652.7471839618,335832.0,98.79810537631181,0.426802475604811,97.74847412109375,98.45648193359375,98.79049682617188,99.1094970703125,100.17648315429688,335832.0,3795.7497778477064,88.79668594314948,3561.7738799652825,3736.456179102538,3806.569038849618,3858.0872110972286,4383.72620357523,335832.0,0.9905549860398463,2.9723063332958056e-05,0.9904591158359447,0.9905332928399044,0.9905555024010565,0.9905787735372966,0.9906281563153271,335832.0,0.9635979596941332,0.005408490038318396,0.91,0.96,0.96,0.97,0.97,335832.0,35.418903568462916,1.8493565013519835,30.609047121681897,34.10559171014866,35.690286608924566,36.73959541575779,46.42218602101917
cam1-000-000154-0.tif,Outside,473001.0,32.704071044921875,1.3038374185562134,27.410003662109375,32.089996337890625,32.850006103515625,33.529998779296875,42.45001220703125,473001.0,0.5493922829627991,1.4452921152114868,0.0,0.18700000643730164,0.2460000067949295,0.32899999618530273,13.282999992370605,473001.0,275.1905822753906,0.4005601406097412,274.1130065917969,274.92498779296875,275.1520080566406,275.4700012207031,276.406005859375,473001.0,0.8108077923149287,0.1354946194137807,0.0,0.7307692307692307,0.8355263157894737,0.9166666666666666,1.0,473001.0,0.0906273809324123,0.34189769732001224,0.0,0.0,0.0,0.0,7.82404601085629,473001.0,7299023.569724937,1.0244559150096803e-08,7299023.569724947,7299023.569724947,7299023.569724947,7299023.569724947,7299023.569724947,473001.0,375897.73273208254,5.820772244373184e-11,375897.7327320826,375897.7327320826,375897.7327320826,375897.7327320826,375897.7327320826,473001.0,374.9394836425781,0.0,374.9394836425781,374.9394836425781,374.9394836425781,374.9394836425781,374.9394836425781,473001.0,25.307824333333347,1.421086973723922e-14,25.307824333333333,25.307824333333333,25.307824333333333,25.307824333333333,25.307824333333333,473001.0,62.97391888888888,7.10543486861961e-15,62.97391888888889,62.97391888888889,62.97391888888889,62.97391888888889,62.97391888888889,473001.0,1438652.7471839632,1.396985338649564e-09,1438652.7471839618,1438652.7471839618,1438652.7471839618,1438652.7471839618,1438652.7471839618,473001.0,99.74885610616627,0.4005601564012229,98.53347778320312,99.469482421875,99.7874755859375,100.01449584960938,100.82647705078125,473001.0,3814.1469516481716,69.45425326973896,3537.263653789149,3780.9758225451023,3821.5493189931467,3858.0872110972286,4358.06917198412,473001.0,0.9904888362139666,2.784286319195083e-05,0.9904140097894794,0.9904703664547204,0.9904861403151283,0.9905082478905212,0.9905734076876248,473001.0,0.961037439667147,0.0036460810381060632,0.91,0.96,0.96,0.96,0.97,473001.0,35.95169679223609,1.4252120327564775,30.33059829917812,35.316676624264346,36.16749026168446,36.861218840827405,45.97198004563131
cam1-000-000204-0.tif,Inside,743289.0,31.639631271362305,1.7699317932128906,26.69000244140625,30.209991455078125,31.889984130859375,32.970001220703125,41.1300048828125,743289.0,1.2310179471969604,1.6458663940429688,0.0,0.29600000381469727,0.44999998807907104,1.6469999551773071,12.04800033569336,743289.0,277.35186767578125,0.5920897126197815,275.6059875488281,276.9169921875,277.37200927734375,277.77398681640625,278.9590148925781,743289.0,0.8285767283392131,0.1430856774355877,0.0,0.75,0.8611111111111112,0.94,1.0,743289.0,0.5000707876133048,0.7545489133746874,0.0,0.0,0.05333649416432259,0.8916086095284752,10.525380377809764,743289.0,7299118.235168935,6.519262407725462e-09,7299118.235168941,7299118.235168941,7299118.235168941,7299118.235168941,7299118.235168941,743289.0,375788.30160529155,2.910385003448867e-10,375788.30160529126,375788.30160529126,375788.30160529126,375788.30160529126,375788.30160529126,743289.0,374.600341796875,0.0,374.600341796875,374.600341796875,374.600341796875,374.600341796875,374.600341796875,743289.0,25.332826833333304,3.1974444617968506e-14,25.332826833333336,25.332826833333336,25.332826833333336,25.332826833333336,25.332826833333336,743289.0,62.89057722222234,1.207923463345477e-13,62.89057722222222,62.89057722222222,62.89057722222222,62.89057722222222,62.89057722222222,743289.0,1436430.9561520775,3.4924620041386406e-09,1436430.956152074,1436430.956152074,1436430.956152074,1436430.956152074,1436430.956152074,743289.0,97.24848387955504,0.5920897047880774,95.64132690429688,96.82635498046875,97.22833251953125,97.683349609375,98.99435424804688,743289.0,3757.819375017392,93.64269132369289,3500.7042719780516,3681.80696710165,3770.3443645761517,3827.980780963926,4281.654859575063,743289.0,0.9906633005911187,4.1371523400688385e-05,0.9905415070256193,0.9906329011024518,0.9906646821300605,0.9906927847262388,0.9907757752081763,743289.0,0.9643448779680582,0.00576230076610319,0.91,0.96,0.96,0.97,0.97,743289.0,34.63285735051331,1.9651809588309213,29.225787436304643,33.04062213459781,34.91340531452704,36.15362142749069,45.00231106022477
cam1-000-000204-0.tif,Outside,8376.0,32.38605880737305,1.2064470052719116,29.089996337890625,31.57000732421875,32.329986572265625,33.1300048828125,36.970001220703125,8376.0,0.48412245512008667,0.6906106472015381,0.02199999988079071,0.21799999475479126,0.29899999499320984,0.4129999876022339,4.605000019073486,8376.0,276.4331970214844,0.10034875571727753,276.1050109863281,276.3599853515625,276.42999267578125,276.50299072265625,276.7510070800781,8376.0,0.8245618781836151,0.14299617791140656,0.1736111111111111,0.7435897435897436,0.8571428571428571,0.9396551724137931,1.0,8376.0,0.1162593761299406,0.3611675025456129,0.0,0.0,0.0,0.013937338632186632,2.2756660036427823,8376.0,7299118.235168939,1.862756348607148e-09,7299118.235168941,7299118.235168941,7299118.235168941,7299118.235168941,7299118.235168941,8376.0,375788.3016052914,1.1642227178794676e-10,375788.30160529126,375788.30160529126,375788.30160529126,375788.30160529126,375788.30160529126,8376.0,374.600341796875,0.0,374.600341796875,374.600341796875,374.600341796875,374.600341796875,374.600341796875,8376.0,25.33282683333334,3.552925774778649e-15,25.332826833333336,25.332826833333336,25.332826833333336,25.332826833333336,25.332826833333336,8376.0,62.8905772222222,2.1317554648671894e-14,62.89057722222222,62.89057722222222,62.89057722222222,62.89057722222222,62.89057722222222,8376.0,1436430.956152074,0.0,1436430.956152074,1436430.956152074,1436430.956152074,1436430.956152074,1436430.956152074,8376.0,98.16713985672654,0.10034875378631262,97.84933471679688,98.09735107421875,98.17034912109375,98.2403564453125,98.49533081054688,8376.0,3797.0990573791123,64.48800983717607,3623.5371131356087,3753.3764049832207,3793.757729461095,3836.567414288243,4046.3490668561262,8376.0,0.9905991454226311,6.998257392329503e-06,0.990576265159723,0.9905940390482807,0.990598920858848,0.990604012003766,0.9906213155319823,8376.0,0.9615866762177653,0.004071203174916609,0.91,0.96,0.96,0.96,0.97,8376.0,35.582383373534604,1.3134209344645265,31.664536897055086,34.81413914372031,35.54974327276096,36.40755439456123,40.40677666140641
cam1-001-000066-0.tif,Inside,245640.0,33.581993103027344,1.8439218997955322,28.3699951171875,32.089996337890625,33.889984130859375,34.92999267578125,43.3699951171875,245640.0,1.5589802265167236,2.351168394088745,0.0,0.29100000858306885,0.4659999907016754,1.8842499554157257,12.529999732971191,245640.0,277.572021484375,0.25029632449150085,276.6319885253906,277.3800048828125,277.6029968261719,277.7650146484375,278.2969970703125,245640.0,0.8272690754594841,0.14550370215976552,0.02564102564102564,0.7473684210526316,0.8596491228070176,0.9411764705882353,1.0,245640.0,0.5175713125154238,0.7507592829312062,0.0,0.0,0.06873528700841554,0.9730685982803093,8.23820872661965,245640.0,7299310.164861827,4.656622351637666e-09,7299310.1648618225,7299310.1648618225,7299310.1648618225,7299310.1648618225,7299310.1648618225,245640.0,375824.6287741021,5.820777939547083e-11,375824.628774102,375824.628774102,375824.628774102,375824.628774102,375824.628774102,245640.0,375.9852294921875,0.0,375.9852294921875,375.9852294921875,375.9852294921875,375.9852294921875,375.9852294921875,245640.0,25.45403599999998,1.776360455184046e-14,25.454036,25.454036,25.454036,25.454036,25.454036,245640.0,62.48654666666669,7.105441820736185e-15,62.48654666666668,62.48654666666668,62.48654666666668,62.48654666666668,62.48654666666668,245640.0,1425659.9756708213,9.313244703275332e-10,1425659.9756708203,1425659.9756708203,1425659.9756708203,1425659.9756708203,1425659.9756708203,245640.0,98.4132135593431,0.25029630595131586,97.688232421875,98.22021484375,98.38223266601562,98.605224609375,99.35324096679688,245640.0,3861.7104550880717,99.27310088687159,3586.3963973889386,3780.9758225451023,3877.520540542013,3934.015408237602,4411.824978671948,245640.0,0.9905828950451361,1.7443776647466657e-05,0.9905174370648046,0.9905695101247578,0.9905850497776554,0.9905963449847116,0.99063346028497,245640.0,0.9645013434294091,0.005798112846656525,0.91,0.96,0.96,0.97,0.97,245640.0,36.609424213475435,2.0326779638553405,31.21958180879659,34.92243466232361,36.940943621167946,38.12784586646825,46.47384390079105
cam1-001-000066-0.tif,Outside,488469.0,34.09587478637695,1.6660200357437134,28.529998779296875,33.25,34.329986572265625,35.209991455078125,44.970001220703125,488469.0,0.6206603646278381,1.0290071964263916,0.0,0.21799999475479126,0.3089999854564667,0.46700000762939453,10.934000015258789,488469.0,275.65118408203125,0.5567411780357361,273.75201416015625,275.31298828125,275.69000244140625,276.08599853515625,276.9809875488281,488469.0,0.8155584133603262,0.15077462216857446,0.05,0.7314814814814815,0.8503937007874016,0.9354838709677419,1.0,488469.0,0.2163493337542348,0.561157543998555,0.0,0.0,0.0,0.051950972806521355,9.4371600736645,488469.0,7299310.164861817,5.587941167548202e-09,7299310.1648618225,7299310.1648618225,7299310.1648618225,7299310.1648618225,7299310.1648618225,488469.0,375824.62877410237,3.492463229717626e-10,375824.628774102,375824.628774102,375824.628774102,375824.628774102,375824.628774102,488469.0,375.9852294921875,0.0,375.9852294921875,375.9852294921875,375.9852294921875,375.9852294921875,375.9852294921875,488469.0,25.454036000000016,1.7763586576932915e-14,25.454036,25.454036,25.454036,25.454036,25.454036,488469.0,62.48654666666663,5.684347704618533e-14,62.48654666666668,62.48654666666668,62.48654666666668,62.48654666666668,62.48654666666668,488469.0,1425659.97567082,2.328308819811751e-10,1425659.9756708203,1425659.9756708203,1425659.9756708203,1425659.9756708203,1425659.9756708203,488469.0,100.33404051060269,0.5567411860566257,99.00424194335938,99.89923095703125,100.29522705078125,100.6722412109375,102.23321533203125,488469.0,3889.3327580468745,89.88499720827784,3594.628519148743,3843.015084064644,3901.3584279521133,3949.314598485665,4506.291141918538,488469.0,0.990449306346098,3.8635463377737885e-05,0.9903177116739641,0.9904258156735298,0.9904519781769276,0.9904794802152705,0.9905417222613019,488469.0,0.9621376586845842,0.004956202363163576,0.91,0.96,0.96,0.96,0.97,488469.0,37.30373931829343,1.849189534572043,31.189271129747112,36.37799933452277,37.603400306843525,38.5445084906151,48.5546860454815
