,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Northing_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Easting_uav,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,Altitude,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,AirTemp,RH,RH,RH,RH,RH,RH,RH,RH,STRD,STRD,STRD,STRD,STRD,STRD,STRD,STRD,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,phi,phi,phi,phi,phi,phi,phi,phi,tau,tau,tau,tau,tau,tau,tau,tau,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Topo,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowland,Inside,1302876.0,35.88077926635742,1.3586978912353516,33.45001220703125,35.010009765625,35.489990234375,36.489990234375,50.69000244140625,1302876.0,2.744671583175659,3.227243185043335,0.0,0.2590000033378601,1.5169999599456787,4.064000129699707,17.167999267578125,1302876.0,224.78868103027344,1.5233795642852783,221.75599670410156,223.72300720214844,224.19500732421875,225.9929962158203,231.5290069580078,1302876.0,0.7029551815473951,0.19507926697999206,0.0,0.5930232558139535,0.725,0.85,1.0,1302876.0,1.0368458054453282,0.89615241234207,0.0,0.0,1.1252343200702852,1.653427173154188,7.657282792978191,1302876.0,70.2955181547395,19.50792669799921,0.0,59.30232558139535,72.5,85.0,100.0,1302876.0,-3099279.836712121,6.519260524181811e-09,-3099279.8367121145,-3099279.8367121145,-3099279.8367121145,-3099279.8367121145,-3099279.8367121145,1302876.0,3483527.7125123274,8.847567854246743e-09,3483527.712512336,3483527.712512336,3483527.712512336,3483527.712512336,3483527.712512336,1302876.0,342.75079345703125,0.0,342.75079345703125,342.75079345703125,342.75079345703125,342.75079345703125,342.75079345703125,1302876.0,30.677721611111238,1.1723959639304012e-13,30.67772161111112,30.67772161111112,30.67772161111112,30.67772161111112,30.67772161111112,1302876.0,57.32595813888901,1.350031716041068e-13,57.32595813888887,57.32595813888887,57.32595813888887,57.32595813888887,57.32595813888887,1302876.0,1519382.7208641234,2.793968796077919e-09,1519382.7208641262,1519382.7208641262,1519382.7208641262,1519382.7208641262,1519382.7208641262,1302876.0,117.96213578417918,1.523379494208536,111.22178649902344,116.75779724121094,118.5557861328125,119.02778625488281,120.99479675292969,1302876.0,3986.567057973555,75.86364677011537,3853.7777335623305,3938.383694579672,3964.651651094398,4019.7362330746164,4854.138071724592,1302876.0,0.9897346051860798,0.00010065039385901789,0.9895347269390383,0.9896641809463149,0.9896953042564083,0.9898140773463098,0.990181982409063,1302876.0,0.9657611008261726,0.009456137563390726,0.91,0.96,0.97,0.97,0.97,1302876.0,38.91542666416879,1.7904893425291581,36.152562067095005,37.73775288247185,38.30659515056129,39.71359289783544,58.40083764796816
Lowland,Outside,511332.0,37.55351638793945,2.0313000679016113,32.57000732421875,36.04998779296875,37.3699951171875,38.529998779296875,46.209991455078125,511332.0,0.5999686121940613,1.170957326889038,0.0,0.05400000140070915,0.09399999678134918,0.2680000066757202,9.286999702453613,511332.0,225.85848999023438,1.244174599647522,221.9080047607422,224.83900451660156,226.04400634765625,226.88299560546875,228.04100036621094,511332.0,0.42113256924933723,0.2634865242659391,0.0,0.2,0.4,0.62,1.0,511332.0,0.2561115531571795,0.5487919067125546,0.0,0.0,0.0,0.05333649416432259,5.129898714923075,511332.0,42.11325692493371,26.348652426593908,0.0,20.0,40.0,62.0,100.0,511332.0,-3099279.8367121187,4.190955683848527e-09,-3099279.8367121145,-3099279.8367121145,-3099279.8367121145,-3099279.8367121145,-3099279.8367121145,511332.0,3483527.7125123367,4.656617426498363e-10,3483527.712512336,3483527.712512336,3483527.712512336,3483527.712512336,3483527.712512336,511332.0,342.75079345703125,0.0,342.75079345703125,342.75079345703125,342.75079345703125,342.75079345703125,342.75079345703125,511332.0,30.677721611111114,7.105434305570012e-15,30.67772161111112,30.67772161111112,30.67772161111112,30.67772161111112,30.67772161111112,511332.0,57.32595813888884,2.842173722228005e-14,57.32595813888887,57.32595813888887,57.32595813888887,57.32595813888887,57.32595813888887,511332.0,1519382.720864127,6.984926139747544e-10,1519382.7208641262,1519382.7208641262,1519382.7208641262,1519382.7208641262,1519382.7208641262,511332.0,116.89234607247094,1.2441745646551872,114.70979309082031,115.8677978515625,116.706787109375,117.91178894042969,120.84278869628906,511332.0,4079.8483129711644,114.35166673511861,3806.569038849618,3995.4393627340974,4068.6106416161792,4133.607790681667,4580.353780585731,511332.0,0.9898052598295013,8.225171406635739e-05,0.9895447167703436,0.9897378066425631,0.9898174520308564,0.9898729972441429,0.9899497879230552,511332.0,0.9509105630001644,0.022337059118115336,0.91,0.96,0.96,0.96,0.97,511332.0,41.68421646099671,3.1924095259172627,35.258894627584425,39.34097726882209,40.97691450254149,43.6797969674854,53.69540473804966
Upland,Inside,1292184.0,39.16510772705078,2.547257423400879,33.410003662109375,37.170013427734375,38.769989013671875,40.850006103515625,52.529998779296875,1292184.0,2.264409065246582,1.9502530097961426,0.0,0.8159999847412109,1.9240000247955322,3.128000020980835,13.187000274658203,1292184.0,238.33657836914062,2.8506829738616943,231.4320068359375,236.718994140625,239.17599487304688,240.41600036621094,242.74600219726562,1292184.0,0.6664855693190237,0.16779924437526608,0.0,0.5714285714285714,0.6754385964912281,0.78,1.0,1292184.0,0.9359541086835723,0.7046259554784955,0.0,0.3118773830440507,0.9255490791727046,1.3996425109177104,7.657282792978191,1292184.0,66.64855693190238,16.779924437526606,0.0,57.14285714285714,67.54385964912281,78.0,100.0,1292184.0,-3099352.381762939,61.03068278240431,-3099421.4049875163,-3099390.854315789,-3099390.854315789,-3099256.455807778,-3099256.455807778,1292184.0,3483973.020491341,76.76067020164018,3483856.154946909,3483856.154946909,3484018.000131065,3484018.000131065,3484253.524110276,1292184.0,343.0629961542308,0.1534829747734446,342.9950561523437,342.9950561523437,342.9950561523437,343.19403076171875,344.5668334960937,1292184.0,31.206365267224754,0.045404224458025846,31.15699761111112,31.15699761111112,31.222499722222214,31.222499722222214,31.622571111111103,1292184.0,55.77778743169898,0.13296951448421787,54.55889888888891,55.73053652777781,55.73053652777781,55.92236413888887,55.92236413888887,1292184.0,1525878.2417425192,557.8882570966405,1525271.6542288065,1525271.6542288065,1526076.4881190471,1526076.4881190471,1530992.222998911,1292184.0,104.72649316505554,2.925133621499045,100.24905395507807,102.58505249023432,103.86206054687494,106.47402954101562,111.76202392578125,1292184.0,4171.038742078611,145.28149622587654,3851.6233309148297,4057.4710370153216,4147.13611294392,4265.554312050371,4969.397198955659,1292184.0,0.9906216479996077,0.00019722121554092533,0.9901488163700418,0.9905031242426141,0.9906796121042005,0.9907660814543612,0.990924792972745,1292184.0,0.9669009676640478,0.008999838344029898,0.91,0.97,0.97,0.97,0.97,1292184.0,42.116233777842176,2.86075884503413,36.02665476418633,39.90278007388531,41.59917291023973,43.89449216721442,59.588614827301626
Upland,Outside,1590732.0,39.31892776489258,2.6455159187316895,32.57000732421875,37.290008544921875,39.25,41.1300048828125,61.329986572265625,1590732.0,0.9804885387420654,1.2906876802444458,0.0,0.09200000017881393,0.22300000488758087,1.7680000066757202,9.840999603271484,1590732.0,239.78941345214844,3.269514560699463,231.88800048828125,237.36700439453125,240.38600158691406,242.3070068359375,246.0469970703125,1590732.0,0.5159297096068027,0.22398282715772175,0.0,0.36363636363636365,0.5384615384615384,0.6818181818181818,1.0,1590732.0,0.38759232917643155,0.5378357914103752,0.0,0.0,0.05333649416432259,0.7312872278429854,5.416100402204421,1590732.0,51.592970960680326,22.398282715772158,0.0,36.36363636363637,53.84615384615385,68.18181818181817,100.0,1590732.0,-3099304.9991360437,65.75715897623782,-3099421.4049875163,-3099390.854315789,-3099256.455807778,-3099256.455807778,-3099256.455807778,1590732.0,3483920.7759007723,95.84166052168376,3483856.154946909,3483856.154946909,3483856.154946909,3484018.000131065,3484253.524110276,1590732.0,343.1723182027807,0.2660373024624261,342.9950561523437,342.9950561523437,343.19403076171875,343.19403076171875,344.5668334960937,1590732.0,31.192603534422567,0.08271532488354114,31.15699761111112,31.15699761111112,31.15699761111112,31.222499722222214,31.622571111111103,1590732.0,55.818089649191016,0.24223773715894253,54.55889888888891,55.73053652777781,55.92236413888887,55.92236413888887,55.92236413888887,1590732.0,1525709.1493459612,1016.3351314837319,1525271.6542288065,1525271.6542288065,1525271.6542288065,1526076.4881190471,1530992.222998911,1590732.0,103.3829016657848,3.3277795512860924,96.9480590820312,100.75205993652338,103.0148315429687,105.8270263671875,111.3060302734375,1590732.0,4179.877325397044,150.6213826300356,3806.569038849618,4064.152820136436,4174.2780459687565,4281.654859575063,5543.243584529234,1590732.0,0.9907125848363476,0.00022513951399828855,0.990179241611592,0.9905467018203385,0.9907368969476582,0.9908904912065213,0.9911502837500993,1590732.0,0.9587848864547892,0.01738489818818298,0.91,0.96,0.96,0.97,0.97,1590732.0,42.853073752994504,3.3764220728065277,35.16148983691113,40.27639757041169,42.60645843325034,44.89052425082599,67.59380537885517
