site,count,mean,std,min,25%,50%,75%,max
Hlangwine,9.0,1.4723180532455444,0.3748588562011719,1.0969774723052979,1.146377682685852,1.4351651668548584,1.6664141416549683,2.2352278232574463
Letaba,5.0,2.278005599975586,1.141997218132019,1.1756751537322998,1.8312197923660278,2.0541319847106934,2.120466470718384,4.2085347175598145
Nkuhlu,1.0,2.7396881580352783,,2.7396881580352783,2.7396881580352783,2.7396881580352783,2.7396881580352783,2.7396881580352783
RoanCamp,13.0,1.652999758720398,0.7037662267684937,0.5087030529975891,0.96906578540802,1.7874294519424438,2.200848340988159,2.6447808742523193
