site,count,mean,std,min,25%,50%,75%,max
Hlangwine,9.0,164.46362952377018,103.99445711841389,8.823147929514635,85.2697105197124,155.52503748495687,200.1123706528606,345.2944576489805
Letaba,5.0,106.24471690073067,91.48380768452289,-31.53482315794473,63.572534649054695,138.97411483198516,161.51992433930232,198.69183384125594
Nkuhlu,1.0,431.00227214773884,,431.00227214773884,431.00227214773884,431.00227214773884,431.00227214773884,431.00227214773884
RoanCamp,13.0,219.32171268015014,171.69510108288796,-115.32462042150048,122.22833790295141,244.8074667660283,364.8559397823795,433.2548922716232
