site,count,mean,std,min,25%,50%,75%,max
BuffaloCamp,6.0,0.5248145984321037,0.07882398385130421,0.4394286705504684,0.47071132737423005,0.5133107114476599,0.5578186230427918,0.6536713708892448
Hlangwine,18.0,0.3006002638898934,0.23711174006380328,-0.037650552498873946,0.1405511020795256,0.25475043734049047,0.4671162599875559,0.7394309427516121
Letaba,9.0,0.2746276215065479,0.23257863398766565,-0.13330418570135102,0.13244640481927228,0.2694680003680434,0.4153556892851227,0.5814926358554066
Makhohlola,4.0,0.4693149471918244,0.039429467275377196,0.41057230261691696,0.46663915437683234,0.48565803348806935,0.48833382630306144,0.495371419174242
Nkuhlu,4.0,0.9871227430082102,0.15097292914556304,0.7682023355838976,0.9564215701323622,1.034196238654673,1.0648974115305212,1.111896159139597
RoanCamp,41.0,0.4885304443634052,0.28299500570405434,-0.23781002080364513,0.24369704828597008,0.5003225721668227,0.7240108420101133,0.9476047279143099
