site,count,mean,std,min,25%,50%,75%,max
BuffaloCamp,6.0,0.41534534096717834,0.28432217240333557,0.18416130542755127,0.22905978560447693,0.3001641631126404,0.506910890340805,0.9263976812362671
Hlangwine,18.0,0.1064722090959549,0.12636618316173553,-0.15619081258773804,0.02299998700618744,0.11402347683906555,0.19030119478702545,0.3552217483520508
Letaba,9.0,-0.32259660959243774,0.31914061307907104,-0.7983053922653198,-0.5600943565368652,-0.35537397861480713,-0.22935199737548828,0.28212451934814453
Makhohlola,4.0,-0.010202378034591675,0.08142067492008209,-0.07978487014770508,-0.06383247673511505,-0.031723588705062866,0.02190650999546051,0.10242253541946411
Nkuhlu,4.0,-0.534235954284668,0.5908822417259216,-1.3062005043029785,-0.8264076709747314,-0.4304465055465698,-0.13827478885650635,0.03014969825744629
RoanCamp,41.0,0.1339866667985916,0.45278653502464294,-0.7052699327468872,-0.1038503646850586,0.04171395301818848,0.23073875904083252,1.6362208127975464
