site,count,mean,std,min,25%,50%,75%,max
BuffaloCamp,6.0,0.7327559346275728,0.05844596902151228,0.6462781382391316,0.6977710141063913,0.7520814555749642,0.7586783802032382,0.8055496696801809
Hlangwine,18.0,0.6280677664770251,0.12943702843089885,0.45383007470704,0.5310420433136831,0.6213386071460163,0.6766431013735147,0.9494672496216973
Letaba,9.0,0.5465248085248944,0.1379771685065951,0.4680618829559931,0.4731970511318175,0.49355945523067235,0.5044795704989702,0.8942945698990966
Makhohlola,4.0,0.9350008059575878,0.04999762866528845,0.8952362217331783,0.9066172481400606,0.9186616243886938,0.9470451822062209,1.0074437533197853
Nkuhlu,4.0,0.7509640859859381,0.09790250923404682,0.6919082398523431,0.6996251494575476,0.7073356276734964,0.7586745642018868,0.8972768487444163
RoanCamp,41.0,0.5222245011766855,0.09327094961837709,0.2836826514780717,0.48186484039212996,0.5076732179923923,0.5418752779750775,0.7507789749844043
