site,count,mean,std,min,25%,50%,75%,max
Hlangwine,9.0,1.2519817438781406e-06,3.755945231634422e-06,0.0,0.0,0.0,4.0189227530495183e-202,1.1267835694903265e-05
Letaba,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nkuhlu,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoanCamp,30.0,1.227646810797913e-106,5.556892558471526e-106,0.0,0.0,0.0,0.0,2.9871219556433064e-105
