Station,Date,Time,Tdry_C,Max_Tdry_C,Min_Tdry_C,Rhum_Perc,Dewpoint_C,Rain_mm,WSpd_kmh,Wind_Degrees,Wind_Direction,Max WSpd km/h,Min_WSpd_kmh,Leaf_Wet_Perc,Srad_mJ,Sun_Hours,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,Battery,Data_type,Site
Skukuza,1/16/2020,15:00,33.05,0,,52.1,21.9,0,5.22,168,SSE,9.54,5.22,0,3.9,1,0.84,19.33,18.59,4.13,Logger,Nkhulu
Skukuza,1/16/2020,16:00,32.83,0,,53.2,22.04,0,5.26,182,S,9.25,5.26,0,3.9,1,0.83,19.49,18.74,4.13,Logger,Nkhulu
Skukuza,1/16/2020,17:00,31.74,0,,58.5,22.59,0,6.23,188,S,9.32,6.23,0,3.9,1,0.81,20.11,19.33,4.13,Logger,Nkhulu
Skukuza,1/16/2020,18:00,29.76,0,,63.5,22.08,0,4.72,176,S,11.27,4.72,0,3.9,1,0.79,19.53,18.66,4.13,Logger,Nkhulu
Skukuza,1/16/2020,19:00,28.49,0,,68.7,22.17,0,1.33,178,S,3.89,1.33,0,3.9,1,0.79,19.63,18.72,4.13,Logger,Nkhulu
Skukuza,1/16/2020,20:00,27.25,0,,75.1,22.45,0,0.97,186,S,3.35,0.97,0,3.9,1,0.78,19.95,18.99,4.13,Logger,Nkhulu
Skukuza,1/16/2020,21:00,26.58,0,,79.7,22.78,0,1.87,174,S,3.89,1.87,0,3.9,1,0.77,20.33,19.35,4.13,Logger,Nkhulu
Skukuza,1/16/2020,22:00,26.31,0,,82.6,23.11,0,1.08,139,SE,3.35,1.08,0,3.9,1,0.77,20.72,19.73,4.13,Logger,Nkhulu
Skukuza,1/16/2020,23:00,25.88,0,,85.7,23.3,0,0.86,153,SSE,3.71,0.86,0,3.9,1,0.77,20.94,19.94,4.12,Logger,Nkhulu
Satara,1/21/2020,0:00,17.9,0,0,80,14.4,0,7.92,180,S,10.8,7.92,0,0,0,0,12.38,11.39,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,1:00,17.4,0,0,84,14.67,0,7.92,180,S,10.8,7.92,0,0,0,0,12.58,11.57,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,2:00,17.1,0,0,88,15.1,0,6.12,180,S,7.92,6.12,0,0,0,0,12.91,11.88,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,3:00,16.7,0,0,90,15.05,0,6.12,180,S,7.92,6.12,0,0,0,0,12.88,11.84,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,4:00,16.3,0,0,91,14.83,0,5.04,180,S,6.84,5.04,0,0,0,0,12.7,11.67,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,5:00,16.6,0,0,91,15.13,0,6.12,203,SSW,7.92,6.12,0,0,1,0,12.93,11.89,6.9,ForecastHistory,Buffalo Camp
