temp_cd,pai_cd,height_cd,AirTemp,RH,Time_num,Altitude,Srad_mJ,Dewpoint_C,Specific_RH_gkg,Leaf_Wet_Perc,Absolute_RH_gm3
1,-0.44537944553346404,-0.5105712685522262,0.2528779142797268,-0.17392096236583748,0.044105292635116214,0.10413049565947914,-0.24576858055767198,0.1364731281306938,0.27408061474046264,-0.1119778897335674,0.13720135826540863
-0.44537944553346404,1,0.7184122094651357,-0.07111447354003725,-0.0706243186416715,-0.013245589470736488,-0.21444973396807615,0.05566604479265343,0.08485281511994598,-0.043063608927848475,-0.009677101581913232,0.08412458498523115
-0.5105712685522262,0.7184122094651357,1,0.055555556623341426,-0.2365067406743106,0.17098851862223466,-0.13347801736208345,0.24559253361019362,-0.23215136429168914,-0.3886788299783761,-0.10921300356730647,-0.234083975033817
0.2528779142797268,-0.07111447354003725,0.055555556623341426,1,-0.6966046615867324,0.7951712894059305,-0.09086071373134338,0.4843930723797935,-0.1714057597489915,-0.028196436575526677,-0.10093813325665713,-0.1710555804571941
-0.17392096236583748,-0.0706243186416715,-0.2365067406743106,-0.6966046615867324,1,-0.4984875316379728,-0.27854802652842475,0.030349401647199962,0.6306588973554461,0.5194139399372479,0.48118452566187236,0.6304067682653519
0.044105292635116214,-0.013245589470736488,0.17098851862223466,0.7951712894059305,-0.4984875316379728,1,-0.2536964435732288,0.7118634368234452,-0.24870459543078408,-0.09828305933516768,0.22810310871652617,-0.2494328255654989
0.10413049565947914,-0.21444973396807615,-0.13347801736208345,-0.09086071373134338,-0.27854802652842475,-0.2536964435732288,1,-0.5459497516419516,-0.5681455449085804,-0.3344817026447912,-0.4368520142692259,-0.5650085535590396
-0.24576858055767198,0.05566604479265343,0.24559253361019362,0.4843930723797935,0.030349401647199962,0.7118634368234452,-0.5459497516419516,1,0.12786331805599166,0.06082558195061937,0.41160183565143654,0.12646875283757775
0.1364731281306938,0.08485281511994598,-0.23215136429168914,-0.1714057597489915,0.6306588973554461,-0.24870459543078408,-0.5681455449085804,0.12786331805599166,1,0.887550425818019,0.48118452566187236,0.9999299641416407
0.27408061474046264,-0.043063608927848475,-0.3886788299783761,-0.028196436575526677,0.5194139399372479,-0.09828305933516768,-0.3344817026447912,0.06082558195061937,0.887550425818019,1,0.48118452566187236,0.8892733079336621
-0.1119778897335674,-0.009677101581913232,-0.10921300356730647,-0.10093813325665713,0.48118452566187236,0.22810310871652617,-0.4368520142692259,0.41160183565143654,0.48118452566187236,0.48118452566187236,1,0.48118452566187236
0.13720135826540863,0.08412458498523115,-0.234083975033817,-0.1710555804571941,0.6304067682653519,-0.2494328255654989,-0.5650085535590396,0.12646875283757775,0.9999299641416407,0.8892733079336621,0.48118452566187236,1
