,site,imgf,tstat,p,cohensd,meandiff,mean_inside,mean_outside,n_inside,n_outside,stddiff,std_inside,std_outside,CVdiff,CV_inside,CV_outside
0,Letaba,cam1-001-001236-0.tif,201.49548384741328,0.0,0.29996721635331797,0.1441841705883279,0.4624688252923914,0.31828465470406353,902429,902429,0.021170799197454016,0.4911352564500951,0.4699644572526411,-0.4145682774975894,1.0619856509021546,1.476553928399744
1,Letaba,cam1-001-001262-0.tif,,,,,,,0,0,,,,,,
2,Letaba,cam1-001-001380-0.tif,183.96336184830207,0.0,0.44899839885712656,0.21600511734933198,0.4633935377244349,0.24738842037510295,335740,335740,0.09491450283518366,0.5261929292436868,0.4312784264085031,-0.6078043883305699,1.1355206458588911,1.743325034189461
3,Letaba,cam1-001-001405-0.tif,80.0816242892092,0.0,0.13244640481927228,0.07055063768928316,0.4939818092464935,0.42343117155721033,731165,731165,-0.0755454011375355,0.49355945523067235,0.5691048563682078,-0.3448865551303203,0.9991450008726731,1.3440315560029934
4,Letaba,cam1-001-001806-0.tif,55.61057039261991,0.0,0.07695054155553825,0.039297844347566224,0.3733002822562136,0.33400243790864736,1044531,1044531,-0.07241486877943276,0.4731970511318175,0.5456119199112502,-0.36595237711051576,1.2676043218393283,1.633556698949844
5,Letaba,cam1-001-001821-0.tif,99.49246114795557,0.0,0.2694680003680434,0.12282650692815436,0.36843434793857366,0.2456078410104193,272644,272644,0.03445395791544842,0.4727124280785143,0.4382584701630659,-0.501352767541916,1.283030289448817,1.784383056990733
6,Letaba,cam1-001-002009-0.tif,70.2838381285256,0.0,0.17621307251305965,0.0828762823500871,0.3332665194744385,0.25039023712435143,318174,318174,-0.017363672680969666,0.46155660749066485,0.4789202801716345,-0.5277480780002604,1.3849474235171892,1.9126955015174496
7,Nkuhlu,Flight2_cam1-001-000217-0.tif,389.5192999638027,0.0,1.111896159139597,0.6894191801475514,1.0763156026465104,0.38689642249895895,245448,245448,0.15324308293976108,0.6919082398523431,0.538665156912582,-0.7494234179777506,0.6428488429890238,1.3922722609667744
8,Nkuhlu,Flight2_cam1-001-000301-0.tif,316.38373787637016,0.0,0.7682023355838976,0.4811139107722291,0.8796889871413048,0.39857507636907574,339240,339240,0.16239605009118496,0.7021974526592825,0.5398014025680975,-0.5560942760136305,0.7982337654824911,1.3543280414961216
9,Nkuhlu,Flight2_cam1-002-000147-0.tif,54.84565270034835,0.0,1.0191613149818504,0.6280872128747012,0.9380504201778584,0.3099632073031573,5792,5792,0.21049823043755223,0.7124738026877104,0.5019755722501582,-0.8599421207904039,0.7595261271271776,1.6194682479175815
10,Hlangwine,Flight3_cam1-001-000162-0.tif,186.22158286253563,0.0,0.3871722112195107,0.25693156277340534,0.6504641650845395,0.3935326023111342,462681,462681,0.19824944426797608,0.755290286011268,0.5570408417432919,-0.25433254686860085,1.1611558738414198,1.4154884207100207
11,Hlangwine,Flight3_cam1-001-000175-0.tif,221.6673539550127,0.0,0.4677754996253598,0.2603499679522975,0.5092881333208381,0.24893816536854066,449116,449116,0.13533314467483182,0.6201082219001914,0.4847750772253596,-0.7297734363559711,1.2175980183491524,1.9473714547051235
12,Hlangwine,Flight3_cam1-001-000200-0.tif,56.379417867835684,0.0,0.13897584240231092,0.11222512532235307,0.685420767404733,0.5731956420823799,329149,329149,0.3149012509465624,0.9494672496216973,0.6345659986751349,0.27816565170026974,1.385232684467303,1.1070670327670333
13,Hlangwine,Flight3_cam1-001-000217-0.tif,4.391341223283074,1.1267835694903265e-05,0.012863074116741719,0.008511189336375291,0.7828782026957926,0.7743670133594173,233096,233096,-0.017152879172215307,0.6530441237755259,0.6701970029477412,-0.03131920073417571,0.8341580101819274,0.8654772109161031
14,Hlangwine,Flight3_cam1-001-000349-0.tif,36.91090747575046,1.947804377329201e-297,0.14527688111116965,0.092624386778209,0.4649900410259623,0.3723656542477533,129106,129106,0.10486522164968692,0.6878443919656485,0.5829791703159616,-0.08634247158459085,1.4792669332185617,1.5656094048031526
15,Hlangwine,Flight4_cam1-001-000165-0.tif,30.342729502675788,4.0189227530495183e-202,0.06526812515126071,0.03949130981211596,0.4779882865342561,0.43849697672214016,432252,432252,0.07122689859686715,0.6396271794735857,0.5684002808767186,0.04191821676746077,1.338164966575484,1.2962467498080232
16,Hlangwine,Flight4_cam1-001-000378-0.tif,-17.328480169930728,2.945969503435686e-67,-0.037650552498873946,-0.019973313845862595,0.36527272010721923,0.3852460339530818,423651,423651,0.014688481543322585,0.5377853197170621,0.5230968381737395,0.11445900961938404,1.4722843785301156,1.3578253689107316
17,Hlangwine,Flight4_cam1-002-000219-0.tif,105.33414961641729,0.0,0.20167302217148494,0.10146412015024872,0.3381064692370049,0.23664234908675616,545598,545598,0.13478054624495167,0.565968500386975,0.4311879541420233,-0.1481724223034302,1.6739357329192186,1.8221081552226488
18,Hlangwine,Flight4_cam1-004-000052-0.tif,161.40737947245216,0.0,0.4990487969359825,0.27666842556605953,0.5644434623425626,0.28777503677650307,209214,209214,0.13071353510388323,0.6158823894202428,0.48516885431635953,-0.5947988798049637,1.0911321159858907,1.6859309957908544
