site,count,mean,std,min,25%,50%,75%,max
Hlangwine,9.0,0.02565576508641243,0.004967194516211748,0.018365362659096718,0.021498868241906166,0.024721495807170868,0.02941868267953396,0.03376404196023941
Letaba,5.0,0.06468429416418076,0.008736585266888142,0.05057558789849281,0.06295613944530487,0.06752330809831619,0.06886613368988037,0.07350029051303864
Nkuhlu,1.0,0.05406791344285011,,0.05406791344285011,0.05406791344285011,0.05406791344285011,0.05406791344285011,0.05406791344285011
RoanCamp,13.0,0.038698598742485046,0.008890995755791664,0.023102035745978355,0.03394395485520363,0.041588377207517624,0.043408241122961044,0.051710665225982666
