,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside,2595060.0,37.51617431640625,2.61808443069458,33.410003662109375,35.410003662109375,36.850006103515625,38.92999267578125,52.529998779296875,2595060.0,2.5055296421051025,2.679659128189087,0.0,0.4269999861717224,1.774999976158142,3.447999954223633,17.167999267578125,2595060.0,231.53456115722656,7.148205757141113,221.75599670410156,224.19000244140625,228.21400451660156,239.16400146484375,242.74600219726562,2595060.0,0.684795505313433,0.1829183878078084,0.0,0.5804597701149427,0.6972222222222222,0.8157894736842105,1.0,2595060.0,0.9866078008179241,0.8080653018357425,0.0,0.17402275397925962,1.004307295765221,1.5288190507014192,7.657282792978191,2595060.0,68.4795505313433,18.291838780780846,0.0,58.045977011494266,69.72222222222221,81.57894736842105,100.0
Outside,2102064.0,38.889495849609375,2.6217756271362305,32.57000732421875,36.850006103515625,38.6099853515625,40.69000244140625,61.329986572265625,2102064.0,0.8879261016845703,1.2731196880340576,0.0,0.07699999958276749,0.1720000058412552,1.5460000038146973,9.840999603271484,2102064.0,236.40072631835938,6.647621154785156,221.9080047607422,232.49000549316406,238.625,241.6269989013672,246.0469970703125,2102064.0,0.49287008279560035,0.23771156691121373,0.0,0.3181818181818182,0.5041666666666667,0.6666666666666667,1.0,2102064.0,0.3556093219209545,0.5434569056473733,0.0,0.0,0.0,0.6433137438705856,5.416100402204421,2102064.0,49.28700827956004,23.771156691121366,0.0,31.818181818181817,50.41666666666666,66.66666666666667,100.0
