site,count,mean,std,min,25%,50%,75%,max
Hlangwine,9.0,386638.77777777775,138076.03416213996,135743.0,270510.0,465521.0,479418.0,505581.0
Letaba,5.0,170298.6,127063.86415224432,56253.0,111924.0,115731.0,185234.0,382351.0
Nkuhlu,1.0,337479.0,,337479.0,337479.0,337479.0,337479.0,337479.0
RoanCamp,13.0,346251.76923076925,151373.20682843987,10305.0,263349.0,417143.0,441018.0,489192.0
