,,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent
,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
imgf,Topo,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flight2_cam1-000-000201-0.tif,Lowland,Inside,1302876.0,35.88077926635742,1.3586978912353516,33.45001220703125,35.010009765625,35.489990234375,36.489990234375,50.69000244140625,1302876.0,2.744671583175659,3.227243185043335,0.0,0.2590000033378601,1.5169999599456787,4.064000129699707,17.167999267578125,1302876.0,224.78868103027344,1.5233795642852783,221.75599670410156,223.72300720214844,224.19500732421875,225.9929962158203,231.5290069580078,1302876.0,0.7029551815473951,0.19507926697999206,0.0,0.5930232558139535,0.725,0.85,1.0,1302876.0,1.0368458054453282,0.89615241234207,0.0,0.0,1.1252343200702852,1.653427173154188,7.657282792978191,1302876.0,70.2955181547395,19.50792669799921,0.0,59.30232558139535,72.5,85.0,100.0
Flight2_cam1-000-000201-0.tif,Lowland,Outside,511332.0,37.55351638793945,2.0313000679016113,32.57000732421875,36.04998779296875,37.3699951171875,38.529998779296875,46.209991455078125,511332.0,0.5999686121940613,1.170957326889038,0.0,0.05400000140070915,0.09399999678134918,0.2680000066757202,9.286999702453613,511332.0,225.85848999023438,1.244174599647522,221.9080047607422,224.83900451660156,226.04400634765625,226.88299560546875,228.04100036621094,511332.0,0.42113256924933723,0.2634865242659391,0.0,0.2,0.4,0.62,1.0,511332.0,0.2561115531571795,0.5487919067125546,0.0,0.0,0.0,0.05333649416432259,5.129898714923075,511332.0,42.11325692493371,26.348652426593908,0.0,20.0,40.0,62.0,100.0
Flight2_cam1-001-000217-0.tif,Upland,Inside,371892.0,38.51595687866211,2.6520111560821533,34.04998779296875,36.57000732421875,37.80999755859375,39.80999755859375,52.529998779296875,371892.0,2.7895190715789795,2.2480788230895996,0.0,1.194000005722046,2.444999933242798,3.8570001125335693,13.187000274658203,371892.0,234.4695587158203,1.8063058853149414,231.4320068359375,233.072998046875,234.13099670410156,235.59800720214844,240.1060028076172,371892.0,0.6485291837546636,0.17982028676493014,0.0,0.5583333333333332,0.6666666666666666,0.768888888888889,1.0,371892.0,1.0755453536168458,0.6916475820784083,0.0,0.5488736914035205,1.1586746104797134,1.5241654501457322,6.516193076042966,371892.0,64.85291837546637,17.982028676493012,0.0,55.83333333333332,66.66666666666666,76.8888888888889,100.0
Flight2_cam1-001-000217-0.tif,Upland,Outside,1027392.0,39.54508972167969,2.6185245513916016,32.80999755859375,37.529998779296875,39.489990234375,41.3699951171875,56.089996337890625,1027392.0,0.9469414353370667,1.240952491760254,0.0,0.09200000017881393,0.22499999403953552,1.7039999961853027,9.840999603271484,1027392.0,238.0635223388672,2.6756064891815186,231.88800048828125,235.88999938964844,238.42150115966797,240.28399658203125,243.0989990234375,1027392.0,0.5186799858455445,0.22508049206493586,0.0,0.36363636363636365,0.5396825396825397,0.6875,1.0,1027392.0,0.3858042801748527,0.5385170975093143,0.0,0.0,0.05333649416432259,0.7174721146529499,4.969813299576,1027392.0,51.86799858455448,22.508049206493595,0.0,36.36363636363637,53.96825396825397,68.75,100.0
Flight2_cam1-001-000301-0.tif,Upland,Inside,911516.0,39.442352294921875,2.4595677852630615,33.410003662109375,37.489990234375,39.209991455078125,41.1300048828125,51.769989013671875,911516.0,2.0538175106048584,1.7772005796432495,0.0,0.699999988079071,1.7330000400543213,2.8389999866485596,11.656000137329102,911516.0,239.897705078125,1.2733936309814453,236.69000244140625,238.9409942626953,239.89500427246094,240.84100341796875,242.74600219726562,911516.0,0.6738364341185274,0.16195448801116116,0.0,0.5769230769230769,0.6797385620915031,0.7848484848484848,1.0,911516.0,0.8789455943439269,0.7018562590797066,0.0,0.26706278524904525,0.8257222316716508,1.3260444595969085,7.657282792978191,911516.0,67.3836434118528,16.195448801116115,0.0,57.692307692307686,67.97385620915031,78.48484848484848,100.0
Flight2_cam1-001-000301-0.tif,Upland,Outside,514000.0,38.89317321777344,2.65627384185791,32.57000732421875,36.769989013671875,38.850006103515625,40.69000244140625,61.329986572265625,514000.0,1.0659551620483398,1.394068956375122,0.0,0.0949999988079071,0.22699999809265137,1.9279999732971191,9.196000099182129,514000.0,243.11119079589844,1.2619189023971558,238.9010009765625,242.2469940185547,243.1959991455078,244.1199951171875,246.0469970703125,514000.0,0.5176535345752133,0.21703183162105302,0.0,0.375,0.5387596899224806,0.6739130434782609,1.0,514000.0,0.3987609448979252,0.5394268463638782,0.0,0.0,0.05970592629936232,0.7721071862071462,5.416100402204421,514000.0,51.765353457521336,21.703183162105308,0.0,37.5,53.875968992248055,67.3913043478261,100.0
Flight2_cam1-002-000147-0.tif,Upland,Inside,8776.0,37.87637710571289,1.228486180305481,35.649993896484375,36.970001220703125,37.6099853515625,38.649993896484375,42.209991455078125,8776.0,1.8852949142456055,1.1751617193222046,0.0,0.9700000286102295,1.9295000433921814,2.6410000324249268,5.818999767303467,8776.0,240.04244995117188,0.35436752438545227,239.0749969482422,239.83999633789062,240.03900146484375,240.3040008544922,240.72999572753906,8776.0,0.6639109637716375,0.17884072610537333,0.0,0.575,0.6785714285714286,0.7777777777777778,1.0,8776.0,0.9418002454305316,0.7112031411040327,0.0,0.43128145584024413,0.8962396714914627,1.3080067113102951,5.6742544867547045,8776.0,66.39109637716375,17.88407261053733,0.0,57.49999999999999,67.85714285714286,77.77777777777779,100.0
Flight2_cam1-002-000147-0.tif,Upland,Outside,49340.0,39.045162200927734,2.51698637008667,35.010009765625,37.1300048828125,38.57000732421875,40.329986572265625,47.69000244140625,49340.0,0.7886782884597778,1.1225082874298096,0.0,0.06199999898672104,0.14900000393390656,1.3990000486373901,6.0279998779296875,49340.0,241.1224365234375,0.4797741770744324,239.86700439453125,240.7550048828125,241.11599731445312,241.4770050048828,243.17999267578125,49340.0,0.4407035677495663,0.2568930048008486,0.0,0.23076923076923078,0.4666666666666667,0.6428571428571429,1.0,49340.0,0.3084751576924739,0.4985252837387621,0.0,0.0,0.0,0.4943814221940881,2.6916059995303074,49340.0,44.070356774956636,25.68930048008486,0.0,23.076923076923077,46.666666666666664,64.28571428571429,100.0
