,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
imgf,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1-001-001262-0.tif,Inside,85232.0,35.27547073364258,1.670052409172058,32.089996337890625,33.850006103515625,34.970001220703125,36.649993896484375,40.010009765625,85232.0,2.1183183193206787,2.0049891471862793,0.0,0.032999999821186066,2.2384999990463257,3.999000072479248,6.198999881744385,85232.0,268.7066650390625,0.16002751886844635,268.13800048828125,268.5989990234375,268.7279968261719,268.8240051269531,269.09100341796875,85232.0,0.27238659178072905,0.22709824951625956,0.0,0.030612244897959183,0.27005747126436785,0.4749999999999999,1.0,85232.0,0.5164135971189736,0.5044579962513115,0.0,0.0,0.43461786050197976,0.9722660223512383,1.9244556541223612,85232.0,27.238659178072904,22.709824951625958,0.0,3.061224489795918,27.00574712643678,47.49999999999999,100.0
cam1-001-001262-0.tif,Outside,3167668.0,36.81412887573242,2.4817142486572266,30.1300048828125,34.769989013671875,37.04998779296875,38.769989013671875,44.850006103515625,3167668.0,0.9696232080459595,1.6501786708831787,0.0,0.023000000044703484,0.04399999976158142,1.850000023841858,14.012999534606934,3167668.0,268.0237121582031,1.4335256814956665,262.9939880371094,267.6029968261719,268.28900146484375,268.8529968261719,270.875,3167668.0,0.1938754032103373,0.25221613426182665,0.0,0.0,0.043478260869565216,0.3695090439276485,1.0,3167668.0,0.32151380980241584,0.5143521817991552,0.0,0.0,0.0,0.5599344747647472,3.6997898454316602,3167668.0,19.387540321033732,25.221613426182678,0.0,0.0,4.3478260869565215,36.95090439276485,100.0
cam1-001-001380-0.tif,Inside,1649102.0,36.019493103027344,2.2575571537017822,31.1300048828125,34.25,35.57000732421875,37.6099853515625,45.489990234375,1649102.0,2.0558972358703613,1.9320060014724731,0.0,0.04100000113248825,2.046999931335449,3.5910000801086426,8.965999603271484,1649102.0,269.23626708984375,0.523485004901886,267.2770080566406,268.8389892578125,269.1820068359375,269.62701416015625,270.6709899902344,1649102.0,0.29934406101661737,0.22806341104508784,0.0,0.06217616580310881,0.31250000000000006,0.49019607843137264,1.0,1649102.0,0.5336953047788485,0.4968974258221282,0.0,0.0,0.48925825295045244,0.9543207396050379,3.541990390427684,1649102.0,29.934406101661736,22.806341104508792,0.0,6.217616580310881,31.250000000000007,49.019607843137265,100.0
cam1-001-001380-0.tif,Outside,280658.0,39.27665328979492,2.4707252979278564,32.730010986328125,37.529998779296875,39.80999755859375,40.970001220703125,49.489990234375,280658.0,0.5843726396560669,0.9935587048530579,0.0,0.020999999716877937,0.032999999821186066,0.9440000057220459,5.0,280658.0,269.57635498046875,0.4116368591785431,268.7799987792969,269.2250061035156,269.54998779296875,269.9119873046875,270.5580139160156,280658.0,0.14757372578461034,0.22679206115358105,0.0,0.0,0.015625,0.23255813953488372,1.0,280658.0,0.2282794835751775,0.4345787786942659,0.0,0.0,0.0,0.23409979005828485,2.5172895406027274,280658.0,14.757372578461027,22.679206115358106,0.0,0.0,1.5625,23.25581395348837,100.0
cam1-001-001659-0.tif,Inside,175350.0,34.44696807861328,2.7742600440979004,30.57000732421875,31.970001220703125,33.69000244140625,36.769989013671875,41.92999267578125,175350.0,4.211240291595459,4.989567756652832,0.0,0.0560000017285347,2.1549999713897705,7.572999954223633,17.301000595092773,175350.0,264.3180236816406,1.0059369802474976,262.7969970703125,263.31298828125,264.2829895019531,265.14898681640625,266.99798583984375,175350.0,0.4575164043171533,0.3303990766361615,0.0,0.10576923076923077,0.49230769230769234,0.7652777777777778,1.0,175350.0,0.8468198331747275,0.8947319425648311,0.0,0.0,0.5819744629519858,1.6150783481517363,6.3598919569999675,175350.0,45.75164043171533,33.039907663616155,0.0,10.576923076923077,49.23076923076923,76.52777777777779,100.0
cam1-001-001659-0.tif,Outside,333270.0,36.18667221069336,2.490882396697998,31.010009765625,33.80999755859375,36.489990234375,38.489990234375,41.209991455078125,333270.0,2.2977705001831055,3.670193672180176,0.0,0.026000000536441803,0.054999999701976776,3.509999990463257,14.012999534606934,333270.0,265.091796875,1.3064476251602173,262.6159973144531,264.1449890136719,264.9100036621094,266.2250061035156,267.79998779296875,333270.0,0.249843660757511,0.2880459885447372,0.0,0.0,0.09375,0.49698795180722893,1.0,333270.0,0.40294218977750745,0.6108864529735444,0.0,0.0,0.0,0.801169513699825,3.4243952927837387,333270.0,24.9843660757511,28.80459885447371,0.0,0.0,9.375,49.6987951807229,100.0
cam1-001-002009-0.tif,Inside,618275.0,34.689361572265625,1.5674058198928833,31.3699951171875,33.329986572265625,34.529998779296875,35.970001220703125,40.489990234375,618275.0,1.1760908365249634,1.392989158630371,0.0,0.02800000086426735,0.10499999672174454,2.446000099182129,6.415999889373779,618275.0,272.0552978515625,0.7143813967704773,269.66900634765625,271.5929870605469,272.1409912109375,272.6050109863281,273.45098876953125,618275.0,0.24113564586709443,0.23264334625990496,0.0,0.011627906976744186,0.17592592592592593,0.4444444444444444,1.0,618275.0,0.38669033873819625,0.4800751899537189,0.0,0.0,0.0740825433606982,0.7893856215696168,3.5452484575956293,618275.0,24.113564586709444,23.264334625990486,0.0,1.1627906976744187,17.59259259259259,44.44444444444444,100.0
cam1-001-002009-0.tif,Outside,579320.0,36.27667999267578,1.8350069522857666,31.25,34.889984130859375,36.730010986328125,37.69000244140625,41.57000732421875,579320.0,0.5073413252830505,0.9128201603889465,0.0,0.014999999664723873,0.02800000086426735,0.35899999737739563,4.486000061035156,579320.0,271.8254089355469,0.951088011264801,268.3210144042969,271.1180114746094,272.0559997558594,272.5690002441406,273.50799560546875,579320.0,0.13912665690320955,0.2200452981812526,0.0,0.0,0.0,0.21428571428571427,1.0,579320.0,0.2177992243175099,0.43181167266623455,0.0,0.0,0.0,0.18146072819455897,3.5835189384561104,579320.0,13.912665690320955,22.00452981812526,0.0,0.0,0.0,21.428571428571427,100.0
cam1-001-002044-0.tif,Inside,2739639.0,34.43089294433594,1.8826088905334473,29.209991455078125,33.04998779296875,34.290008544921875,35.889984130859375,40.850006103515625,2739639.0,1.8207955360412598,2.516731023788452,0.0,0.03099999949336052,0.1809999942779541,3.11299991607666,15.609000205993652,2739639.0,268.63677978515625,2.133005380630493,264.4580078125,266.6189880371094,269.0899963378906,270.5119934082031,272.4649963378906,2739639.0,0.3048566525950732,0.27953910388493397,0.0,0.02564102564102564,0.25806451612903225,0.5266666666666666,1.0,2739639.0,0.4856725890891148,0.618577244324186,0.0,0.0,0.10931682507572817,0.9348568893719251,7.139473597883026,2739639.0,30.485665259507318,27.95391038849341,0.0,2.564102564102564,25.806451612903224,52.666666666666664,100.0
cam1-001-002044-0.tif,Outside,169582.0,33.461936950683594,2.4614932537078857,29.209991455078125,31.04998779296875,33.170013427734375,35.80999755859375,38.529998779296875,169582.0,3.5673887729644775,5.117231845855713,0.0,0.024000000208616257,0.22200000286102295,8.031000137329102,18.854999542236328,169582.0,265.8063659667969,0.7217465043067932,264.7170104980469,265.31298828125,265.5480041503906,266.2239990234375,268.2130126953125,169582.0,0.36394593706390194,0.3421099969094368,0.0,0.0,0.32291666666666663,0.6666666666666666,1.0,169582.0,0.5809999280011493,0.7964988602349734,0.0,0.0,0.0,1.1517158786525006,5.940828931139401,169582.0,36.3945937063902,34.21099969094369,0.0,0.0,32.291666666666664,66.66666666666666,100.0
