,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside,2640429.0,32.31222915649414,2.1936891078948975,26.25,30.69000244140625,32.3699951171875,33.889984130859375,44.850006103515625,2640429.0,1.172016978263855,1.6581673622131348,-0.006000000052154064,0.24699999392032623,0.40700000524520874,1.50600004196167,12.529999732971191,2640429.0,277.5395202636719,1.9403696060180664,272.7640075683594,276.3429870605469,277.53399658203125,278.7430114746094,282.3280029296875,2640429.0,0.8027333032401504,0.17207018712147626,0.0,0.7142857142857143,0.8450704225352113,0.9354838709677419,1.0,2640429.0,0.4677234506834451,0.7362667363599088,0.0,0.0,0.028777474904199112,0.8185837305135822,10.525380377809764
Outside,2213745.0,33.485599517822266,1.869493007659912,27.410003662109375,32.170013427734375,33.6099853515625,34.92999267578125,44.970001220703125,2213745.0,0.5394936800003052,1.1031615734100342,-0.08299999684095383,0.18799999356269836,0.26100000739097595,0.3779999911785126,13.282999992370605,2213745.0,275.697265625,1.6207406520843506,272.0769958496094,274.7250061035156,275.5570068359375,276.5249938964844,280.39801025390625,2213745.0,0.8053409358914152,0.1572095409782024,0.0,0.7209302325581395,0.8395061728395061,0.9266666666666666,1.0,2213745.0,0.15937157302161326,0.48330232831348924,0.0,0.0,0.0,0.0,9.854507370314401
