,,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent
,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
imgf,Topo,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1-001-001236-0.tif,Upland,Inside,1367317.0,36.7828369140625,2.1320583820343018,32.209991455078125,35.04998779296875,36.529998779296875,38.329986572265625,49.45001220703125,1367317.0,1.346653938293457,1.3987629413604736,0.0,0.041999999433755875,1.0800000429153442,2.4739999771118164,8.37399959564209,1367317.0,274.5608215332031,1.3686282634735107,268.7699890136719,273.760986328125,274.6390075683594,275.53900146484375,277.32598876953125,1367317.0,0.29582335501337964,0.2307556231214626,0.0,0.06349206349206349,0.29279279279279274,0.48995983935742976,1.0,1367317.0,0.4626687637222695,0.4910156020959811,0.0,0.0,0.288581223552524,0.8836197287147518,2.55055963446089,1367317.0,29.582335501337955,23.075562312146264,0.0,6.349206349206349,29.279279279279276,48.99598393574298,100.0
cam1-001-001236-0.tif,Upland,Outside,1868412.0,38.70608139038086,2.6946258544921875,31.850006103515625,36.57000732421875,38.769989013671875,40.6099853515625,49.25,1868412.0,0.8902928829193115,1.266596794128418,0.0,0.026000000536441803,0.05000000074505806,1.7359999418258667,7.164999961853027,1868412.0,278.4801330566406,1.6030163764953613,271.302001953125,277.4339904785156,278.5790100097656,279.70599365234375,281.60699462890625,1868412.0,0.19801261462117664,0.23350509832841776,0.0,0.0,0.07894736842105263,0.37755102040816324,1.0,1868412.0,0.31791898741337726,0.46980793207697175,0.0,0.0,0.0,0.5978085244197279,3.9481620520440197,1868412.0,19.80126146211766,23.350509832841777,0.0,0.0,7.894736842105263,37.755102040816325,100.0
cam1-001-001262-0.tif,Lowland,Inside,85232.0,35.27547073364258,1.670052409172058,32.089996337890625,33.850006103515625,34.970001220703125,36.649993896484375,40.010009765625,85232.0,2.1183183193206787,2.0049891471862793,0.0,0.032999999821186066,2.2384999990463257,3.999000072479248,6.198999881744385,85232.0,268.7066650390625,0.16002751886844635,268.13800048828125,268.5989990234375,268.7279968261719,268.8240051269531,269.09100341796875,85232.0,0.27238659178072905,0.22709824951625956,0.0,0.030612244897959183,0.27005747126436785,0.4749999999999999,1.0,85232.0,0.5164135971189736,0.5044579962513115,0.0,0.0,0.43461786050197976,0.9722660223512383,1.9244556541223612,85232.0,27.238659178072904,22.709824951625958,0.0,3.061224489795918,27.00574712643678,47.49999999999999,100.0
cam1-001-001262-0.tif,Lowland,Outside,3167668.0,36.81412887573242,2.4817142486572266,30.1300048828125,34.769989013671875,37.04998779296875,38.769989013671875,44.850006103515625,3167668.0,0.9696232080459595,1.6501786708831787,0.0,0.023000000044703484,0.04399999976158142,1.850000023841858,14.012999534606934,3167668.0,268.0237121582031,1.4335256814956665,262.9939880371094,267.6029968261719,268.28900146484375,268.8529968261719,270.875,3167668.0,0.1938754032103373,0.25221613426182665,0.0,0.0,0.043478260869565216,0.3695090439276485,1.0,3167668.0,0.32151380980241584,0.5143521817991552,0.0,0.0,0.0,0.5599344747647472,3.6997898454316602,3167668.0,19.387540321033732,25.221613426182678,0.0,0.0,4.3478260869565215,36.95090439276485,100.0
cam1-001-001262-0.tif,Upland,Outside,407421.0,38.189937591552734,1.9965972900390625,32.69000244140625,36.730010986328125,38.649993896484375,39.649993896484375,44.170013427734375,407421.0,0.6428096890449524,1.070641040802002,0.0,0.02500000037252903,0.041999999433755875,1.1540000438690186,6.315000057220459,407421.0,271.3258056640625,0.6262491345405579,269.9880065917969,270.7969970703125,271.2250061035156,271.79998779296875,273.0419921875,407421.0,0.15868045149685725,0.22216106198675162,0.0,0.0,0.034482758620689655,0.2635135135135135,0.9541666666666667,407421.0,0.23203014822992568,0.42559423621056536,0.0,0.0,0.0,0.2666641681424523,2.341914363288715,407421.0,15.86804514968572,22.21610619867516,0.0,0.0,3.4482758620689653,26.351351351351347,95.41666666666667
cam1-001-001380-0.tif,Lowland,Inside,1649102.0,36.019493103027344,2.2575571537017822,31.1300048828125,34.25,35.57000732421875,37.6099853515625,45.489990234375,1649102.0,2.0558972358703613,1.9320060014724731,0.0,0.04100000113248825,2.046999931335449,3.5910000801086426,8.965999603271484,1649102.0,269.23626708984375,0.523485004901886,267.2770080566406,268.8389892578125,269.1820068359375,269.62701416015625,270.6709899902344,1649102.0,0.29934406101661737,0.22806341104508784,0.0,0.06217616580310881,0.31250000000000006,0.49019607843137264,1.0,1649102.0,0.5336953047788485,0.4968974258221282,0.0,0.0,0.48925825295045244,0.9543207396050379,3.541990390427684,1649102.0,29.934406101661736,22.806341104508792,0.0,6.217616580310881,31.250000000000007,49.019607843137265,100.0
cam1-001-001380-0.tif,Lowland,Outside,280658.0,39.27665328979492,2.4707252979278564,32.730010986328125,37.529998779296875,39.80999755859375,40.970001220703125,49.489990234375,280658.0,0.5843726396560669,0.9935587048530579,0.0,0.020999999716877937,0.032999999821186066,0.9440000057220459,5.0,280658.0,269.57635498046875,0.4116368591785431,268.7799987792969,269.2250061035156,269.54998779296875,269.9119873046875,270.5580139160156,280658.0,0.14757372578461034,0.22679206115358105,0.0,0.0,0.015625,0.23255813953488372,1.0,280658.0,0.2282794835751775,0.4345787786942659,0.0,0.0,0.0,0.23409979005828485,2.5172895406027274,280658.0,14.757372578461027,22.679206115358106,0.0,0.0,1.5625,23.25581395348837,100.0
cam1-001-001380-0.tif,Upland,Inside,508697.0,37.76522445678711,2.5202245712280273,31.889984130859375,35.730010986328125,37.69000244140625,39.80999755859375,46.69000244140625,508697.0,1.505256175994873,1.6425392627716064,0.0,0.04100000113248825,0.871999979019165,2.8450000286102295,6.551000118255615,508697.0,271.39447021484375,0.8116453289985657,269.97198486328125,270.7550048828125,271.2489929199219,271.97198486328125,273.77801513671875,508697.0,0.3050387100795782,0.24756915666990073,0.0,0.058823529411764705,0.2857142857142857,0.5080645161290323,1.0,508697.0,0.46269234220345506,0.5256101768533996,0.0,0.0,0.2316658766655393,0.8847305839565549,5.03156487431585,508697.0,30.503871007957834,24.75691566699007,0.0,5.88235294117647,28.57142857142857,50.806451612903224,100.0
