site,count,mean,std,min,25%,50%,75%,max
Hlangwine,9.0,-162.12344363482495,138.89720464969182,-337.8422617237334,-238.6453104065452,-211.80623983970648,-110.19646744336536,102.75019673356215
Letaba,5.0,-200.23648599339555,218.81979175107827,-419.89633896474965,-406.2485704584069,-158.06951831358649,-121.44614304246069,104.47814081222592
Nkuhlu,1.0,-396.6005280571249,,-396.6005280571249,-396.6005280571249,-396.6005280571249,-396.6005280571249,-396.6005280571249
RoanCamp,13.0,-174.71536990886275,298.3143648111998,-860.8264973785718,-280.9578301446123,-132.356278087543,-56.79138047142114,281.2955943572785
