,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside,502468.0,33.515357971191406,0.6856366991996765,30.730010986328125,33.089996337890625,33.529998779296875,33.970001220703125,38.410003662109375,502468.0,0.9076197147369385,1.6772596836090088,0.0,0.29600000381469727,0.4309999942779541,0.777999997138977,12.748000144958496,502468.0,247.54779052734375,0.5645288228988647,246.13800048828125,247.14500427246094,247.54200744628906,247.96600341796875,248.98599243164062,502468.0,0.9212045681447162,0.09637615284432736,0.0,0.8877551020408163,0.9565217391304348,0.9882352941176471,1.0,502468.0,0.47788497924445483,0.9107702380819446,0.0,0.0,0.031496713936278335,0.550823959719933,10.17519267046476,502468.0,-2716.94384765625,4554.10595703125,-9999.0,-9999.0,80.02499389648438,153.1143341064453,322.27008056640625,502468.0,2.3001465797424316,2.054626226425171,0.0,1.0,2.0,3.605551242828369,12.369317054748535,502468.0,92.12045681447161,9.637615284432735,0.0,88.77551020408163,95.65217391304348,98.82352941176471,100.0
Outside,1381788.0,34.16450500488281,0.8660487532615662,31.410003662109375,33.529998779296875,34.089996337890625,34.769989013671875,40.529998779296875,1381788.0,0.4051392674446106,0.490613728761673,0.0,0.22599999606609344,0.29899999499320984,0.4020000100135803,12.036999702453613,1381788.0,247.072998046875,1.961217999458313,243.51400756835938,245.4320068359375,246.30999755859375,249.02200317382812,250.91900634765625,1381788.0,0.9045594834275409,0.10640177504244212,0.06896551724137931,0.8625,0.9388489208633094,0.9824561403508771,1.0,1381788.0,0.1483588352230118,0.4990134070042396,0.0,0.0,0.0,0.012232454034872189,9.489864256726513,1381788.0,-6778.51416015625,4714.67919921875,-9999.0,-9999.0,-9999.0,73.00685119628906,285.36468505859375,1381788.0,5.3427734375,4.250934600830078,0.0,2.0,4.4721360206604,7.6157732009887695,30.01666259765625,1381788.0,90.45594834275403,10.64017750424421,6.896551724137931,86.25,93.88489208633094,98.24561403508771,100.0
