,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
imgf,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1-000-000053-0.tif,Inside,401790.0,34.75382995605469,1.4504852294921875,30.3699951171875,33.970001220703125,34.970001220703125,35.730010986328125,43.69000244140625,401790.0,0.7800524830818176,1.0720988512039185,-0.006000000052154064,0.23999999463558197,0.3370000123977661,0.5550000071525574,8.659000396728516,401790.0,274.457763671875,0.5302794575691223,272.7640075683594,274.0820007324219,274.4419860839844,274.8800048828125,275.74798583984375,401790.0,0.8549910419961274,0.13436136742898172,0.0,0.7857142857142857,0.8888888888888888,0.9565217391304348,1.0,401790.0,0.3158569636670681,0.6450782901940532,0.0,0.0,0.0,0.22899714869709092,9.400960731584844
cam1-000-000053-0.tif,Outside,467760.0,35.033973693847656,1.213816523551941,29.649993896484375,34.489990234375,35.170013427734375,35.769989013671875,40.329986572265625,467760.0,0.3961763381958008,0.8656988739967346,-0.02199999988079071,0.18299999833106995,0.24199999868869781,0.31700000166893005,10.625,467760.0,273.5889587402344,0.5966020226478577,272.0769958496094,273.15399169921875,273.6510009765625,274.03399658203125,275.1789855957031,467760.0,0.8213084789857985,0.14370257372171855,0.0,0.74,0.8522727272727273,0.9338235294117647,1.0,467760.0,0.08514256239463495,0.3578547866142544,0.0,0.0,0.0,0.0,9.507180382212738
cam1-000-000154-0.tif,Inside,335832.0,32.354774475097656,1.667892575263977,27.889984130859375,31.25,32.57000732421875,33.529998779296875,42.889984130859375,335832.0,1.1127835512161255,1.643587350845337,0.0,0.27399998903274536,0.39500001072883606,1.1929999589920044,11.218999862670898,335832.0,276.1413879394531,0.42680245637893677,274.76300048828125,275.8299865722656,276.14898681640625,276.4830017089844,277.1910095214844,335832.0,0.8368877780444816,0.13838339420993845,0.06060606060606061,0.7575757575757576,0.8703703703703703,0.9467213114754098,1.0,335832.0,0.39842217894423315,0.6798132478182235,0.0,0.0,0.00954655750531532,0.5888297301092645,8.439015410352221
cam1-000-000154-0.tif,Outside,473001.0,32.704071044921875,1.3038374185562134,27.410003662109375,32.089996337890625,32.850006103515625,33.529998779296875,42.45001220703125,473001.0,0.5493922829627991,1.4452919960021973,0.0,0.18700000643730164,0.2460000067949295,0.32899999618530273,13.282999992370605,473001.0,275.1905822753906,0.4005601406097412,274.1130065917969,274.92498779296875,275.1520080566406,275.4700012207031,276.406005859375,473001.0,0.8108077923149287,0.1354946194137807,0.0,0.7307692307692307,0.8355263157894737,0.9166666666666666,1.0,473001.0,0.0906273809324123,0.34189769732001224,0.0,0.0,0.0,0.0,7.82404601085629
cam1-000-000204-0.tif,Inside,743289.0,31.639631271362305,1.7699317932128906,26.69000244140625,30.209991455078125,31.889984130859375,32.970001220703125,41.1300048828125,743289.0,1.2310179471969604,1.6458663940429688,0.0,0.29600000381469727,0.44999998807907104,1.6469999551773071,12.04800033569336,743289.0,277.35186767578125,0.5920897126197815,275.6059875488281,276.9169921875,277.37200927734375,277.77398681640625,278.9590148925781,743289.0,0.8285767283392131,0.1430856774355877,0.0,0.75,0.8611111111111112,0.94,1.0,743289.0,0.5000707876133048,0.7545489133746874,0.0,0.0,0.05333649416432259,0.8916086095284752,10.525380377809764
cam1-000-000204-0.tif,Outside,8376.0,32.38605880737305,1.2064470052719116,29.089996337890625,31.57000732421875,32.329986572265625,33.1300048828125,36.970001220703125,8376.0,0.48412245512008667,0.6906106472015381,0.02199999988079071,0.21799999475479126,0.29899999499320984,0.4129999876022339,4.605000019073486,8376.0,276.4331970214844,0.10034875571727753,276.1050109863281,276.3599853515625,276.42999267578125,276.50299072265625,276.7510070800781,8376.0,0.8245618781836151,0.14299617791140656,0.1736111111111111,0.7435897435897436,0.8571428571428571,0.9396551724137931,1.0,8376.0,0.1162593761299406,0.3611675025456129,0.0,0.0,0.0,0.013937338632186632,2.2756660036427823
cam1-001-000066-0.tif,Inside,245640.0,33.581993103027344,1.8439218997955322,28.3699951171875,32.089996337890625,33.889984130859375,34.92999267578125,43.3699951171875,245640.0,1.5589802265167236,2.351168394088745,0.0,0.29100000858306885,0.4659999907016754,1.8842499554157257,12.529999732971191,245640.0,277.572021484375,0.25029629468917847,276.6319885253906,277.3800048828125,277.6029968261719,277.7650146484375,278.2969970703125,245640.0,0.8272690754594841,0.14550370215976552,0.02564102564102564,0.7473684210526316,0.8596491228070176,0.9411764705882353,1.0,245640.0,0.5175713125154238,0.7507592829312062,0.0,0.0,0.06873528700841554,0.9730685982803093,8.23820872661965
cam1-001-000066-0.tif,Outside,488469.0,34.09587478637695,1.6660200357437134,28.529998779296875,33.25,34.329986572265625,35.209991455078125,44.970001220703125,488469.0,0.6206603646278381,1.0290071964263916,0.0,0.21799999475479126,0.3089999854564667,0.46700000762939453,10.934000015258789,488469.0,275.65118408203125,0.5567411780357361,273.75201416015625,275.31298828125,275.69000244140625,276.08599853515625,276.9809875488281,488469.0,0.8155584133603262,0.15077462216857446,0.05,0.7314814814814815,0.8503937007874016,0.9354838709677419,1.0,488469.0,0.2163493337542348,0.561157543998555,0.0,0.0,0.0,0.051950972806521355,9.4371600736645
