,site,imgf,tstat,p,cohensd,meandiff,mean_inside,mean_outside,n_inside,n_outside,stddiff,std_inside,std_outside,CVdiff,CV_inside,CV_outside
0,BuffaloCamp,cam1-000-000053-0.tif,142.25097081828397,0.0,0.39066006001157666,0.38195828,0.7800211,0.3980628,265181,265181,0.20008987,1.0726384,0.8725485,-0.8168467,1.3751403,2.191987
1,BuffaloCamp,cam1-000-000154-0.tif,120.78442152353603,0.0,0.36282153932941896,0.56124574,1.1118473,0.55060154,221649,221649,0.19413698,1.6409119,1.446775,-1.151783,1.475843,2.627626
2,BuffaloCamp,cam1-000-000204-0.tif,31.53615841267545,4.595439473923394e-205,0.5998459831513883,0.74645996,1.2309947,0.4845347,5528,5528,0.92585254,1.6180362,0.6921836,-0.114139676,1.3144135,1.4285532
3,BuffaloCamp,cam1-001-000066-0.tif,147.52411543487628,0.0,0.5181518683922813,0.94393206,1.5657676,0.6218356,162122,162122,1.3245126,2.3593454,1.0348328,-0.15732837,1.5068299,1.6641582
4,BuffaloCamp,cam1-001-000219-0.tif,114.30289485990208,0.0,0.4900651305021466,0.77687716,1.4150904,0.6382133,108802,108802,0.7581086,1.9183218,1.1602132,-0.4622904,1.3556179,1.8179083
5,BuffaloCamp,cam1-001-000280-0.tif,184.46491485820366,0.0,0.6438595830305102,0.7572877,1.1712316,0.41394395,164163,164163,0.95878994,1.5534313,0.5946413,-0.110203385,1.3263228,1.4365262
