site,count,mean,std,min,25%,50%,75%,max
BuffaloCamp,6.0,130.29977242988807,53.14203220735021,34.36596027665022,122.19292136752046,138.63741583640189,156.81713379970563,190.56937963117414
Hlangwine,18.0,125.86105819555353,100.45749832850565,-17.328480169930728,41.77803507377177,128.5045600177055,183.75356426385565,345.2944576489805
Letaba,9.0,124.14787606738767,108.63507214487016,-31.534823157944725,69.65912420855695,99.49246114795557,148.87089699836937,354.6814320483242
Makhohlola,5.0,74.50013492494091,32.514497846851455,35.44525159616171,62.502851145117326,71.51717623271063,78.16436724599487,124.87102840471998
Nkuhlu,4.0,297.93774067206505,168.84644857232138,54.84565270034835,250.9992165823647,352.9515189200864,399.8900430097867,431.00227214773884
RoanCamp,41.0,167.56495332786204,127.44366803184288,-115.32462042150047,71.7971126982704,149.75776692145476,263.99055320117026,433.2548922716232
