site,count,mean,std,min,25%,50%,75%,max
Hlangwine,9.0,-0.20982179045677185,0.24910010397434235,-0.6853687763214111,-0.3184314966201782,-0.15997087955474854,-0.059574127197265625,0.10665130615234375
Letaba,6.0,-0.4007202088832855,0.08100733906030655,-0.516355037689209,-0.45374563336372375,-0.3910953402519226,-0.33746767044067383,-0.31155455112457275
Nkuhlu,3.0,-0.582460880279541,0.19203557074069977,-0.8016523122787476,-0.6517846286296844,-0.5019169449806213,-0.47286519408226013,-0.4438134431838989
RoanCamp,30.0,-0.9750126600265503,0.7310685515403748,-2.613867998123169,-1.4000666737556458,-1.0456933975219727,-0.3976491093635559,0.10060954093933105
