site,count,mean,std,min,25%,50%,75%,max
BuffaloCamp,6.0,3.2096144540601332,0.6676529126331668,2.441050530293288,2.728211198645923,3.142258937208287,3.6033851662392915,4.184829124609506
Hlangwine,18.0,1.798224696588148,0.5073064126743081,0.8654772109161031,1.3722411318605539,1.854239062549634,2.189220269934033,2.75525870274956
Letaba,9.0,1.6090356469413134,0.2039291713040526,1.3440315560029934,1.476553928399744,1.627944654862416,1.7783545496641755,1.9531305895552604
Makhohlola,5.0,3.4498481694502297,0.409356475565824,3.076632211495595,3.206232212392089,3.2670469566759395,3.606221559660121,4.093107907027405
Nkuhlu,4.0,1.6271613372164655,0.36300742266656666,1.3543280414961216,1.3827862060991112,1.5058702544421778,1.750245385559532,2.1425767984853836
RoanCamp,41.0,3.5592591253508266,1.4730129959639258,1.4972366645833222,2.467627963480539,3.379690842073616,4.28402797777189,7.831298877972753
