,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoGround,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,ProximitytoWoodyVeg,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
imgf,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1-000-000095-0.tif,Inside,21400.0,33.843353271484375,0.7571829557418823,31.92999267578125,33.290008544921875,33.92999267578125,34.410003662109375,37.25,21400.0,1.0951604843139648,2.209221839904785,0.013000000268220901,0.21074999496340752,0.31299999356269836,0.6150000095367432,10.906000137329102,21400.0,248.65298461914062,0.13703998923301697,248.24600219726562,248.5570068359375,248.67799377441406,248.74600219726562,248.98599243164062,21400.0,0.8461712715637836,0.13960259765546693,0.13114754098360656,0.7727272727272727,0.8789473684210526,0.956140350877193,1.0,21400.0,0.28525597069536673,0.6142738341054487,0.0,0.0,0.0,0.2075935873632871,6.802394763324311,21400.0,64.20707702636719,17.037572860717773,27.20294189453125,51.429561614990234,64.49806213378906,76.69419860839844,106.8877944946289,21400.0,2.9270071983337402,2.630031108856201,0.0,1.0,2.2360680103302,4.4721360206604,12.369317054748535,21400.0,84.61712715637836,13.960259765546692,13.114754098360656,77.27272727272727,87.89473684210526,95.6140350877193,100.0
cam1-000-000095-0.tif,Outside,103384.0,34.54796600341797,0.7090516090393066,32.25,34.089996337890625,34.529998779296875,34.970001220703125,40.45001220703125,103384.0,0.3217933773994446,0.287532240152359,0.0,0.18400000035762787,0.2549999952316284,0.34599998593330383,4.466000080108643,103384.0,250.08485412597656,0.42760011553764343,248.91600036621094,249.72000122070312,250.13900756835938,250.447998046875,250.91900634765625,103384.0,0.8553643672215625,0.14431485186888007,0.06896551724137931,0.7872340425531915,0.8985507246376812,0.9661016949152542,1.0,103384.0,0.08125930667119612,0.3249120940769789,0.0,0.0,0.0,0.0,6.271976330124863,103384.0,85.40135192871094,22.769432067871094,35.1710090637207,67.95587158203125,85.98255920410156,102.31446838378906,138.13037109375,103384.0,5.617198467254639,4.08078145980835,0.0,2.8284270763397217,5.0,7.8102498054504395,21.931713104248047,103384.0,85.53643672215624,14.431485186888008,6.896551724137931,78.72340425531915,89.85507246376811,96.61016949152543,100.0
cam1-000-000108-0.tif,Inside,65802.0,33.75413513183594,0.648283839225769,31.889984130859375,33.329986572265625,33.769989013671875,34.209991455078125,36.850006103515625,65802.0,0.9598591327667236,1.802013635635376,0.027000000700354576,0.31200000643730164,0.4440000057220459,0.8289999961853027,12.692000389099121,65802.0,247.75706481933594,0.3053719997406006,247.08700561523438,247.51600646972656,247.7169952392578,248.02499389648438,248.48800659179688,65802.0,0.9243676813739319,0.09697825136522754,0.038461538461538464,0.8924050632911392,0.9602272727272727,0.9893617021276596,1.0,65802.0,0.4802402727197197,0.8856291517307482,0.0,0.0,0.03361423663276258,0.5895990804412896,8.439015410352221,65802.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,65802.0,2.2461512088775635,2.059000253677368,0.0,1.0,2.0,3.1622776985168457,12.0,65802.0,92.43676813739317,9.697825136522757,3.8461538461538463,89.24050632911393,96.02272727272727,98.93617021276596,100.0
cam1-000-000108-0.tif,Outside,473652.0,34.833709716796875,0.7301775813102722,31.970001220703125,34.3699951171875,34.850006103515625,35.329986572265625,40.529998779296875,473652.0,0.38743820786476135,0.4577631950378418,0.0,0.2160000056028366,0.2840000092983246,0.3799999952316284,11.270000457763672,473652.0,249.04478454589844,0.601215660572052,247.0449981689453,248.64999389648438,249.04100036621094,249.4980010986328,250.42999267578125,473652.0,0.9009220460342495,0.10636067139957213,0.0847457627118644,0.8545454545454545,0.934510813058848,0.9807692307692307,1.0,473652.0,0.13828451431068903,0.48645609597350414,0.0,0.0,0.0,0.0,9.489864256726513,473652.0,-9999.0009765625,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,473652.0,5.874261379241943,4.882946014404297,0.0,2.2360680103302,5.0,8.485280990600586,30.01666259765625,473652.0,90.09220460342495,10.636067139957216,8.47457627118644,85.45454545454545,93.4510813058848,98.07692307692307,100.0
cam1-000-000178-0.tif,Inside,50124.0,33.77666473388672,0.6156631708145142,31.970001220703125,33.329986572265625,33.80999755859375,34.209991455078125,37.769989013671875,50124.0,0.9602919220924377,1.7521353960037231,0.02800000086426735,0.26899999380111694,0.4165000021457672,0.8790000081062317,10.798999786376953,50124.0,247.9684600830078,0.30171650648117065,247.29600524902344,247.7169952392578,247.98899841308594,248.19400024414062,248.76699829101562,50124.0,0.9055016659760946,0.10593108343807998,0.0,0.8640776699029126,0.9426229508196722,0.9814814814814815,1.0,50124.0,0.5656602873396787,1.0017631764323394,0.0,0.0,0.03738426602430504,0.7477003374778259,8.53949408852882,50124.0,90.76710510253906,39.59538269042969,12.165525436401367,57.245086669921875,93.36219787597656,125.39936065673828,163.8780059814453,50124.0,1.962148904800415,1.9171911478042603,0.0,0.0,1.4142135381698608,3.0,10.770329475402832,50124.0,90.55016659760945,10.593108343807998,0.0,86.40776699029125,94.26229508196722,98.14814814814815,100.0
cam1-000-000178-0.tif,Outside,55938.0,33.94633483886719,0.6757227778434753,31.769989013671875,33.489990234375,33.92999267578125,34.3699951171875,37.769989013671875,55938.0,0.3927796185016632,0.3658565580844879,0.020999999716877937,0.20600000023841858,0.28200000524520874,0.3919999897480011,2.888000011444092,55938.0,246.3370819091797,0.3321719169616699,245.64100646972656,246.0709991455078,246.3040008544922,246.64599609375,247.23199462890625,55938.0,0.8890460663568681,0.115643191096633,0.13846153846153847,0.8378378378378378,0.925,0.975609756097561,1.0,55938.0,0.17743214765467435,0.5455784658697034,0.0,0.0,0.0,0.014336978957225032,6.228063943166031,55938.0,103.4799575805664,45.72385025024414,11.045360565185547,65.7419204711914,102.35721588134766,140.57737731933594,196.88829040527344,55938.0,4.37775182723999,3.1819591522216797,0.0,2.0,4.0,6.4031243324279785,15.65247631072998,55938.0,88.90460663568679,11.564319109663302,13.846153846153847,83.78378378378379,92.5,97.5609756097561,100.0
cam1-000-000187-0.tif,Inside,289694.0,33.4831428527832,0.6518305540084839,31.04998779296875,33.04998779296875,33.529998779296875,33.92999267578125,38.410003662109375,289694.0,0.7996798157691956,1.3903833627700806,0.0,0.29499998688697815,0.42500001192092896,0.7300000190734863,12.748000144958496,289694.0,247.50323486328125,0.5015690326690674,246.24099731445312,247.1300048828125,247.48800659179688,247.8769989013672,248.7899932861328,289694.0,0.926039401045373,0.08949211717308786,0.08928571428571429,0.8947368421052632,0.9583333333333334,0.9885057471264368,1.0,289694.0,0.4595596073926022,0.9098163066109156,0.0,0.0,0.029197598842305272,0.4700949116340683,10.17519267046476,289694.0,142.41928100585938,73.78870391845703,11.0,80.05622863769531,136.18002319335938,201.18896484375,322.27008056640625,289694.0,2.3881399631500244,2.0519227981567383,0.0,1.0,2.0,3.605551242828369,12.369317054748535,289694.0,92.60394010453727,8.949211717308785,8.928571428571429,89.47368421052632,95.83333333333334,98.85057471264368,100.0
cam1-000-000187-0.tif,Outside,280306.0,33.54106903076172,0.5494054555892944,31.45001220703125,33.209991455078125,33.57000732421875,33.889984130859375,37.57000732421875,280306.0,0.4000055193901062,0.388954758644104,0.017000000923871994,0.23199999332427979,0.30300000309944153,0.40700000524520874,10.315999984741211,280306.0,245.76455688476562,0.46758684515953064,244.4980010986328,245.4250030517578,245.78799438476562,246.11199951171875,246.89300537109375,280306.0,0.9152123454433072,0.09241597831376239,0.12244897959183673,0.8764044943820225,0.9444444444444444,0.9841269841269841,1.0,280306.0,0.1558474993232944,0.5080243975350234,0.0,0.0,0.0,0.01646099827303096,8.254268770090183,280306.0,141.1724853515625,62.81526565551758,5.385164737701416,89.62700653076172,138.85243225097656,190.21304321289062,285.36468505859375,280306.0,5.2476911544799805,4.039369583129883,0.0,2.2360680103302,4.242640495300293,7.6157732009887695,21.954498291015625,280306.0,91.52123454433074,9.241597831376238,12.244897959183673,87.64044943820225,94.44444444444444,98.4126984126984,100.0
cam1-000-000194-0.tif,Inside,75448.0,33.16421127319336,0.6822828054428101,30.730010986328125,32.769989013671875,33.25,33.649993896484375,35.57000732421875,75448.0,1.1883219480514526,2.217912197113037,0.027000000700354576,0.33899998664855957,0.47600001096725464,0.9079999923706055,12.49899959564209,75448.0,246.94337463378906,0.36630159616470337,246.13800048828125,246.66400146484375,246.93699645996094,247.25900268554688,247.77499389648438,75448.0,0.9315964083008528,0.08919484593639533,0.17073170731707318,0.9074074074074074,0.967032967032967,0.9917355371900827,1.0,75448.0,0.5425172888083498,0.9311946306090946,0.0,0.0,0.06112014723216193,0.7708208247744772,9.59986267652555,75448.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,75448.0,2.056124210357666,1.8888018131256104,0.0,0.0,1.4142135381698608,3.1622776985168457,10.816654205322266,75448.0,93.15964083008528,8.919484593639535,17.073170731707318,90.74074074074075,96.7032967032967,99.17355371900827,100.0
cam1-000-000194-0.tif,Outside,468508.0,33.80241775512695,0.6874160170555115,31.410003662109375,33.329986572265625,33.80999755859375,34.25,38.850006103515625,468508.0,0.44597333669662476,0.6080912947654724,0.032999999821186066,0.2460000067949295,0.32199999690055847,0.4309999942779541,12.036999702453613,468508.0,245.2855224609375,0.7604951858520508,243.51400756835938,244.71400451660156,245.26499938964844,245.8679962158203,247.197998046875,468508.0,0.9145712564900154,0.09953442096618642,0.1016949152542373,0.8785714285714286,0.9473684210526315,0.9854368932038835,1.0,468508.0,0.16539871389844157,0.5295499858724872,0.0,0.0,0.0,0.021390578233495838,9.259773656173406,468508.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,468508.0,4.917000770568848,3.734337329864502,0.0,2.0,4.123105525970459,7.211102485656738,20.124610900878906,468508.0,91.45712564900157,9.953442096618645,10.16949152542373,87.85714285714286,94.73684210526315,98.54368932038835,100.0
