site,imgf,temp_cd,temp_md,pai_cd,pai_md,height_cd,height_md,GPSTime,Northing,Easting,Altitude,Date,DateTime,Time,H,M,S,RH,AirTemp,Dewpoint_C,Leaf_Wet_Perc,Srad_mJ,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,site_f,Time_f,DateTime_f,Time_num,AirTemp_scaled,RH_scaled,temp_cd_scaled,pai_cd_scaled,height_cd_scaled,Time_num_scaled,Srad_mJ_scaled,Dewpoint_C_scaled,Specific_RH_gkg_scaled,Leaf_Wet_Perc_scaled,Absolute_RH_gm3_scaled,Eto_mm_scaled
Letaba,cam1-001-001236-0.tif,-0.7904777387843616,-1.9201698,0.29996721635331797,0.1441841705883279,0.3408945943970653,0.45484692,114684.388,7372017.787740305,340660.5553953235,389.4571838378906,2020-12-07,2020-12-07T09:51:24Z,09:51:24,0.375,0.035416666666666666,2.777777777777778e-4,70.844515,26.09247767777778,20.38143225555556,0,3.9,0.7685677444444445,17.69286451111111,16.61713548888889,Letaba,1970-01-01T09:51:24Z,1607334684,0.4106944444444444,0.2902991609073191,0.4523591126935201,0.027715291248227338,-0.6157775113449944,-0.8480616720988645,0.1652641837036289,0.6894712497730632,1.09845430545382,0.9727413415858602,-0.3016389993094663,1.0189595359619996,0.8009157304653117
Letaba,cam1-001-001262-0.tif,-0.805421193813541,-1.6968727,0.4153556892851227,0.2088577570309847,0.6586328070816783,1.1932358,114736.306,7371762.57712945,340987.6071400116,389.961181640625,2020-12-07,2020-12-07T09:52:16Z,09:52:16,0.375,0.03611111111111111,1.8518518518518518e-4,70.7796175,26.107331994444444,20.381288038888886,0,3.9,0.7687119611111111,17.69257607777778,16.617423922222223,Letaba,1970-01-01T09:52:16Z,1607334736,0.41129629629629627,0.2966258186102245,0.44637152583095746,0.007335922842674557,-0.19241464778000775,0.3145569412442106,0.18203434654607437,0.6894712497730632,1.0983763561045632,0.97290443201762,-0.3016389993094663,1.0188053528587078,0.8016278961114012
Letaba,cam1-001-001380-0.tif,-0.9566423090855876,-2.3497314,0.5814926358554066,0.2732044898681256,0.8349097890952848,1.2752975,114971.74,7371799.299054816,340754.5313638372,388.6326599121094,2020-12-07,2020-12-07T09:56:11Z,09:56:11,0.375,0.03888888888888889,1.273148148148148e-4,70.48532499999999,26.17469227777778,20.380634055555557,0,3.9,0.7693659444444445,17.691268111111114,16.618731888888888,Letaba,1970-01-01T09:56:11Z,1607334971,0.4140162037037037,0.3253154894300973,0.41921944899054364,-0.19889421689474962,0.4171454898734968,0.9595624590299728,0.25782258246866424,0.6894712497730632,1.0980228770203908,0.9736440027389728,-0.3016389993094663,1.0181061744477393,0.8048573734934578
Letaba,cam1-001-001405-0.tif,-0.09366649139186206,-0.19255829,0.13244640481927228,0.07055063768928316,0.239294347142716,0.33798027,115021.79,7372047.406560153,340439.681588308,387.9476318359375,2020-12-07,2020-12-07T09:57:01Z,09:57:01,0.375,0.03958333333333333,1.1574074074074073e-05,70.4227625,26.189012138888884,20.380495027777776,0,3.9,0.76950497222222225,17.690990055555556,16.619009944444446,Letaba,1970-01-01T09:57:01Z,1607335021,0.4145949074074074,0.3314145151635679,0.41344729439153793,0.9780024297992275,-1.2304150802094285,-1.2198216111384077,0.2739477390479391,0.6894712497730632,1.0979477322742481,0.9738012252072827,-0.3016389993094663,1.017957538823873,0.8055439155518345
Letaba,cam1-001-001659-0.tif,-0.6571103084658554,-1.7326889,0.5777288581240547,0.44249945973774096,0.4368010547242436,1.9122396,115531.763,7371522.502834434,340925.50685053045,390.3513793945313,2020-12-07,2020-12-07T10:05:31Z,10:05:31,0.4166666666666667,0.0034722222222222225,3.587962962962963e-4,69.64706166666666,26.354273922222223,20.355117775,0,3.9,0.77,17.665117775000002,16.597882466666668,Letaba,1970-01-01T10:05:31Z,1607335531,0.4204976851851852,0.40180178089812546,0.34187942014452444,0.20959719141492278,0.4033361059924138,-0.4971355591389978,0.43842433615653936,0.6894712497730632,1.0842312847540376,0.9618550002929204,-0.3016389993094663,1.00412741572672,0.8079884442276255
Letaba,cam1-001-001806-0.tif,-0.5840892788275988,-1.1307564,0.07695054155553825,0.03929784434756622,0.3630874166094219,0.48639107,115829.525,7372057.726763451,340054.40092854766,389.5024108886719,2020-12-07,2020-12-07T10:10:29Z,10:10:29,0.4166666666666667,0.006944444444444445,3.356481481481481e-4,69.15079166666668,26.456836388888885,20.332785625,0,3.9,0.77,17.642785625000002,16.578031666666668,Letaba,1970-01-01T10:10:29Z,1607335829,0.42394675925925923,0.4454845456005785,0.29609245250657534,0.3091807523414303,-1.4340306320092258,-0.7668571233330845,0.5345302693690136,0.6894712497730632,1.0721607203721937,0.9506306542529281,-0.3016389993094663,0.9921896824889824,0.8079884442276255
Letaba,cam1-001-001821-0.tif,-0.5111990777506712,-0.98895264,0.2694680003680434,0.12282650692815436,0.4110647841740821,0.49289298,115857.82,7372024.760257293,339916.6931624906,389.7290954589844,2020-12-07,2020-12-07T10:10:57Z,10:10:57,0.4166666666666667,0.006944444444444445,6.597222222222222e-4,69.10363333333332,26.466582444444445,20.3306635,0,3.9,0.77,17.640663500000002,16.576145333333333,Letaba,1970-01-01T10:10:57Z,1607335857,0.4242708333333333,0.4496355246618977,0.291741520388587,0.4085858937897055,-0.7276798104909763,-0.5913057470016425,0.5435603570534077,0.6894712497730632,1.07101370826459,0.9495640545148761,-0.3016389993094663,0.9910552927348778,0.8079884442276255
Letaba,cam1-001-002009-0.tif,-0.8014947655399296,-1.3782272,0.2515434328995262,0.11610803134918048,0.4666516536331665,0.5722863,116235.796,7371838.064691989,339968.14035378373,388.9366455078125,2020-12-07,2020-12-07T10:17:15Z,10:17:15,0.4166666666666667,0.011805555555555557,1.736111111111111e-4,68.47367333333334,26.596774177777775,20.3023153,0,3.9,0.77,17.612315300000002,16.550946933333332,Letaba,1970-01-01T10:17:15Z,1607336235,0.4286458333333334,0.5050859739172586,0.23362001771221583,0.012690650256760395,-0.7934454456434595,-0.38791085614301174,0.6654665407927245,0.6894712497730632,1.055691458807669,0.9353159858600036,-0.3016389993094663,0.9759016577570535,0.8079884442276255
Letaba,cam1-001-002044-0.tif,0.44165061288924784,0.9668579,-0.13330418570135102,-0.09499576201571786,-0.42955505543906575,-1.7319216,116305.865,7371611.800351127,340072.73118104896,390.5426025390625,2020-12-07,2020-12-07T10:18:25Z,10:18:25,0.4166666666666667,0.0125,2.893518518518519e-4,68.35689166666666,26.62090905555556,20.297060125,0,3.9,0.77,17.607060125,16.546275666666666,Letaba,1970-01-01T10:18:25Z,1607336305,0.42945601851851856,0.5153653501974336,0.22284548289775324,1.708049427674622,-2.205459884410891,-3.6671720837012973,0.6880417600037081,0.6894712497730632,1.0528510279411676,0.9326746860881185,-0.3016389993094663,0.9730924845575339,0.8079884442276255
Nkuhlu,Flight2_cam1-000-000201-0.tif,-0.9654835622230612,-1.6698494,1.049231162327496,0.780543388397386,0.8825228035699271,2.1401007,378328.427,-3099279.8367121145,3483527.712512336,342.75079345703125,2020-01-16,2020-01-16T11:05:28Z,11:05:28,0.4583333333333333,0.0034722222222222225,3.2407407407407406e-4,57.32595813888887,30.67772161111112,21.268210675,0,3.9,0.8018245944444446,18.629122972222223,17.784596755555555,Nkuhlu,1970-01-01T11:05:28Z,1579172728,0.4621296296296296,2.243217595427165,-0.79489283788075,-0.210951612892094,2.1332885060300923,1.1337806507856447,1.5984681004695416,0.6894712497730632,1.5777595225660879,1.632865328798166,-0.3016389993094663,1.5194399532222618,0.9651435316938305
