,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
,,count,mean,std,min,25%,50%,75%,max
imgf,Exclosure,,,,,,,,
cam1-000-000095-0.tif,Inside,21400.0,33.843353271484375,0.7571829557418823,31.92999267578125,33.290008544921875,33.92999267578125,34.410003662109375,37.25
cam1-000-000095-0.tif,Outside,103384.0,34.54796600341797,0.7090516090393066,32.25,34.089996337890625,34.529998779296875,34.970001220703125,40.45001220703125
cam1-000-000108-0.tif,Inside,65802.0,33.75413513183594,0.648283839225769,31.889984130859375,33.329986572265625,33.769989013671875,34.209991455078125,36.850006103515625
cam1-000-000108-0.tif,Outside,473652.0,34.833709716796875,0.7301775813102722,31.970001220703125,34.3699951171875,34.850006103515625,35.329986572265625,40.529998779296875
cam1-000-000179-0.tif,Inside,84888.0,33.907325744628906,0.6438376903533936,32.010009765625,33.45001220703125,33.92999267578125,34.329986572265625,38.170013427734375
cam1-000-000179-0.tif,Outside,89312.0,34.01019287109375,0.6535730957984924,31.92999267578125,33.57000732421875,34.010009765625,34.410003662109375,38.69000244140625
cam1-000-000194-0.tif,Inside,75448.0,33.16421127319336,0.6822828054428101,30.730010986328125,32.769989013671875,33.25,33.649993896484375,35.57000732421875
cam1-000-000194-0.tif,Outside,468508.0,33.80241775512695,0.6874160170555115,31.410003662109375,33.329986572265625,33.80999755859375,34.25,38.850006103515625
cam1-000-000233-0.tif,Inside,142.0,32.85394287109375,0.19620884954929352,32.410003662109375,32.769989013671875,32.850006103515625,33.010009765625,33.290008544921875
cam1-000-000233-0.tif,Outside,580942.0,32.86602020263672,0.6022787690162659,30.529998779296875,32.489990234375,32.850006103515625,33.25,38.57000732421875
