,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Exclosure,,,,,,,,,,,,,,,,,,,,,,,,
Inside,11664317.0,35.52402114868164,2.1700825691223145,29.209991455078125,33.92999267578125,35.329986572265625,36.889984130859375,49.45001220703125,11664317.0,1.5520886182785034,1.9803059101104736,0.0,0.03400000184774399,0.42800000309944153,2.75,17.301000595092773,11664317.0,272.6001892089844,3.955284357070923,262.7969970703125,269.4809875488281,272.6510009765625,275.53900146484375,282.8999938964844
Outside,13004418.0,37.13786315917969,2.5397708415985107,29.209991455078125,35.209991455078125,37.25,38.970001220703125,49.489990234375,13004418.0,0.9008436799049377,1.5931187868118286,0.0,0.01899999938905239,0.041999999433755875,1.593000054359436,18.854999542236328,13004418.0,273.8508605957031,4.960629463195801,262.6159973144531,269.2349853515625,274.0920104980469,278.3190002441406,282.3580017089844
