,,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
,,,count,mean,std,min,25%,50%,75%,max
imgf,Topo,Exclosure,,,,,,,,
cam1-001-000064-0.tif,Upland,Open,1436688.0,34.60891342163086,1.441638708114624,31.1300048828125,33.410003662109375,34.6099853515625,35.69000244140625,41.25
cam1-001-000064-0.tif,Upland,Partial,2810214.0,34.35833740234375,1.3437689542770386,31.1300048828125,33.329986572265625,34.170013427734375,35.25,41.45001220703125
cam1-001-000107-0.tif,Lowland,Open,10413.0,36.85919189453125,0.7574421763420105,33.529998779296875,36.410003662109375,36.769989013671875,37.329986572265625,38.649993896484375
cam1-001-000207-0.tif,Lowland,Partial,622692.0,33.485374450683594,1.3792139291763306,31.209991455078125,32.410003662109375,33.089996337890625,34.45001220703125,39.04998779296875
cam1-001-000207-0.tif,Upland,Partial,4167117.0,33.89841842651367,1.2533988952636719,30.730010986328125,32.92999267578125,33.69000244140625,34.769989013671875,39.850006103515625
cam1-001-000238-0.tif,Upland,Open,1680741.0,33.84488296508789,1.3731354475021362,30.649993896484375,32.69000244140625,33.80999755859375,34.889984130859375,39.850006103515625
cam1-001-000238-0.tif,Upland,Partial,1929222.0,33.35171127319336,1.1368731260299683,30.889984130859375,32.489990234375,33.04998779296875,34.04998779296875,39.769989013671875
cam1-001-000299-0.tif,Lowland,Partial,2969145.0,32.69481658935547,1.8434182405471802,28.92999267578125,31.209991455078125,32.3699951171875,34.089996337890625,38.970001220703125
cam1-001-000299-0.tif,Upland,Partial,64575.0,33.57752990722656,1.1860735416412354,30.970001220703125,32.57000732421875,33.730010986328125,34.529998779296875,37.45001220703125
cam1-001-000406-0.tif,Lowland,Partial,449037.0,32.29860305786133,1.3912197351455688,29.649993896484375,31.25,32.04998779296875,33.25,37.209991455078125
cam1-001-000406-0.tif,Upland,Partial,4244823.0,32.80938720703125,1.364847183227539,28.970001220703125,31.730010986328125,32.69000244140625,33.80999755859375,38.769989013671875
cam1-001-000428-0.tif,Upland,Partial,4312872.0,32.61494064331055,1.087417721748352,29.730010986328125,31.80999755859375,32.45001220703125,33.290008544921875,38.57000732421875
cam1-001-000451-0.tif,Upland,Open,1277478.0,33.50224304199219,1.335394024848938,30.45001220703125,32.410003662109375,33.45001220703125,34.489990234375,38.649993896484375
cam1-001-000451-0.tif,Upland,Partial,1711269.0,33.41752243041992,1.1594552993774414,30.489990234375,32.489990234375,33.290008544921875,34.170013427734375,38.80999755859375
cam1-001-000494-0.tif,Lowland,Partial,3690693.0,32.63474655151367,1.7513552904129028,29.089996337890625,31.3699951171875,32.170013427734375,33.80999755859375,39.730010986328125
