,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
,,count,mean,std,min,25%,50%,75%,max
imgf,Exclosure,,,,,,,,
cam1-000-000053-0.tif,Inside,401988.0,34.75362014770508,1.4502989053726196,30.3699951171875,33.970001220703125,34.970001220703125,35.730010986328125,43.69000244140625
cam1-000-000053-0.tif,Outside,467760.0,35.033973693847656,1.213816523551941,29.649993896484375,34.489990234375,35.170013427734375,35.769989013671875,40.329986572265625
cam1-000-000154-0.tif,Inside,335832.0,32.354774475097656,1.667892575263977,27.889984130859375,31.25,32.57000732421875,33.529998779296875,42.889984130859375
cam1-000-000154-0.tif,Outside,473001.0,32.704071044921875,1.3038374185562134,27.410003662109375,32.089996337890625,32.850006103515625,33.529998779296875,42.45001220703125
cam1-000-000204-0.tif,Inside,743289.0,31.639631271362305,1.7699317932128906,26.69000244140625,30.209991455078125,31.889984130859375,32.970001220703125,41.1300048828125
cam1-000-000204-0.tif,Outside,8376.0,32.38605880737305,1.2064470052719116,29.089996337890625,31.57000732421875,32.329986572265625,33.1300048828125,36.970001220703125
cam1-001-000066-0.tif,Inside,245640.0,33.581993103027344,1.8439218997955322,28.3699951171875,32.089996337890625,33.889984130859375,34.92999267578125,43.3699951171875
cam1-001-000066-0.tif,Outside,488469.0,34.09587478637695,1.6660200357437134,28.529998779296875,33.25,34.329986572265625,35.209991455078125,44.970001220703125
cam1-001-000074-0.tif,Inside,848277.0,32.865108489990234,1.8117421865463257,26.970001220703125,31.529998779296875,33.170013427734375,34.209991455078125,45.1300048828125
cam1-001-000080-0.tif,Inside,819303.0,32.977195739746094,2.076704263687134,27.850006103515625,31.25,33.170013427734375,34.529998779296875,46.209991455078125
cam1-001-000088-0.tif,Inside,608091.0,32.3138427734375,1.9301618337631226,27.769989013671875,30.6099853515625,32.1300048828125,33.889984130859375,46.529998779296875
cam1-001-000114-0.tif,Inside,620496.0,33.070613861083984,1.8886867761611938,27.80999755859375,31.69000244140625,33.290008544921875,34.410003662109375,41.769989013671875
cam1-001-000114-0.tif,Outside,132.0,34.865447998046875,0.3186090588569641,34.209991455078125,34.639991760253906,34.8699951171875,35.089996337890625,35.69000244140625
cam1-001-000219-0.tif,Inside,164853.0,32.83020782470703,2.1181392669677734,27.6099853515625,31.04998779296875,32.889984130859375,34.329986572265625,44.850006103515625
cam1-001-000219-0.tif,Outside,527406.0,33.261695861816406,1.8921763896942139,27.529998779296875,32.089996337890625,33.45001220703125,34.57000732421875,44.209991455078125
cam1-001-000280-0.tif,Inside,749043.0,31.120359420776367,1.9291051626205444,26.25,29.489990234375,31.1300048828125,32.529998779296875,41.410003662109375
cam1-001-000280-0.tif,Outside,249621.0,31.373754501342773,0.9993638396263123,27.80999755859375,30.889984130859375,31.489990234375,32.010009765625,35.089996337890625
