term,edf,ref.df,statistic,p.value
s(pai_cd_scaled),1.4685786836514114,1.815670104699093,8.63046112103937,0.00194074821494028
s(RH_scaled):site_fBuffaloCamp,1.000000626358881,1.0000012504158644,3.2591354265001536e-4,0.9856573598493334
s(RH_scaled):site_fHlangwine,1.0000067131608648,1.0000133789647414,0.31853155935317545,0.574119535289717
s(RH_scaled):site_fLetaba,1.0000012048459344,1.0000024036371613,0.22725670807605908,0.634890791753562
s(RH_scaled):site_fMakhohlola,1.00000000037603,1.0000000007520318,7.749592913017155,0.006737735324352123
s(RH_scaled):site_fNkuhlu,1.4530318186492557,1.7007033940064753,0.33730550720084596,0.7677884895992935
s(RH_scaled):site_fRoanCamp,2.8848111330925787,3.4436272445361373,4.3573576004408245,0.002774028192135791
s(Time_num_scaled),1.0000527946865392,1.0001040978649685,0.03186466481736153,0.8588818659529207
