,pai,height,eVeg,e100,e85,FLIR
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,2.454708486684981e-241,4.595439473923394e-205,1.2068782219451094e-277,3.244166290399612e-162,3.9945292131814244e-162,1.7401976825812267e-160
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
