deltaAIC,rel.LL,weights,modnum
19.744338877206047,5.1590684299699356e-5,1.1728213588752203e-5,1
43.40959846724934,3.747360390691657e-10,8.51894942907702e-11,2
20.67636858186765,3.237304936823924e-5,7.359430150302193e-6,3
7.2391431489938896,0.02679415333259762,0.006091168540990118,4
6.579618455887129,0.037260957067626256,0.008470607997207615,5
11.503923178997468,0.003176543606525621,7.221300201194429e-4,6
6.20667336690741,0.04489913796330728,0.010207010958131235,7
8.369346080120039,0.015227183807193626,0.003461626192211537,8
12.268436533602227,0.0021674188991044007,4.927236792853067e-4,9
12.286756385470738,0.00214765615334513,4.8823097471061114e-4,10
0.15190229822920287,0.9268614834575737,0.21070527737197486,11
0,1,0.22733200282091529,12
0.4257391809877902,0.8082615353315071,0.18374371363001948,13
0.02045053397597485,0.989826833323422,0.2250193164652978,14
6.861771584005311,0.032358265381870914,0.007356069277071404,15
13.992668104110265,9.15231012336986e-4,2.0806129907838085e-4,16
6.579505246926544,0.03726306626443069,0.00847108748514151,17
13.937108327598139,9.410124726422749e-4,2.139222500852301e-4,18
12.286831749700212,0.002147575226644298,4.882125774816293e-4,19
12.268650352770464,0.0021671871936372743,4.926710052174003e-4,20
16.36464634600378,2.7955173810465715e-4,6.355105651539969e-5,21
16.902918358177487,2.1358852396253145e-4,4.855550693196533e-5,22
17.68552903145448,1.4442293481954519e-4,3.283195502580171e-5,23
6.326780914042416,0.04228214199959937,0.009612084024327264,24
3.605287530439398,0.16486245393914425,0.037478511843956556,25
3.3642023559129655,0.18598278227707402,0.04227983838525346,26
22.043838871944246,1.6339592037128127e-5,3.714512183077016e-6,27
17.878036150175348,1.3116977583716048e-4,2.9819087850632192e-5,28
50.28799165857944,1.2025450592972148e-11,2.7337697681243215e-12,29
54.88992104919669,1.204495240135462e-12,2.7382031532825387e-13,30
34.387322334680704,3.4110480039394304e-8,7.75440374453836e-9,31
11.541778187882215,0.0031169849893615638,7.085904403942936e-4,32
7.287066968217914,0.026159745419552956,0.005946947319512238,33
6.326780914042416,0.04228214199959937,0.009612084024327264,34
14.066268113287435,8.821626957705158e-4,2.0054381244340912e-4,35
